,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600547.SH,X600688.SH,X600660.SH,X601600.SH,X600886.SH,X600188.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X600111.SH,X601992.SH,X600516.SH,X600176.SH,X002466.SZ,X000629.SZ,X600299.SH,X000709.SZ,X002460.SZ,X600808.SH,X600352.SH,X600219.SH,X300072.SZ,X600801.SH,X000825.SZ,X600339.SH,X600489.SH,X601158.SH,X002110.SZ,X600583.SH,X000553.SZ,X000786.SZ,X000883.SZ,X601699.SH,X600426.SH,X000301.SZ,X000932.SZ,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.137245346308059,0,0,0,0,0,0,0,0.165183131683547,0,0.047265488571234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104049565577993,0,0,0,0,0,0,0.259943048980219,0,0,0,0.0134529307361955,0,0,0,0,0,0.204449593151264,0,0,0,0,0.0420912555066701,0,0,0,0,0,0
X600028.SH,0.185650511691463,0,0,0,0.116984807648268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575439839779737,0,0,0.0482477840647965,0,0,0,0,0.106721006507555,0,0.0023027372832048,0,0,0,0.0265132869435469,0,0.0737115233546011,0,0,0,0.0229217581752359,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.11129584881822,0,0.0127429750669301,0,0,0.0711062881197454,0,0.153973819885367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147270228953255,0.00503895612550777,0.0495485067567517,0,0,0,0,0,0,0,0,0,0.0854285773102506,0.0543408658010711,0.075860382471184,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.0923721572328235,0,0,0.0788195607126528,0.0874535570830669,0,0,0,0,0,0,0,0,0,0,0,0.0928153316014145,0,0,0,0.0153464490210899,0,6.93889390390723e-18,0.0364080972997517,0,0,0,0,0,0,0,0.531776299355468,0,0.0764942200532138,0,0,0,0,0,0,0,0,0.012971550951541,0,0,0,0,0,0.00719142685730638,0,0,0,0,0,0
X600019.SH,0,0.0562061149784143,0,0.0290510413505441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568467698721349,0,0,0,0,0,0.005541235154163,0,0,0,0,0,3.46944695195361e-18,0,0,0.0528094803003479,0,0,0,0,0,0,0,0,0,0,0,0,0.118868949649131,0,0,-0.00346493900137771,0,0,0,0,0,0.0356834249675572,0
X600011.SH,0,0,0,0.03114735841381,0,0,0.0654048987531122,0,0,0,0,0,0,0,0.0885688987851466,0,0,0,0,0.741819088601022,0,0,0,0,0.0500104269897282,-0.0154327232109111,0,0,0,0,0,0,0,0,0,0,-0.103439774135032,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036682598155598,0.038728550466859,0,-0.0420705654535466,0,0,0,0
X600309.SH,0,0,0,0.373810193348929,0,0,0,0,0,0,0,0,0.00852803939743059,0,0,0,0,0,0,0,0,0,0,0.0736927248554627,0.051181208002894,-0.312056712009359,0.00286452740716052,0,0,0,0,0,0,0,0.161487581355688,0,-0.315282484960801,0,0,0,0,0,0,0,0.218229228657636,0,0.197664011490002,0,0,0,0.0979435862926549,0,0.0941591706361664,0,0,0,0
X600010.SH,0.165277349679712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140693380094025,0,0,0.197630135578897,0,0,0,0,0,0,0,0,0.0365295837438313,0,0.017738641434304,0,0,0,0.00858985367944472,0,0,0,0,0,0,0.0848182085895556,0,0,-0.00358527304661687,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020660528302573,0,0,0,0,0,0,0.0208621606327747,0,0,0.0133818438907282,0,0,0,0,0,0,0,0.218508575517451,0,0,1.0842021724855e-19,-0.0962249931656273,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.157622152793012,0,0,0,0.0272850887935192,0.0844057694584187,0,0,0,0,0,0,0,0,0,0,0,0,0.0697395028597571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0861006117527474,0,0,0,0,0.0894967870750722,0,0,0,-0.0111855150318529,0,0,0,0,0,0,0
