,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600688.SH,X300072.SZ,X600547.SH,X601600.SH,X600795.SH,X600309.SH,X601991.SH,X600188.SH,X600660.SH,X600362.SH,X000709.SZ,X600886.SH,X600027.SH,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X000959.SZ,X000898.SZ,X600489.SH,X600008.SH,X601158.SH,X600299.SH,X002460.SZ,X600219.SH,X000883.SZ,X600352.SH,X000408.SZ,X600578.SH,X600160.SH,X000630.SZ,X000792.SZ,X600583.SH,X600176.SH,X000401.SZ,X000723.SZ,X000539.SZ,X000027.SZ,X000786.SZ,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.023471637412418,0,0,0,0.0154117144887247,0,0,0,0,0.151843692118141,0,-0.0107184256605542,-0.0111575460313083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290859980357013,0,0,-0.0449873637255445,0,0,0,0,0,0,0,0,0.0403081043481272,0,0,0,0,0,0,0,0,-0.0150334074242867,0.00520890101086898,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0530394886672669,0,0,0.0754416804042068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0275394040626036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115703332850988,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.127435565292941,0,0,0,0,0,0,0,0,0,0.0377093217758142,0,0.0876694795134725,0,0,0,0.0108507450897056,0,0,0.132638068148238,-0.0332330198755386,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441364254716611,0,0,0,0,0,0,-0.0092777622697923,-0.00263092408572979,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207353880867484,-0.0582452321941515,0.41080626458934,0.0685876415622197,0,0,0,0,0,0,0,0,0.0791741184052148,0,0,0,0,0,-0.0270419762112269,0,0,0,0,0,0,0.00195216536103624,-0.0209265233121182,0,0,0,0,0,0
X600011.SH,0,0,0.0550924225306891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578523208419384,0,0.22915146246367,0,0,0.0914769169687891,0,0,0,0,0.0379220040701968,0,0,-0.00681133522845765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271753254546176,-0.0698068227702567,0,0.0454117601782998,-0.018212338170765,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998143119457831,0,0,0,0.0840989091247634,0,0,0,0,0.113746014635486,-0.0633517505833171,-0.0261860515874381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442256073700157,-0.101499529547251,0,0,0,0,0,1.0842021724855e-19,0.00288763931899359,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0314232066737788,0,0,0,0,0,0,0,0,0,0,0,0,0.04150880521143,0,0.157245802270665,0.0649639747511018,0.0550869902403399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799091828205153,0,0,0,0,0,0,0.0113350161406711,0.0143612358021061,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579208238716158,0,0,-0.0632297402400953,0,0,0,0,0,0,0.183040210004941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43836589941614,0,0,0,0,0,0,0,0.0611883901517286,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118658919393062,0,0,0,0.0427818885505515,0,0.0817409402301835,0,0,0.0748203208348309,0,0,0,0,0,0,0,0,0,0,0.060058579935852,0,0.0542861898376894,0.0943737576255488,0,0,0,0,0,0,0,0,0,0.000137359489306315,0,0,0,0,0,0
X600688.SH,0.0189295076560797,0.411400501508978,0,0,0.1020168411065,0,0,0.0144878876296282,0,0,0,0,0,0,0,0,0,-0.0205948134741702,0.087435866970932,0,0,0,0,0.170496812542835,0,0,0,0,0,0,0,0,-0.0625866457335612,0,0,0,0,0,0,0,-0.0423968332925576,0,0,0,0,0,0,-0.0292196607955504,0,0,-0.0067605726578834,0.00447940585457671,0,0,0,0,0,0
