,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X601600.SH,X600547.SH,X600585.SH,X600660.SH,X600886.SH,X600795.SH,X000792.SZ,X600362.SH,X002466.SZ,X000708.SZ,X002460.SZ,X600010.SH,X600027.SH,X600111.SH,X000301.SZ,X600489.SH,X600160.SH,X601699.SH,X600803.SH,X000877.SZ,X000983.SZ,X600426.SH,X601991.SH,X000630.SZ,X000408.SZ,X000786.SZ,X000807.SZ,X601168.SH,X000933.SZ,X600612.SH,X600985.SH,X600176.SH,X002271.SZ,X600219.SH,X002128.SZ,X000932.SZ,X600096.SH,X000883.SZ,X600348.SH,X000027.SZ,X002353.SZ,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.165378705559655,0.207006042292754,0,0.159808467491989,0.0311971661555943,3.46944695195361e-18,0,0.0473939957628739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399036581126674,0,0,0,0,0,0,0.0547249816760226,0,0,0,0,0,0,0,-0.0152039293338915,0,0,0,0,0,0,0,0,0,0,0,0,0.1331352597358,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.100474757780202,0.0736919161028095,0,0.000569630758322168,0,0,0,0,0,0,0,-0.0601915547158729,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.161893207920423,0,0,0,0,0,0,0,0.0760875482025951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.0106794298700812,0,0,0,0.113724138022752,0,0.19769526976636,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0683007475435028,0,0,0,0,0,-0.0333267920143963,0,0,0,0.225592032557844,0,-0.0287856262700499,0,0,0,0,0,0,0,0.00811799712885216,0.143609771725987,0,-0.013385079341024,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677131725597434,0,0,-8.67361737988404e-19,0,0.168189022610335,0,0,0,0,0.181087410666634,0,0,0,0.0852212974329294,0,0,0,0,0,0.189961873500452,0.000778733954509689,0,0,0,0,0,0,0,0.0290359627315405,0,0,0,-0.0612369282047346,0,0,0,0,0,0
X600188.SH,0,0,0.0428125358271551,0,0,0.172305594581444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612962873191138,0,0.373068585390003,0,0,0.112446974771618,0,0,0,0,0,0,0.00604075982487849,0,0,0,0,0,0,0.141747051806013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.218180877693894,0,0.491258887537812,0,0,0,0,0,0,0,0,0,-0.0524819793579152,0,0,0,0,0,0,0,-0.00300878364187677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312540680566132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143872976700556,0,0,0,0,0
X600011.SH,0.00928811344870647,0,0,0,0.0119248151121746,0.196874128116337,0,0,0,0,0,0,0,0.0457678721066438,0,0,0,0,0,0,0.2570196297295,0,0,0,0,0,0,-0.028194554001442,0,0,0.195601411469553,0,0,0,0,0.00170736537329552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176524768630647,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.106609182849298,0,0,0,0,0,0,0,0,0.0445662749311561,0,0,0,0,0,0,0,0,0,0.0566461180628963,0,0.0327038220671764,0,0,0,0,0,0,0,0,0,0.0914445554383788,0,0,0,0,0,0,0,0.0879781670488691,0,0,0,0,-0.0658654103168676,0,0,0,-0.0041421832839691,0,0,0,0,0,0
X601600.SH,0.2438279144473,0,0,0,0,0,0,0,0,0.108917459127708,0,0,0,0.0012357163760681,0,0,0,0,0,0,0.0596686059353482,0,0,0,0,0,0.0214443149164469,0.0967283086653404,0,-6.93889390390723e-18,0,0.0756130887650096,0,0,0.0990579107646417,0.0842990306364879,0,0,0,0.0675840544041339,0,0,0,0.0583496882736983,0,0,0,0.137652579999552,0,0,0,0,0,0.00398298603299695,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0435807999914173,0,0,0,0,0,0,0,0,0,0,-0.0494055369413766,0,0,0,0,0,0,0.781918462545792,0,0,0,0.014524379620789,0,0,0,0,0,0,0.0133577224371702,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.00838745767032658,0.0284533861745649,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.04393188658669,0,0,0,0,0,0,0,0,0,0.0188778471695177,0,0,0,0.0773533103124148,0,0,0,0,0,0,0,0,0,0,-0.0236547804729477,0,0,0,0,-8.67361737988404e-19,0,0,0,0.235964696134019,0.0683435291522336,0,0,0,0,0,0,0,0,0,0.0521234032495924,-0.0577744474657962,0.0574557649535424,0,0,0,0,0,0
X600660.SH,0.0822588966393797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434817799518461,0,0,0,0,0.089068801308136,0,0,0,0,0,0,0,0,0,-0.0681076847216234,0,0,0,0,0,-0.0210080037111581,0,0,0,0,0,0,0,0,0,0,0,0.0817039170914896,-0.0199021560909186,0,0,0,0,0
