,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X601898.SH,X600019.SH,X600795.SH,X601600.SH,X600585.SH,X600688.SH,X601991.SH,X600886.SH,X600027.SH,X600157.SH,X600362.SH,X600188.SH,X600111.SH,X600583.SH,X000709.SZ,X000539.SZ,X000027.SZ,X601992.SH,X601158.SH,X000898.SZ,X000883.SZ,X600309.SH,X600021.SH,X002075.SZ,X000629.SZ,X600863.SH,X600352.SH,X000792.SZ,X600307.SH,X000060.SZ,X601918.SH,X600808.SH,X600022.SH,X600098.SH,X600578.SH,X000825.SZ,X600489.SH,X002353.SZ,X600008.SH,X600547.SH,X002470.SZ,X600660.SH,X000878.SZ,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.409007858983431,0,0.0230167987323742,0,0,0,0,0,0,0,0,0,0,0,0,0.0528120593106036,0,0,0,0,0.0714320516544132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00530056975822371,0,0,0,0,0,0,0,0,0,0.0432093472673586,0,0,0,0,0,-0.0067602987918206,0,0,0,0,0,0
X600028.SH,0.452397522228057,0,0,0,0,0.0531070341139205,0,0,0,0,0,0.0248345703818962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422821058084163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00943347806701137,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.207685188201816,0,0,0,0,0,0,0,0,0,0,0.00580837736563203,0,0,0,0,0,0,0,0.105846186462726,0,0,0,0,0,0,0,0,0,0.142639793006821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229800610070533,0.000318279181238189,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.105973413789198,0.013182982745396,0,0.00856262797051717,0,0,0.113190969180316,0.0681192897047525,0.112357047740815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378025957236331,0,0,0,0,0,0,0,0,0,0,-0.00511216894777495,0.0078467134693244,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.141391647529126,0,0,0,0,0,0,0,0,0,0,0.260372213828028,0,0.180215189268084,0,0,0,0,0,0.00790897907357714,0,0,0,0,0,0,0,0,0.0437573172305023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00841210701648385,0,0,0,0,0,0,0
X601898.SH,0,0,0.283278496797479,0,0,0,0.14761188826401,0,0.121773061002087,0,0.0996951443035019,0.0895087817200114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562647873624074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180591066035305,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0752292475486872,0,0,0.0217466431552337,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0371643237845448,0.156220869357018,0,0,0.0589647372781949,0,0.164054427819152,0,0,0.0551040476147591,0,0,0,0,0,0,0.0690163764703175,0.0572806436004462,0.0470500293879288,0.0817885865933156,0,0,0,0,0,0,0,0,0,0,0,0,-0.00249988543225709,-0.00291482348528713,0,0,0,0,0,0
X600795.SH,0,0,0,0.0580230201563809,0,0,0,0,0.14854580682396,0,0,0.104117195667023,0,0.0667252569921823,0.0809156068321325,0,0,0,0.0831320519584847,0,0,0,0,0,0,0,0,0,0,0,0.133513258249558,0,0,0,0,0,0,0,0,0.08133957855065,0,0,0,0,0,0,0,0,0,0,-0.0072795573053597,0.0103472416704871,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0135282510864112,0.198049899571476,0,0,0,0.0472874223849587,0.0305337162248151,0,0,0.0965838353718073,0,0,0,0,0,0,0,0.0708639273853477,0,0,0,0,0,0,0,0,0,0,0,0.0753580541430415,0.000275751910877494,0.224877114552246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00855673256550496,0,0,0,0,0,0
X600585.SH,0,0,0.049156318124123,0,0,0,0,0,0,0,0,0,0,0,0,0.0358423163933986,0,0,0,0,0,0,0.104635816209099,0,0.035106219449824,0,0,0,0,0,0,0,0,0,0.0553447906649639,0,0.00867046967476514,0,0,0.130981479203028,0,0,0,0,0,0,0,0,0,0,-0.029232117331507,-0.0266576041733391,0,0,0,0,0,0
