,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600188.SH,X002466.SZ,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X600010.SH,X002271.SZ,X600660.SH,X600011.SH,X000301.SZ,X000877.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600176.SH,X600795.SH,X600362.SH,X600426.SH,X000786.SZ,X600096.SH,X600803.SH,X000723.SZ,X000983.SZ,X000408.SZ,X002080.SZ,X300073.SZ,X600141.SH,X601991.SH,X601699.SH,X600486.SH,X600219.SH,X002192.SZ,X300037.SZ,X002353.SZ,X600027.SH,X600801.SH,X000959.SZ,X002497.SZ,X600295.SH,X600157.SH,X000683.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.094946538489029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142342868764462,0,0,0.127033517710582,0,0,0,0,0,0,0,0,0,0,0.0595286569058972,0,0,0,0.0123433114479111,0.108413870049554,0,0,0,0,-0.00756734372780359,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.330139368479899,0,0,0,0,0.0474477778050134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387845313944651,0,0,-0.0471967350254869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0032653656059798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15674974011882,0,0,0,0,0,0,0,0,0.0107681547652842,0,0,0,0,0,0,0,0,0,0,0,0.0648639700262829,0,0,0,0,0.0159563651304532,0,0.02880438451384,0,0,-0.0156433996628026,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0816082625495482,0,0,0,0,0.0577013198751295,0,0.131773941173683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0216970245454713,0,0.103443700443503,0,0,0,0,0.137051523420134,0,0,0,0,0.00648655726837218,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.0392375889869816,0.341626157797151,0,0,0,0,0.180908241553844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465316604640455,0,-0.0363412428000734,0,0.00603463066805611,0,0,0,0,0,0,0,0.169657938226976,0.0870004512234844,0,0,0,0,0,0.0223305127013939,-0.0281138082730001,0,0,0,-0.0163980192700665,0,0
X600188.SH,0,0.337925187211701,0,0,0,0,0,0,0.0404335559011819,0,0,0,0,0,0,-0.243825637371161,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.354938121096124,0,0,0,0,0,0,0,0,0,0.0696770187315979,0,0.0238866481276053,0,0,0.0404904847199806,-0.0473818948710223,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.546093910963499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843843437476484,0,0,0,0,0,0.267253124999924,0,0,0,0,0,0.0223741044931047,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.00348053624683327,0,0,0,0,-0.015341171244222,0,0,0,0,0.118264483582932,0,0,0,0,0,0.106568790193265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187681753720138,0,0,0,0,0,0,0,0.388013739848226,0,0,0,0,0,0,0,0,-0.00753355195014225,0,0,0,-0.00296128765934597,0,0
X000792.SZ,0,0,0,0,0,0.0624920819262897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227795219983282,0.114785524969024,0,0,0,0.417384328078583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563106898296318,0,0,-0.0216950910939343,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107026287819136,0,0,0,0,0,0,0.0370642168455839,0,0,0,0,0,0,0,0,0.0052538007654757,0,0,0,0,0,0,0,0,0,0,0,0.0692176839772038,0,0,0.207927415031152,0,0.13966859814369,0,0,0,0,0,0,0,0,0,0,0,0
