,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X002460.SZ,X600011.SH,X600660.SH,X600886.SH,X601600.SH,X600801.SH,X601898.SH,X600010.SH,X600362.SH,X000786.SZ,X600489.SH,X600352.SH,X600111.SH,X601991.SH,X600176.SH,X600188.SH,X600426.SH,X002466.SZ,X600299.SH,X600795.SH,X600688.SH,X600027.SH,X601992.SH,X002080.SZ,X600529.SH,X002353.SZ,X002409.SZ,X600612.SH,X600219.SH,X000301.SZ,X600486.SH,X600315.SH,X000932.SZ,X600516.SH,X000027.SZ,X600126.SH,X000723.SZ,X601158.SH,X000898.SZ,X000877.SZ,X002075.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0382831688824347,0,0,0,0.0891816868547308,0,0,0,0,0,0,0,0,0,0.00119710229550943,0,0,0,0,0,0,0,0,0,-0.0112456589860953,0.0987822882078161,0,0,0,0,0,0,0,0,0,0,0.0557472916151988,0,0,0.0150906261321618,0,0,0,-0.00203397957025265,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.00713783217556744,0,0,0,0,0,0,0,0.0352945488197058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223482929043406,0,0.147020298156789,0,0,0,0,0,0,0,0.0293420673668986,0,0,0,0,0,0,0,0,0.00103877873363432,0.00568503348621983,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0189040435710165,0,0,0,0,0,0,0,0,0.0370163842535815,0.0138253620912701,0,0,0,0,0,0,0,0,0.0295151447601257,0.0942097487794577,0,0,0,0,0,0,0,0.179153837403946,0,0.0495257708241521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237563218643668,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0770296844857593,0,0,0,0,0,0.110062116141495,0,0,0,0,0,0,0,0,0,0,0,0.0681150424504899,0.194399512103321,0,-0.00751433211794543,0,0,0,0,0,0,-0.0147546383734854,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0042148479419215,0,0,0,0,0,0,0.00716785145365354,0.00901687255862043,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0906448437464808,0.0545102942686034,0,0.0218229889199963,0,0,0,0,0,0,0,0.0952440622016665,0,0,0,0.0183040652505095,0,0.182057861286846,0,0,0,0,0,0,0.0658358235775082,0,0,0.0541106444221178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227686099577161,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.0327358765020975,0.0198845706584289,0,0,0,0,0,0,0,0,0,0.720764773774553,0,0,0,0,0,0,0,0.02341445520768,0,0,0,0,0,0,-0.0735430169592944,0,0.111451380742043,0,0,0,0,0,0,0,-0.0353892610738909,0,0,0,0,0,-0.0202807054980934,-0.00778120842542316,-0.0212164918613161,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321740396141516,0,0,0,0,0,0,0,0,0,0.0390320593403944,0.124930836843376,0,0,0,0,0,0,0,0,0,0.114495751363291,0.0413958010278499,0,0,0,0,0,0.0461711911830765,0,0,0,0.0515097415421756,0,0,0,0,0,-0.000778894724418571,-0.0013572145420954,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219578146107889,0,0,0.0130619047269838,0,0,0.126578943078197,0,0,0,0,0.114221412498045,0,-0.00668152659610981,0.0839974534772314,0,0,0,0,0,0,0,-0.0147631323799123,0,0,0,0,0,0,0.186794602224887,0,0,0,0,0,0,0,0,-0.00952071454909765,-0.0161239533956159,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.11670755391348,0,0,0,0,0.00802785041118748,0,0,0,0,0,0,0,0,0.206325565329322,0,0,0.240883290550141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388168161207429,0,0,0,0.0590315814678667,0.13003465156097,0,0.0333578254190465,0,0.15391954511673,0,0,0,0.0441716136755612,0,0,-0.0133518266002637,-0.0175980394652339,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0522972442291323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294134810305794,0,0,0,0,0,0.0435324391319841,0.0879216234234457,0.086031161552689,0.114704245605112,0,0,0,0,0.159028862721036,0,0,0,0,0,0,0,0,0,0,0.0016582007033236,-0.00795532045402099,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0230774882440429,0,0,0,0,0,0,0,0,0.0265584357319152,0,0,0,0,0,0.101248217502319,0,0.0361743026285615,0,0,0,0.0921615539481351,0,0,0,0,0.0212226299382324,0,0,0,0,0,0,0,0,-0.00630287462001898,0,0,0,0,0,-0.0344646846513095,0,0.00983414111093288,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.132067817444084,0,0,0,0,0,0,0,0,0,0,0,0,0.0045577129243681,0,0,0.118089939335519,0,0,0,0,0,0,0,0,0,0,0,0.0265050473402108,0,0.109391022148107,0.0900105048434872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114421204093388,0,0,0,0,0,0,0
