,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X601600.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X002460.SZ,X000708.SZ,X600803.SH,X600027.SH,X000301.SZ,X600160.SH,X000786.SZ,X002466.SZ,X600426.SH,X601991.SH,X000983.SZ,X601699.SH,X000807.SZ,X600219.SH,X000630.SZ,X600985.SH,X600176.SH,X000408.SZ,X601168.SH,X002128.SZ,X000933.SZ,X600096.SH,X000877.SZ,X000883.SZ,X600378.SH,X600352.SH,X600995.SH,X002353.SZ,X002271.SZ,X600612.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.410345704493893,0,0.0620846157572828,0,0,0,0,0,0,0.301558222373205,0,0,0,0,0,0.0660287651541663,0,0,0,0,0,-0.0447331113009469,0,0,0,0,0,0,0,0,0.193357547578314,0.0407594118504958,0,0,0.00477712549093582,0.114491173512318,0,0,0,0,0,0,0,0,0.0836317513230595,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.108065146062549,0,0,0,0.177684020033719,0.0392664449172056,0,0,0,0,0,0,0,0,0.059587938858738,0,0,0,0,0,0,0,0,0,0,0,-0.176789152318236,0,0,0,0,0,0,0,0.0844657378029619,0,0,0,0,0.0915772624055346,0,0,0,0,0,0,0,0,0,0,0,0,-0.00991825806996062,0,0,0,0,0,0
X600028.SH,0.461080900053199,0,0,0,0.155677376935103,0,0,0,0,0,4.18535484950928e-05,0.0698193671156142,0,0,0.167265919551872,0,0,0,0,0,0,0.021856220092555,0,0,0,0,-0.0655413645360424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151708690881043,0.0254256433841418,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0660503969563537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143974543920731,0,0.0874987399583942,0,0,0,0,0,0.332780907187416,0,0,0,0,0,0,0,0,0,0,0.221156616247001,0,0,0,0,0,0,0,0.0267971748825906,0,0.163542588592875,0,0,-0.105556900706215,0,0,0,0,-0.010936134807631,0,0
X601898.SH,0,0.55934594096217,0.163062192814597,0,0,0.137627914444886,0,0,0,0,0,0,0,0,0,0,0,0.0817789696150332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288422111748407,0,0,0,0,0.09459082611095,0,0.138246303897595,0,0,0,-0.00958357960867989,0,0,0,0,0,-0.0100981181194028,0,0,0,0.018123870260486,0,0
X600188.SH,0,0,0,0,0.168074710992692,0,0,0,0.109884236944707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161862476896758,0,0,0,0.387192544101401,0,0,0,0,0,0,0,0,0,0,0,0,0.0531847651800238,0,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0.213231678029947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236884464144602,0,0,0,0,0,0,0.283513878315097,0,0,0,0,0,0,-0.0585696619020945,0,0,-0.0349795721347906,0,0,0,-0.341310623878454,0,0,0,0,0,0.154522587585772,0,0,0,-0.0961698607598444,-0.0234230226627036,-0.118016207773869,0,0,-0.0453145062617062,0,0
X600019.SH,0,0.108249946743323,0.299025826473536,0,0,0,0,0,0,0.0570072177767471,0,0,0,0.161994926490876,0,0,0,0.0272932820389106,0,0,0.102079930389356,0,0,0,0,0,0.0304278560605413,0,0,0,0,0,0.0401197151103792,0,0,0,0,0,0,0,0,0,0,-0.0455117931906778,0,0,0,0,0,0,-0.00694209239638818,0,1.0842021724855e-19,0,0.0335453307732351,0,-0.10754469890254,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052074131213674,0,0,0,0,0,0,0,0,0.133890767012366,0,0,0,0,0,0.418707657331379,0.219487984588217,0.0869217837356301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0138220593091394,0,-0.0090572519496615,0,0,0,0,0.0673867659251218,0,0,0,0,0,0,0,0,0,0.16247046062186,0,0,0.00369004021569901,0,0,0,0,0,0,0,0,-0.0448522563318242,0,0,0,0,0,0.223843275833658,0,0,0,0,0,0,0,0,-0.0593140132049317,0.0807771564254883,0.0148750649426224,0,0,0,0.0074303286972211,0,0
