,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600019.SH,X600111.SH,X601898.SH,X002271.SZ,X600011.SH,X600660.SH,X000877.SZ,X600010.SH,X000301.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600176.SH,X600426.SH,X600362.SH,X600096.SH,X000786.SZ,X000723.SZ,X000983.SZ,X600803.SH,X000408.SZ,X601991.SH,X300073.SZ,X600141.SH,X002080.SZ,X601699.SH,X600486.SH,X600219.SH,X600027.SH,X600801.SH,X002192.SZ,X002353.SZ,X000959.SZ,X600157.SH,X600295.SH,X600489.SH,X000807.SZ,X000932.SZ,X002497.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0238345332296171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671200090829224,0,0,0.13561679473083,0,0,0,0,0,0,0,0.0538909280035333,0,0,0,0,0.139348118679814,0,0,0.112240403742726,0,0,0,0,0,-0.0115252840588612,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.221390381757499,0,0.050826010961412,0,0,0.108521266145784,2.16840434497101e-19,0,-0.0574604309409323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029140559932007,0,0,0,0,0,0,0.0348851738113163,0,0,0,0,-0.0622647605722752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292497544039264,0,0,0,0,0,0,0,0.00623473044264006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461450340450963,0,0,0.0550340812831429,0,0.0702320477405028,0,0,0,-0.0079960538378486,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0875243860812314,0,0.0484461985376353,0,0.131836384557532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126081412239853,0.0640885839447315,0,0,0.153552192450914,0,1.73472347597681e-18,0.0335749412417866,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.313608799168498,0,0,0.150544687727711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00506266572497207,0,-8.67361737988404e-19,0,0,0,0,0.0899101284626522,0,0.169701575774,0,0,0,0,0.0525062612652492,0.019980891351775,0,0.0117170074045272,-0.038984412573132,0,0,0,0,0,0
X600585.SH,0,0,0,0.00457114400781916,0,0,0,0,0,0,0,0,0.125559125362356,0,0,0,0,0,0,0.0988808667409542,0,0,0,0,0,0,0,0,0,0,0,0,0.0280881306412623,0,0,0,0,0,0,0.00519445516577587,0.376917840597069,0,0,0,0,0,0,0,0,-0.00777498818059513,0,0,-0.00833587083749175,0,0,0,0,0,0
X600188.SH,0,0.376790004291927,0,0,0,0,0,0,0.0341541345967229,0,0,0,0,-0.248678875033492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441485026583659,0,0,0,0,0,0,0,0,0.346010815776892,0,0,0,0,0,0,0,0,0.160348840161052,0,0,0,0,0,0.0323714869364372,-0.0458334212451134,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.590520882772768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707445954076832,0,0,0,0,0,0,0,0.243137266469992,0,0.00387619687373609,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0281702416301468,0,0.075776110552607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128336669485279,0,0,0,0,0.418000385950478,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0244902192683232,0,0,0,0,0,-0.0387182105997375,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0620303636120649,0,0,0,0,0,0,0,0,0,0.0164548679942674,0,0,0,0,0,0,0,0,0,0,0,0.0456093588470188,0.0223193869062842,0,0,0,0,0,0,0.0505380182973687,0,0,0,0,0,0,0,0,0,0,0,0.341976337966957,0,0,-0.0106799043060802,0,0,0,0,0,0,0
