,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X000708.SZ,X002271.SZ,X002466.SZ,X600547.SH,X000786.SZ,X600176.SH,X600362.SH,X000301.SZ,X600426.SH,X600011.SH,X600111.SH,X600886.SH,X601898.SH,X601600.SH,X600010.SH,X600486.SH,X600352.SH,X002080.SZ,X600188.SH,X002353.SZ,X601991.SH,X600801.SH,X600795.SH,X600489.SH,X600803.SH,X600219.SH,X600688.SH,X300037.SZ,X600299.SH,X600027.SH,X600516.SH,X000932.SZ,X600157.SH,X601168.SH,X600399.SH,X000723.SZ,X601992.SH,X000027.SZ,X002409.SZ,X000898.SZ,X600315.SH,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.008223029374529,0,0,-0.00673654061176006,0,0,0,0,0.0610049925349176,0.0207173817839903,0,0.0391631195524755,0,0,0,0,0,0,0,0,0.0450294499021304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582178618626945,0,0,0,0,0,0,0,0,0,-0.00252346576536168,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,-0.0200965095860933,0,0,0,0,0,0,0,0,0.0595673769447625,0,0,0.00103406684892701,0,0,0,0,0,0.0141644211335322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193816169800403,0,0,0,0,-0.0135554604494992,0,0,0,-0.00277547642919817,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127820608552594,0,0,0,0,0,0.128154667333479,0,0,0,0,0,0.243789452781919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011533079509916,0,0,0,0,-0.0111816852737893,0,0
X600309.SH,0,0,0,0,0,0,0,0.0672877054171909,0,0.117248884773065,0,0,0,0,0,0,0.118910835257421,0,0,0,0,0,0,0.183068145630253,0,0.0330539292406092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432418271454864,0,0,0,0,0,0.0829483724459803,0,0,0,0.0254782500373961,0,0,0,-0.00384178991125372,0,0
X600585.SH,0,0,0,0,0,0.0488828185596413,0,0.0173204406872123,0,0,0,0,-0.0168559141286365,-0.0168375653836044,0,0,0,0,0,0,0.0296645456078822,0,0,0,0,0,0,0,0,0.151157347499135,0,0,0,0,0,0,-0.0386429387616652,0,0,0.00956646624214768,0,0.0789424940157909,0,0,0,0,0,0,0,0,0,-0.00319961143924494,1.0842021724855e-19,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.30664929855052,0,0,0.420365467813554,0,0,0,0,0.00483439811301597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279746469123086,0,0,0,0,0,0.185672405695086,0,0,0,0,0,0,0,0.13540584567263,0,-0.0339653179683843,0,0,0,0,-0.00696368635657105,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.197665107519131,0,0,0,0,0,0,0,0,0,0.22706316449544,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.151133170837056,0,0,0,0,0,0.00691865350815025,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0349740704549696,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.14362426314621,0,0,0,0.107689512814217,-0.0578670113633541,0,0,0,0.127218343294259,0.0285135265320361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117485200300701,0,0,0,0.0199098917921227,0,0,0,0,0,0,0.0783400286514893,-0.179286158476052,0,0,0,0,0,0,0,-0.0183579723519297,0,0,0,0,0.0230518526847525,0,0
X000708.SZ,0,0,0,0,0,0,0.0684782891454237,0,0,0,0,0,0,0,0.0102636008113265,0,0,0,0,0,0.00390020485907553,0,0,0,0,-0.0795247518586303,0,0,0,0,0,0,0,0.127994029342032,0,0,0,0,0,0,0,0.0888299511926417,0,0,0,0,0,0.0812623274168656,-0.0273408760138975,-0.00796441626738276,0,0,0.00336087122335508,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0.231802130501683,0,0,0.0612158789837043,0,0,0.151532438431304,0,0,0,0,-0.0095941027378561,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00574270171532856,0,0,0,0,0,0,0,0,0,0.0822199420151135,4.33680868994202e-19,0,0,0,0,0,0,0,-0.0257758809363788,0,0,0,0,0.0158259422472837,0,0
