,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600547.SH,X600516.SH,X601992.SH,X002466.SZ,X600111.SH,X600027.SH,X600176.SH,X600352.SH,X000709.SZ,X600299.SH,X002460.SZ,X600808.SH,X300072.SZ,X002110.SZ,X000553.SZ,X600801.SH,X000786.SZ,X600339.SH,X000932.SZ,X600583.SH,X600426.SH,X601158.SH,X000883.SZ,X000301.SZ,X600219.SH,X000629.SZ,X000792.SZ,X600489.SH,X000539.SZ,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0149986276368918,0,0,0,0,0.033976034674959,0,0,0,0,0.0519650770412384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252788953176759,0,0,0,0,0,0.196132676808279,0,0,0.0860292928318065,0,0,0,0,0,0.0248869758921434,0,0,0,0,0.00848148444715106,0,0,0,0,0,0,0
X600028.SH,0.0285461216949152,0,0.487898542235274,0,0,-0.0320621741282804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410466442625844,0,0,0,0,-0.0419705609659509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0.0731013603588184,0,0.0217257655981224,0.0953863755102104,0,0,0,0,0,0,0,0,0.189470822478324,0,0,0.325803020394943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.00892797107950914,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00685968284437555,-0.0245559017005184,0,-0.0306298702637099,0,0,0,0
X600585.SH,0,0,0.0298202699325923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561918168250074,0,0,0,0,0,0,0,0,0,0,0,0.331246822115073,0.220850274220491,0,0,0.0749463649244977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935196360507263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752803263348182,0,-6.93889390390723e-18,0,0,0.352984342251179,0,0,0,0,0,0,0,0,0,0,0,0,0.0119286010971491,0.00299639903401456,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107297204895214,0,0,0,0,0,0,0,0.125922775763878,0,-0.215528582037149,0,0,0,0.141215819821809,0.132446193981096,0,0,0,0.194146868965852,0,0,0,0,0,0.102462195535161,0,0,0,0,0.00618117841626553,0.0132226495099021,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757440594065818,0,0.0227162245155226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0728745774677832,0,0.0380351964924842,0,0.00626407608309982,0.024546144498846,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187902261069846,0,0.274892580404659,0.137344368164536,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0747167367656315,0.124687641579855,0,0.0327990785248517,0,0.0101491220022416,-0.00297752435010432,0,0,0,0,0,0
X601898.SH,0,0.00955112955037691,0,0,0,0,0,0,0,0,0,0,0.273014657043793,0,0,0,0,0,0,0.0936943081768862,0,0,0,0,0.0559427531713793,0,0,0,0,0.0473011814601992,0,0.103510031686247,0,0,0,0,0,0,0,0,0,0,0.0187825548501455,0,0.0601329358965401,0,0,0,0,-0.0105360913970423,-0.0120800691844595,0,0,0,0,0,0
X600660.SH,0,0,0.0711434493569761,0.0769084539072071,0,0.0847971456020409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779157720093005,0,0,0,0,0,0,0,0.057089484534727,0,0,0,0.0123001831873045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602832767386758,0.00233918500638527,0.0411434233630722,0,0,0,0,0,0
X600688.SH,0,0.228953777649125,0.0244174963058446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161839526301974,0,0,0,0,0.0450689176329842,0,0.0141955120691839,0,0,0,0,0,0,0,0,0,0,0,0.000606078022513223,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293760591679907,0.00522820508760201,-0.00194674354104154,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187608233230012,0,0,0.128685758379009,0,0,0,0,0.0348234019624347,0,0,0,0,0,0,0.0930499380723379,0,0.0848542268622067,0,0,0,0,0,0,0.0682394853009593,0,0,0,0,0.00389910585472493,-0.000329339959200632,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687855623724539,0,0,0,0,0,0,0.0289857116057439,0,0,0,0,0,0,0,0,0.0553689638424334,0,0.0203433401872518,0.10787003853788,0,0,0,0,0.385798758160253,0,0,0,0,0,0,0.0377925671804531,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.346440914724199,0,0,0,0.121132761927426,0,0,0,0,0,0,0,0,0,0,0,0,0.0374053560018724,0,0.0570052670102169,0,0,0.0677079934100336,0,0.264959769579461,0,0,0,0,0,0,0,0,0,0,0,0,0.00309307243821584,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.129717363892034,0,0,0,0,0,0,0,0,0,0,0.010365895936634,0,0,0,0,0,0,0.0120486219463982,0,0,0.0914971671926522,0,-3.46944695195361e-18,0,0,0,0,0.0825226275405588,0,0,0,0,0,0,0,0,0,0.0876357325246073,0.0180886057241448,0,0,0,0.000160361522547719,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0452083439959152,0,0,0,0,0,0.0975369305997355,0,0,0,0,0.246323664112162,0.00280446430376314,0.050403319115447,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0431292869004512,0,0,0,0,0,0.0713078166833411,6.93889390390723e-18,0,0,0,-0.000428535954982193,-0.00579044120771207,0,0,0,0,0,0
