,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X002466.SZ,X600019.SH,X601898.SH,X600111.SH,X002271.SZ,X600011.SH,X000877.SZ,X600660.SH,X600010.SH,X000301.SZ,X000708.SZ,X601600.SH,X600547.SH,X600886.SH,X600176.SH,X600362.SH,X600426.SH,X600795.SH,X000983.SZ,X000723.SZ,X000408.SZ,X000786.SZ,X600096.SH,X600803.SH,X601991.SH,X601699.SH,X600801.SH,X600486.SH,X600219.SH,X600141.SH,X000807.SZ,X600295.SH,X002080.SZ,X000830.SZ,X600027.SH,X000932.SZ,X600985.SH,X601666.SH,X600157.SH,X600688.SH,X300073.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0864757126382144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155310498165536,0,0,0,0,0,0,0,0.0280637391854399,0,0,0.0926487763205745,0,0.0483294081558998,0,0,0,0.0234543865798762,0,0.0158227438555691,0,0,0,0.171177876873586,0,0,-0.048184780950419,0,0,0,0,0,0
X601088.SH,0.197636519294759,0,0,0,0,0.0780371069561116,0,0,0,0,0.186013447974018,0,0,0,0,-0.00763429182992373,0,-0.000474824684376709,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392134606471216,0,0.176575294982939,0.0503902648926526,0,0,0,0,0,0.046606679170817,-0.0139164351816967,0,0,0,0,0,0
X600028.SH,0.0289353465401741,0,0,0,0,0,0,0,0,0,0.0288656827681592,0,0,-0.0229998437388657,0,0,0,0,0,0.0387167605242852,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0620485607564327,0,0,0.0347701523576016,0,0,0,0,0,0,0,0.0560976867236035,0,0,0,-0.00100517507277188,-0.0352334508434587,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0452242930654558,0,0,0,0.191140756604931,0.0289944260488693,0.000631231334216508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330984188759992,0,0,0,0,0,0,0,0,0,0.0606784359440594,0,0,0.177220415658006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0592298954335289,0,0.05535159697234,0,0,0,0,0,0.0134331606627467,0,0,0,0,0,0,0.0383991067587506,0,0.0582577307825322,0,0,0,0,0.374945849072786,0,0.0102968029717265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.788807360427492,0,0,0,0,0.040762866047037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489958954735045,0.130737887212554,0,0,0,0,0.223019261033743,0.0167027700023808,0,0,0,0,0,0.038533671083324,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.527379811444535,0,0,0.149353741740069,0,0.0205399475249945,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.122104749845771,0,0,0,0,0,0.0988375008739227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388014404977933,-0.0149425467998039,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.124909781812244,0,0.295636320571023,0,0,0,0,0,0,0,0,0,0,0.109409295376607,0,0,0,0,0,0,0,0,0.0797979689121984,0,0,0.0498552122491601,0,0,0,1.73472347597681e-18,0,0.261631140682513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.889538524269258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455363296637694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101318670865974,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0248456238878019,0,0,0,0.422447551974317,0,0.0693228277978061,0,0,0,0,0,0,0,0,0,0,0,0,0
