,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600157.SH,X600362.SH,X601992.SH,X600111.SH,X600188.SH,X600299.SH,X601158.SH,X600352.SH,X000027.SZ,X000539.SZ,X600583.SH,X600309.SH,X600660.SH,X000630.SZ,X600623.SH,X002466.SZ,X600098.SH,X000792.SZ,X600160.SH,X000709.SZ,X000898.SZ,X000883.SZ,X600021.SH,X002470.SZ,X000060.SZ,X600863.SH,X600578.SH,X600489.SH,X600315.SH,X300072.SZ,X000629.SZ,X600547.SH,X600022.SH,X600808.SH,X601918.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.260631284034399,0,0,0,0,0,0,0,0,0,0,0,0.0434315606704412,0,0,0.00507918914658721,0,0,0,0,0,0,0,0,0,0,0.0246529259685841,0,0,0,0,0,0,0,0,0,0,0,0.0628920550383324,0,0.0577681873036322,0,0,-0.0116509132055235,0,0,0,0,0,0,0
X600028.SH,0.19900563601692,0,0,0,0,0,0,0.0745372182608728,0,0,0,0,0,0,0,0,0,0,0,0,0.0190387217068376,0,0.0182329637669354,0,0,0,0,0,0,0,0.0459676029067224,0,0,0,0,0,0,0,0.0911131109425492,0,0,0.116558303856398,0,0,0,0,0,0.0177869344794747,0,0,0.0036151116489129,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.303305137977297,0,0,0.134535056571648,0,0,0,0,0,0,0,0,0,0.0656166041827092,0,0.0800560048474548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877523190899363,0,0,0,0,0,0,0,0,0,0,0,-0.00743475143789228,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.348369143600768,0.0620110509818654,0,0,0,0,0.11661968814029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439409809792969,0,0.0322035456348283,0,0,0,0,0,0,0,0,0,0,0,0,-0.00184383570354299,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0144032195151691,0.113159412433452,0,0,0,0,0,0,0,0,0,0,0.0511633123683919,0,0,0,0,0.337233685716308,0.187209512575947,0,0,0.146876991049123,0,0,0,0,0.0168069359066232,0,0,0,0.00247320397401959,0,0,8.67361737988404e-19,-0.0263815371089998,0,0,0,0,0,0
X600019.SH,0,0,0,0.0560150636776657,0.0881351326001594,0,0,0,0,0,0,0,0,0,0,0.00611579078669104,0.152534708138231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199138345365057,0.0563073075329047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664752359231679,0,0,0,0,0,0
X600585.SH,0,0,0.278610642836836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678742504274363,0,0,0,0.0339400321945491,0,0,0,0,0.0784150897060201,0,0,0,0,0,0,0,0,0,0,0,0,0.0958168582878641,0,0,0,0,0,0,0,0,0,0.022060105930938,0,-0.0111795198834365,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.502366591912143,0,0,0,0,0.115910521321631,0,2.16840434497101e-19,0,0,0,0.0588670341485636,0,0.128049557787709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468931642781848,0,0,0.00213224090179149,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0587281689935803,0,0,0,0,0,0,0,0,0.0463557963442455,0,-1.73472347597681e-18,0,0,0.00388139012508803,0,0.174554210212099,0,0,0,0,0,0.000955743179417722,0.0318190864600484,0,0.00886158610749604,0,0,0.148113453650325,-1.0842021724855e-19,0,0.010876418929786,0.0293824782275219,0,0,0,0,0,0,0,0,0,0,-0.00686555095201706,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.24636050791425,0,0,0,0,0,0,0.215937633369431,0,0,0,0,0,0,0,0.00296667005043006,0,0,0,0,0,0,0,0,0,0.0221513862267894,0,0,0,0,0,0,0,0,0.195495560366642,0,0,0,0.0670994443231356,0,0,0.0691357542064674,0,-0.00263731301769885,0,0,0,0,0,0,0
