,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X601600.SH,X300072.SZ,X600688.SH,X600309.SH,X600547.SH,X600795.SH,X601991.SH,X600660.SH,X600362.SH,X600188.SH,X000709.SZ,X600027.SH,X600886.SH,X002466.SZ,X600157.SH,X600111.SH,X600489.SH,X600339.SH,X000959.SZ,X000898.SZ,X600299.SH,X601158.SH,X600008.SH,X000883.SZ,X600583.SH,X600578.SH,X600219.SH,X000630.SZ,X000408.SZ,X002460.SZ,X000539.SZ,X000792.SZ,X000786.SZ,X600352.SH,X000401.SZ,X000983.SZ,X000027.SZ,X002092.SZ,X000723.SZ,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0450373930812179,0,0,0,0.0138960066979112,0,0.129640413242744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330827361297468,0,0,0,0,0,0,-0.0232904324274683,0,0,0,0,0,0,0,0,0.00126458676642453,0,0,-0.0150533916672124,-0.000651987870883863,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0355201428402524,0,0,0.0619159290960808,0.0629570028413421,0.0353926732895167,0,0,0,0,0.0621925957267361,0,0,0,0,0,0,0,0,0,0,0.0546050311997965,0,0,0.00770358068615527,0,0,0,0,0,0,-0.0563411676693895,0,0,0,0,0,0,0,0,0.0738011515512912,0,0,-0.00573109668457903,0.0051390099835613,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0229047831925402,0,0,-0.019711743361838,0.121451075703942,0,0,0,0,0,0,0.0181922819916286,0,0.0326918351540955,0,0,0,0,0,0,0,0,0,-0.0028448029867723,0.134829736079019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00298387777631117,-0.00555612179204153,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.135489227049371,0,0,0,0,0,0,0,-0.0506099615736047,0,0,0,0.00545705330682543,0,0,0,0,0,0,0,0,0.320996389649894,0,0,0,0,0,0.126692400273127,0,0,0,-0.013337440417727,0,0,0,0,-0.148311438962711,0,0,-0.142460034165558,0,0,0,0,0.00248547075664621,0,0,0,0,0,0
X600011.SH,0,0,0.174754015532296,0,0,0,0,0,0,0,0,0,0.0551580666801795,-0.198780777645019,0,0,0,0,0,-1.73472347597681e-18,0.330025573555407,0,0,0,0,0,0,0.0104230456714112,0,0,0,0.238344706274544,0,0,0,0,0,-0.00722554146623092,-0.0290365350009269,-0.141236297886094,0,0,0,0,0,0,0,0,0,0,0.0401742529428858,-0.00463816120848885,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432094702180174,0,0,0,0,0.00626127107340303,0,0,0,0,0.0708411607393721,0,0,-0.045350452171464,0,0.000211501753524937,0.227055190760905,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0188519956178404,0,0,0,-0.210704541896469,0,0,0.00610029983473075,-0.0142950243563703,0,0,0,0,0,0
X600010.SH,0,0,0,0.0688798116224647,0,0,0,0.00796539301954028,0,0,-0.0064789816921644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124728138167947,0,0,0.0518406569294582,0,0,0,0,0,0,0,0,0,0,0,0.0978030834089707,0.0700431485449805,0,0,0,0,0,0.0288202095928984,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436093315231386,0,0,-0.176739973418044,0,0,0,0,0,0.174945124512234,0,0,0.278712039624126,0,0,0,0,0,0,0,0,0,0,0,0.38164594035225,0,0,0,0,0,0,0.0199663979942111,0.0271285058694399,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697448753270368,0,0,0,0,0,0,0,0,0.0234810922029936,0.00616118741268347,0,0,0,0.0073279762275165,0,0.29685447874278,0,0.0411194799508299,0,0,0,0,0,0,0,0,0.164956686820679,0,0,0,0,0,0,0.0012149957555104,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.024617620818836,0,0,0,0,0,0,0,0,0,0.26910101070166,0.10108639707612,0,0,0,0.0680165184939523,0,0,0,0,0,0,0,0,0.0759033110568433,0,0,0,0.157173575463254,0,0,0,0,0,0,0,0,0.0520897434319078,0,0,0,0,0,0.0220154370516502,-0.00527701956094617,0,0,0,0,0,0
