,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600188.SH,X600688.SH,X600660.SH,X600362.SH,X300072.SZ,X601992.SH,X002466.SZ,X600795.SH,X600516.SH,X600547.SH,X601991.SH,X002460.SZ,X600111.SH,X600176.SH,X600886.SH,X000898.SZ,X000786.SZ,X000709.SZ,X600157.SH,X000792.SZ,X600352.SH,X000553.SZ,X000408.SZ,X600027.SH,X002271.SZ,X601699.SH,X600489.SH,X600219.SH,X600339.SH,X000983.SZ,X600808.SH,X000959.SZ,X002092.SZ,X601158.SH,X000883.SZ,X002110.SZ,X000630.SZ,X600299.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.477743941527947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102433785419448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00984679568397255,0.000501357620198703,0,0,0,0,0,0
X600028.SH,0.367460129274022,0,0.0150320029789563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0721864173776578,0,0,0,0,0,0.0446582264279916,0,0,0,0,0,0,0,0,0,0,-0.0946142360635037,0,0,0,0,0,0,0,0,0,-0.00913292331905524,0.0258700053215085,0,0,0,0,0,0
X601088.SH,0,0,0,0.109673961516866,0.285781100132409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297890490305429,0,0,0,0,0,0,0,0,0.0469574932996191,0,0,0,0,0,0,0,0,0,0,0,-0.00609706869185497,0,0,-0.00704391601089731,-8.67361737988404e-19,0,0,0,0,0,0
X600019.SH,0,0,0.147466033522471,0,0.0169851792683527,0,0,0,0,0,0,0,0.0415908175153529,0,0,0,0,0.0331570557393605,0,0,-0.0403341096815711,0,0,0,0.283933765585687,0.0238820561038999,0,0,0,0,0,0,0,0.0966577870659463,0,0,0,0,0,0.123522808672098,0,0,0,0,0,0,0,0,0,0.0195778833445177,0.006928231745958,0.158495683477905,0,0,0,0,0
X600585.SH,0,0,0.370585878928841,0,0,0,0,0,0,0,0,0,0.053783626917567,-0.0269768192105116,0,0.254270820158082,0,0,0,0,0,0,0.0175494674373248,0,0,0.0428281501018728,0,0,-0.216097155599663,0,0,0,0,0,0,0,0,0,0,0.207203236983074,0,0,0,0,0,0,0,0,0,-0.00718731852925053,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0195949944314655,0,0,0,0,0,0,0,0,0,0,0.0208207190317224,0.183848986914689,0,0,0,0.0438563173944106,0,0,0,0,0.0317305786815684,0,0,0,0,0,0,0,0,0.306589362201572,0.0247572231030123,0.0201413218771683,0,0,0,0,0,0,0,-0.00284303614530141,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890985562685443,0,0,0,0,0,0,0,-0.0726594229515367,-0.0188175840557096,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0841737557343055,0,0,0,0,0,0,0,0,0,0.0803060595463548,0.134987138008295,0,0,0,0,0,-0.00354532798011385,0,-0.0199223697044603,0,0,0,0,0,-0.029679491698968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656669518891814,0.0208184823915245,0,-0.0070302313262878,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.180351034266592,0,0,0,0,0.0244162402491275,0,0,0.0391966092062891,0,0,0,0,-0.0254590866136969,0,0,0,0,0,0.00630736803018474,0,0.0304350417627615,0.00972998889889174,0,0,0.04909315413112,0,0,0,0.104590699968607,0,0,0,0,0,0,0,0,0.0935505731294073,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749223517034042,0,0,0,0,0.121503643718865,0,0.0380568064390088,0,0,0,0,0,0,0.00607698064453301,0,0.115911291428637,0,0,0.236130531807409,0,0,0,6.93889390390723e-18,0.241115231715431,0,0,0,0,0,0,0,0,0,0.00741825943467659,-0.0114458444441257,0,0,0,0,0,0
