,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X002466.SZ,X600362.SH,X600801.SH,X600188.SH,X600352.SH,X002271.SZ,X600795.SH,X000786.SZ,X601991.SH,X600688.SH,X002353.SZ,X600111.SH,X000723.SZ,X600176.SH,X601992.SH,X600027.SH,X600583.SH,X600426.SH,X600516.SH,X600299.SH,X600489.SH,X000898.SZ,X600219.SH,X601158.SH,X000932.SZ,X000792.SZ,X000818.SZ,X600612.SH,X000883.SZ,X000553.SZ,X000709.SZ,X000401.SZ,X002080.SZ,X000630.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.018112583064575,0,0,0.0475226904197915,0,0,0,0.0473153210629925,0,0,0.013614176795404,0,0,0,0,0,0.305079543559743,0,0,0,0,0,0,0,0,0,0,0.0735059700082689,0,0,0,0,0,0.00446996139275348,0,0,0,0,0,0.0364415883730598,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138495283583807,0,0,0,0,0,0,0.0217452146299016,0,0.335555301383603,0.00478973349492034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178663912260248,0,0,0,0,0,0,0,0,0,-0.00544994952147921,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0655071842054661,0,0,0,0.0132694641701181,0,0,0.231016773621019,0,0,0,0,0,0,0,0,0.133099288214179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108275290307721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434923697905435,0,0,0,0,0,0,-0.0169923416402444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171678037252049,0,0,0,0,0,0,0.182583829225465,0,0,0,0,0,0.0144059364424452,0,0,0,0.0033631953235825,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.002935681681214,0,0,0,0,0,-0.0652243866827556,0.0988826754223043,0.32860856813529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224785080241683,0,0,0,0,0,0,0,0.0904548097368973,0,0,0,0,0,0,0,0,0,0,-0.0118373956538635,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0128014545265797,0,0,0,0,0,0,0.0115093964715494,0.0678565761146873,0,0,0,0,0,0,0,0.0187855142179342,0,0.00904592241823976,0,0,0,0,0,0.139621217278843,0,0,0,0,0,0.0438080790368549,0,0,0,0,0,0,0.0411736146420042,0.0468447281585347,0,0,0,0.0131488270730625,-1.73472347597681e-18,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.0314635814006001,0,0,0,0,0,0,0,-0.109996168108822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932790188698709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036780051342553,0.0201207982179539,-8.67361737988404e-19,0,0.0384324528400335,0,0.0392828047460637,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0561138748145141,0,0,0,0,0,0,0,0,0,0.0388964397400229,0,0,0,0,0.32219878588998,0,0,0.0434549571938656,0,0,0.105914122851615,0,0,0.00170441017279924,0,0,0,0,0,0.119300898030558,0,0.0674570736935517,0,0,0,0,0.0520769469095604,0.0549482786691725,0,0,0,0.00669324484810947,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984213107634899,0,0,0,0,0.202167495731309,0,0,0,0.0915006706464764,0,0,0.053686305494611,0,0,0,0.373349703421316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0186496162310633,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45567894788649,0,0,0,0,0,0.259703856942601,0,0,0,0,0,0,0.0751725357677152,0,0,0,0,0,0,0.153536997089304,0,0.0028062163517233,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0
