,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X002460.SZ,X600011.SH,X600660.SH,X600886.SH,X601600.SH,X600801.SH,X601898.SH,X600362.SH,X600010.SH,X000786.SZ,X600352.SH,X600489.SH,X600188.SH,X600111.SH,X601991.SH,X600176.SH,X600688.SH,X002466.SZ,X600795.SH,X600426.SH,X600027.SH,X600299.SH,X600529.SH,X601992.SH,X002080.SZ,X600612.SH,X600315.SH,X002353.SZ,X600219.SH,X000301.SZ,X002409.SZ,X600126.SH,X600486.SH,X000932.SZ,X000027.SZ,X000723.SZ,X600516.SH,X601158.SH,X000898.SZ,X000401.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.000593849577490791,0,0,0,0,0,0.0273497340402863,0,0,0,0,0,0.123352185588915,0,0,0,0,0,0,0,0.00985343930596349,0,0,0,0,0,0,0,0.114589455290897,0,0,0,0,0,0,0,0.0643429638650226,0.0261470530554007,0,0,0,0,0,-0.000212897883424343,-0.00907686505833404,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111678411084409,0,0,0,0.0935429106514239,0.0316721321675458,0,0,0.00215806230501045,0,0,0,0,0,0,0,0.0392265062120551,0,0,0,0,0,0,0,0.0544354054274989,0.0640127188747379,0,0,0,0,0,-0.00546841505184243,0.00805098176328397,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0787372240413774,0.0833905817387957,0,0,0,0,0,0.266859156491435,0,0,0,0,0,0,0.00446722978739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489334908964724,0,0,0,0,0,0.258894672911051,0,-0.0566239586632064,0.00515620260895406,-0.00521128525948138,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0387175081830202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181464913893654,0,0,0.0826612505493266,0,-0.00176903764371025,0,0,0,0,-0.0127743829273274,0,0,0,0,0.135524543267507,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318884462200929,0.000689302136784079,0.000602477587639498,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0318238080442142,0,0.0519634706426717,0,0,0.0623889252384939,0,0,0,0,0,0,0,0,0,0.116441255433714,0,0,0,0.19981872328312,0,0,-2.16840434497101e-19,0,0,0,0.00778675263282033,0,0,0,0.0815532087413188,0,0,0,0,0,0,0,0,0,0,0,-0.00636918294344121,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.0428614987766109,0,0,0,0,0,0,0,0,0,0,0,0.760015687939339,0,0,0,0,0,0.0257053786922267,0,0,0,0,0.0576169314830348,0,0.0513660426102167,0.0619128932289962,0,0,0,0,0,-0.0724562860809612,0,0,0,0,0,0,0,0,0,-0.0120531984451889,-0.0030651966059989,-0.00404668564049142,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0234880764524235,0,0.163214734655057,0,0,0.0644761056066274,0,0,0,0,0,0,0,0.0301742317978778,0,0,0,0,0,0,0,0,0,0,0,0.00875582167903075,0,0,0,0,0,0,0,0.17238028400196,0,0,0,0,0,0,0.00134836172393406,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.0437066581360077,0,0,0,0,-0.000501696596939579,0,0,0,0.580758439572337,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136974712299581,0,-0.0452382787985473,0,0,-0.0117038668821943,0,0,0,0,0,0,0,-0.0336951704621804,0.0908248901881493,0,0,0,0,0,0,0,0,0,0,-0.00640112536846702,-0.00792177094663635,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0277268573938983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254819072248883,0,0,0.00618614558003696,0,0,0,0,0.0334993515581328,0,0,0,0,0,0,0,0,0.0632108294049795,0,0,0,0,0.0293718773843689,0.15593920380785,0,0,0,0,0,0,0,0,0,-0.0221621893852671,-0.011329734414048,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0341026807657273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505798522807045,0,0,0,0.262866495581778,0.152380225888546,0,0.042079246106912,0,0.0186821902650961,0,0,0,0.101972051949761,0,0,0,0.265588566291664,0,0,0,0,0,0,-0.0311187623120157,-0.00400872453370889,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0316218469408181,0,0,0,0,0,0,0.123409819128284,0,0.0651149411655409,0,0,0,0,0.0797515357082322,0,0.00178768884430369,0,0,0,0.124346356900432,0,0,0,0,0,0,0.011054120339971,0,0,0.0239195414761346,-0.050030079508624,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.00952068113864479,0,0.00446604962417598,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363629943245065,0.129547774422671,0,0,0.0389675457558929,0,0,0,0,0,0,0,0,0,0,0,0.0131122995319306,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800105484238821,0,0,0.149850404738506,0,0,0,0.00583795645360206,0,0,0,0,0,-0.0145004710215394,0,0,0.118714679002071,0,0,0,0,0,0.0276496586070671,0,0,0,-0.00884365764112206,0.00963549831477457,0,0,0,0,0,0,0,0,0,0,-0.00143858535342628,-5.42101086242752e-20,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525384801174922,0.14416187438339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121224568086534,0.0590755053394346,0,0,0,0,0,0,0,0.209602449721764,0.104983884783207,0,0,0,0,0,0.000267310117714976,-0.00374492842463483,0,0,0,0,0,0
X600801.SH,0,0,0.500236168405312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222383686086058,0,0.0184525982347785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109032688707318,0,0,0,0.147136646349709,0,0.106317384912088,-0.0161627896750872,0.0405865186988797,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167614737209515,0,0,0,0,0.257517375535834,0,0,0,0,0,0,0,0,0,-0.0968402847386715,0,0,0,0,0,0,0,0,0,0,0,0,0.0534730461514866,-8.67361737988404e-19,0,0,0,0,0,0.00193069837618212,0,0,0,0,0,0,0
