,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X300072.SZ,X600188.SH,X600795.SH,X600547.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X601992.SH,X600886.SH,X600489.SH,X600309.SH,X600660.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000723.SZ,X000408.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600549.SH,X000959.SZ,X000539.SZ,X000027.SZ,X600176.SH,X002470.SZ,X000630.SZ,X600021.SH,X000060.SZ,X000012.SZ,X002460.SZ,X600758.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600188.SH,0,0,0,0,0,0.0179966501569058,0,0,0,-0.20522245174337,0,0,-0.0138809746605096,0,0,0,0,0,0,0,0,0,0.0384785207621307,0,0.0894546207389051,0,0,0,0,0,0,0,0,0.129217098857726,0,0.693675820799031,0,0.0272077656460959,0,0.0570874798417883,0,0,0,-0.107852428875664,0,0,0.329393669137458,0,-0.0326072163075561,0,0,0,0.0844474807720259,-0.0725946666694599,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0247007718770911,0.0212635237347044,0,0,0,0,0,0.0416022176146829,0,0,0,0.0999145107621812,0,0,0,0,0,0,-1.73472347597681e-18,0,0.038719608554279,0,0,0,0,0,0.0483306740649486,0,0.0379890232062171,0,0.00716263230534066,0,0,0.01652894560306,0,0,0,0,0,0,-0.00806448895230842,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590888177758322,0.163471969048344,0,0,0,0,0,0,0,0,0,0,0,0,-0.161181354839818,0,0,0,0,0,0,-0.14782994537185,0.0713317245538205,0,0,0,0,-0.04061157373043,-0.00655078229938453,0,0.055547750238583,0.137094001455094,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0603084991895754,0,0.0712044575765574,0.0764615789866298,0,0,0,0,0,0,0,0,0,0,0,0.0374647632716104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586826283481395,0.0422491698995827,0,0,0,0,0,0,0.197854385105285,0,0,0,0,-0.0590565040362324,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331805883159189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172695002265038,0.0358638294362028,0,0,0.0442235960381567,0,0,0,0,0.131577112621074,0,0,0.00889337646335613,0,0,0,0,-0.0374425471463735,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.0335534100750598,0,0,0,0,0,0,-0.043755295332651,0,0,0,0,0,0,0,0.35170424222946,0,0,0.033455187869762,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0160599172308395,0.0542277766618637,0,0,0,0,0,0,0.0144568154263218,0,0,0,0,0,0.00121260925433774,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.062796825212498,0.140204866621837,0.0420581474260015,0.0316282541107843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577584440965646,0,0,0,0,0,0,0,0,0,0,0.038701389809904,0,0,0,0,0,0.63760008082362,0,0.178495913122947,0,0,0,0,0.029698522540765,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0.219469722505861,0,-0.00248016483219036,0.0147846747373057,0,0,0,0,0.0733089763767922,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0668350452722179,0,0,0,0,0.021439154107443,0,0,0,0,0,0,0,0,0.0812024357849649,0,0.0963812847218828,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0919947481898798,0.0379941476197543,0,0,0,0,0,0,0.132441937745771,0,0,0,0,0,0,0,0,0,0.112444775348591,0.0394987553833439,0,0,0,0,0,0,0,0,0,0.144646036436948,0,0,0,0,0,0,0,0.264976982536289,0,0.120028294032079,0.0788115710008788,0,0,0.024105580810436,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0.0455442382530586,0,0,0,0,0.0908036197125323,0,0,0,0,0,0,0,0,0,0,-0.0880724448494697,0,0,0.0321930070005899,0,0,0,0,0.104267874818619,0.0424222752893625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115139431770308,0,-0.0430712768736169,0,0,0.0157594831931789,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0.0277859067638157,0,-0.0103511459433426,0,0,0.206909712855136,0,0,0,0,0,0,0.00634444347815952,0,-0.0266590331362025,0.0547446421099235,0,0,0,0,0.0121319268464554,0,0,0.0507274014016223,0,0.0563514203899307,0,0,0,0.0351344569262914,0,0,0,0.165165819121845,0,0,0,-0.0450163367189835,0,0,0,0,-0.0857480582728199,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.173152626571514,0,-0.00277192419235078,0,0,0.633541594087291,0,0,0,0.344718513728352,0,0,0,0,0,0,0,0,0,0,0,0.0225889531444437,0,0,0,0,-0.0377296840034736,0,0,0,0,0.0128625514791368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515185901943693,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0742336191867221,0,0,0,0.0931433081349719,0,0,0,0,0,0,0,0.0107869955077172,0,0.177358845647518,0,0,0,0.0298730907608929,0,0.287510340410891,0,0,0,0,0,0.0527767527118134,0,0,0.0388926545416094,0,0,0,0,0,0,0,0,0,-0.0416757010284359,0.0970313184862177,0,0.0317025254226115,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.273116064607622,0,0,0,0.00554132881886628,0,0,0,0,0,0,0,0,0,0,0,0,0.0936318258710908,0,0,0,0,0,0,0.170573726113307,0,0,0,0,0.0853845865508125,0,0,0,0,0,0,0,0.22014817621967,0,0,0,0,0,0,0,0,0,-0.0343991250328329,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0.270568397402443,0,0,0,0,0,0,0,0,0,0,0,-0.109154375323769,0,0,0,0,0,0,0.089172938067492,0.159452815936218,0,0,0,0.109847880835686,0,-0.0127552084274076,0,0.16770328901849,0,-0.178899678849597,0,0,0,0,0,0.0249536362890951,0,0,0,0,0,0,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0.0615005564384425,0.0557415748628684,0,0,0,0,0,0,0,0,0,0,-0.0823340244136577,0,0,0,0,0,0.0126070442910849,0,0,0,0,0,0.135478643575873,0,0.072645809806513,0,0,0,0,0,0,-0.0887470724485125,0,0,0,0,0.220434742399731,0,0,0,-0.0151396681565642,0.102545528522996,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0195716292288168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0342918596244311,0,0,0,0,0,0,0,0.0489894817027913,0,0.511141493986379,0,0,0,0.0550500092904817,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0973632924437578,0,0,0,0,0,0,0.189084267458555,-0.0573158123334731,0,0,0,0,0.0665456255343454,0.181546649812674,0,0.0642303548721243,0.0913053038700394,0,0,0,0,0,0,0,0,0,0.185876438017599,0,0.161891606978856,0.127238788895792,0,0,0,0,0.234273415973842,0.190180807795758,0,0,0,0,0,0,0,0,0,0
