,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X300072.SZ,X601898.SH,X600688.SH,X600547.SH,X600795.SH,X601991.SH,X601600.SH,X600309.SH,X600660.SH,X600886.SH,X600362.SH,X600188.SH,X600027.SH,X000709.SZ,X600339.SH,X600157.SH,X002466.SZ,X600111.SH,X600299.SH,X000959.SZ,X000898.SZ,X601158.SH,X600489.SH,X600008.SH,X600352.SH,X002460.SZ,X000883.SZ,X600219.SH,X000408.SZ,X000539.SZ,X600160.SH,X000723.SZ,X000630.SZ,X600578.SH,X600583.SH,X600021.SH,X000792.SZ,X600176.SH,X002271.SZ,X000027.SZ,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0188327509423866,0,0,0,0.0118755289514979,0,0,0,0,0,0,0.13433696613383,-0.0342754387263239,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0219042501258299,0,-0.043140773295424,0,0,0,0,0,0,0,0,0.0866991238952213,0,0,0,0,0,0,0,-0.0133470172166565,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0174767069044129,0,0.0222915832329451,0.0566166623094513,0,0,0,0,0,0,0.0194022802707728,0,0,0,0,0,0.0159548021356994,0,0,0,0,0,0,0.0441738037890761,0,0,0,0,-0.0448001934732485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00408186060580268,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.027155418749491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502138996051387,0,0,0,0,0,0.16964609635091,0,-0.0103587771227229,0,0,0,0,0,0,0,0,0,0,0,0,0.0079608097685031,0,0,0,0,0.0337066477882488,0,0,-0.00952229333101794,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592184467449914,0.422391266327164,0,0.044231339210219,0,0,0,0,0,0,0,0,0,0,0.0976424332710482,0,0,0,0,0,0,0,0,-0.00204966444098572,-0.0134791185370571,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172440565012868,0.125179430159032,0.00716348693746278,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,-0.00495910811844417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140997544238493,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0154985457475738,0,0,0.016274819367536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117837949482211,0,0,0,0.174330876926973,0,-0.00532290880926493,0,0,0,0,0,0,0,-0.034228438716376,0,0,-0.0716603919330987,0,0,0,0,0,0,0,0,0,0.00153374779921743,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106455575509702,0,0,0,0,0,0,0.0441074552279692,0,0,0,0,0,0,0.212857106500517,0,0,0.0637556815586731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896152225457652,0,0,0.00359204917302216,0.0290226620239474,0,0,0,0,0,0
X601992.SH,0,0,0,-0.0408136354059062,0,0,0,0,0,0,0,0,0,0,0.0490874835229961,0,0,0,0,0,0,0.634128104410343,0,0,-0.118216612628378,0,0,0.347515368631653,0,0,0,0.279648111189254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192551752847784,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,-0.442722191298314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879325393439232,0,-0.218838791622897,0,0,0,0.0333442343127537,0,0,0,-0.0884960595109304,-0.00802326341385923,0,0,0,0.290687957128019,0,0,0,0.0979441567190268,0.0296249810265243,0,0,0,0,0,0
X601898.SH,0,0,0.133927147277891,0,0,0,0,0,0,0,0,0,0,0,0,0.0186704427434828,0,0,0.129429995714117,0.0502562900897018,0,0,0.0767659277775523,0,0.0964600864129293,0,0,0,0,0,0,0.00698416016863376,0,0,0,0,0,0,0,0,0,0.0257057827270243,0.209916412189769,0,0,0,0,0,0,0,-0.0107779907754991,0.00900975066204711,0,0,0,0,0,0
