,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X601898.SH,X600111.SH,X600019.SH,X000301.SZ,X600660.SH,X002271.SZ,X000877.SZ,X000708.SZ,X600010.SH,X600011.SH,X601600.SH,X600547.SH,X600886.SH,X600795.SH,X600176.SH,X000983.SZ,X600362.SH,X600426.SH,X600096.SH,X000723.SZ,X000408.SZ,X600803.SH,X600141.SH,X601699.SH,X000786.SZ,X600486.SH,X601991.SH,X600219.SH,X002353.SZ,X300073.SZ,X002080.SZ,X002192.SZ,X600157.SH,X600295.SH,X600985.SH,X000807.SZ,X000830.SZ,X600027.SH,X002497.SZ,X600688.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.079576410981177,0,0.104598864956556,0,0,0,0,0,0,0,0,0.0120206642106761,0,0,0,0.111111302616072,0,0,0,0,0,0,0,0,0,0,0,0,0.0590058160065545,0,0,0,0,0.0885889217761107,-6.93889390390723e-18,0,0,0,0,0,0.193678157306411,0,0,-0.052186659024925,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.261732727412409,0,0,0,0,0.112152723183466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331812654638777,0,0,0,0,0,0,0,0,0,0.0361429786085148,0,0,0,0,0,-0.0706515977401239,0,0,0,0,0,0,0,0,0.0725197826646051,0,0.00540509154670038,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500725087038339,0,0,0.0173226944479735,0,0,0,0,0,0.0142776603325889,0,0,0,0,0,0.00215217906613681,0,0,0.0655800073389966,0,0,0,0,0.0798915283400943,0,0.0441359243257643,0,0,0,0,0.00372847010008365,0,-0.0119046729403739,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0879558457458472,0,0,0,0,0,0.0982729862693174,0,0,0,0,0,0,0,0,0,0,0,0.000964928457285043,0,0,0,0,0,0,0,0,0,0.0328067072481079,0,0,0,0,0.116211507902476,0,0,0,0,0,0,0.115265468667251,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.279650489993158,0,0,0,0,0,0,0.0476653110973069,0,0,0,0,-0.0480321940520497,0,0,0,0,-0.220138119587662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358418669075638,0.0530642861732522,0,0,0,0,0,0,0,0,0.0705383401779669,0.0468333640274406,0,0,0,0,0,0,0,0.0448527603058981,-0.0566755761644557,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0372700416708428,0,0,0.351910603317975,0.0429295840109586,0,0.0929432285871672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804074939942047,0,0.0407489353962968,0,0,0,0,0,0,0.182410268411509,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152867098833643,0,0,0,0,0,0,0,0,0.223137287503803,0,0,0,0.0351210651744429,0,0,0,0,-1.73472347597681e-18,0.0115474460880336,0,0.21062258099211,0,0,-0.0539243826531516,0,0,0,0,0,0,0,0.0306329504899603,-0.0139151025123986,0,0,0,-0.0262069699519953,-0.0446246058423081,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.590520882772768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707445954076831,0,0,0,0,0,0,0.243137266469992,0,0,0,0.00387619687373589,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057377997233588,0,0.374923840725473,0,0.0737682582659016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854937349239888,0,-0.023662899725245,0,0,0,0,0,0,0
X601898.SH,0,0.119592410154888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19027113512528,0,0,0.119654863875066,0,0,0,0,0.0807890431172215,0,0,0,0,0,0,0,0,0,0.0801195728013104,0.140055763445394,0,0,0,0,0,0.0477529893353018,0,0,-0.0997987992977216,0,0,0,0,0,0
