,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X601600.SH,X600795.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X601991.SH,X600688.SH,X600111.SH,X600362.SH,X600886.SH,X600027.SH,X600188.SH,X600021.SH,X600157.SH,X600583.SH,X601992.SH,X000883.SZ,X000709.SZ,X600309.SH,X000898.SZ,X601158.SH,X600352.SH,X000539.SZ,X600489.SH,X000792.SZ,X000629.SZ,X600547.SH,X600808.SH,X000825.SZ,X000060.SZ,X000027.SZ,X600660.SH,X002470.SZ,X000831.SZ,X600549.SH,X002353.SZ,X600863.SH,X600008.SH,X600578.SH,X000959.SZ,X000630.SZ,X000012.SZ,X600219.SH,X600307.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.448608415414397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150775236752069,0.0176686832856482,0,0,0,0,0,0,0,0.0299225277841924,0,0,0,0,0.0369758312903956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151858624882527,0.00698882219570348,0,0,0,0,0,0
X600028.SH,0.615740739865705,0,0,0,0,0.0529016358822483,0,0,0,0.0873027117156068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152616559294669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0075217463731248,-0.00124702952733167,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.014215114762075,0,0,0.268864308058936,0,0.197124261341554,0,0,0,0,0,0,0.0304341657369158,-0.00123002695555596,0,0.0231437154996504,0,0,0,0,0.120795772966446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120652921603491,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108048054279046,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0462075861706891,0,0,0.0686120811128654,0.075769566256561,0,0,0,0.0135087930128972,0.0893327826808696,0,0.1058959817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154410957162756,0,0,0,0,0,0,0,0,0,0.151739713650166,0,0,0,0,0,0,0,-0.0126799020489826,0.00391263680019579,0,0,0,0,0,0
X601600.SH,0,0,0.222320869176996,0,0,0,0.0641210729924234,0,0,0,0.096199748567415,0.0526205056075844,0,0,0,0,0,0.00451604213079487,0,0,0,0,0,0,0,0,0.0095261983833811,0,0,0,0,0,0.0203265408144654,0.126598181176456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505029805843689,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0952614780499052,0,0,0,0.0180734868690232,0,0.110283164193967,0,0,0,0.104602678243461,0.337208273141092,0,0.0256464381169687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274641547071976,0,0,0,0,0,0,0,0,0,0,0.0225931692537622,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0262610632534206,0,0,0,0,0.278205073082742,0,0,0,0,0,0,0,0.0508659377982194,0,0,0,0,0.228326985549671,0,0.172248371642575,0,0,0,0,0,0,0,0.0166957060607868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.329016255673863,0,0,0,0,0,0,0,0,-0.00151243384527669,0,0,0.110500892553073,0,0,0,0.0290450200414074,0.019525771309751,0.0820956806288946,0,0,0.105374860250816,0,0,0,0,0,0,0,0,0,0,0.030772041850112,0,0,0.0141325867673673,0,0,0,0,0,0,0,0,-0.0198094665508662,0,0,0,0,-0.00494782126319713,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282363753007801,0,0,0,0,0,0,0.0400631353636085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3103732275442,0,0,0.023780831774718,0,0,0,0,0.055028617247172,0.0640122936744969,0,0,0,0,0,0
X601898.SH,0,0,0.0420797842551992,0,0.0666428949683833,0,0.112152463096842,0,0,0,0.0751258575573745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131131922554574,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477702250769696,0,0,0,0,0,0
