,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X600019.SH,X000792.SZ,X601898.SH,X600011.SH,X600111.SH,X600660.SH,X000301.SZ,X002271.SZ,X600010.SH,X000708.SZ,X601600.SH,X600547.SH,X600886.SH,X000877.SZ,X600426.SH,X600795.SH,X600362.SH,X000983.SZ,X600176.SH,X601699.SH,X600027.SH,X600803.SH,X601991.SH,X000786.SZ,X600995.SH,X000807.SZ,X000408.SZ,X000629.SZ,X600160.SH,X600489.SH,X600219.SH,X000723.SZ,X600378.SH,X002080.SZ,X600096.SH,X000831.SZ,X000933.SZ,X600348.SH,X300037.SZ,X000630.SZ,X600157.SH,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.00238788035679827,0.0661913032465979,0,0,0,0,0,0,0,8.470329472543e-22,0,0,0,0,0.040679585777055,0,0,0,0,0,0,0.00642407732910811,0,0,0.135512794207335,0,0,0,0,0.154219078551297,0.0894937747605832,0,0,0,0,0,0,0,0,0,0,0,0,0.0182812847859159,0.0209898245113353,0,0,0,0,0,-0.00895491925940299,0.0151084710656935,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.449316815184319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228309305983748,0,0.0719518368341353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013363790155025,0,0,0,0,0,-0.0115445020225718,0,0,0,0,0,0,0
X600028.SH,0.272764657986316,0,0,0,0.0960357012548321,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1035862055035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116672707537755,0,0,0.0347071861346328,0,0,0.000631431697542397,0.00779183920914933,0.00697941696956392,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0214982659934569,0,0,0.245116759872351,0,0,0,0,0,0.130577393405597,0,0,0,0,0.0747239243161588,0,0,0,0,0,0,0,0,0,0,-0.0722908085831705,0.157828167434318,-0.0720089647221901,0,0,0,0,0,0,0,0,0,0,0,0.0551512963187937,0,0,0,0,0,0,0.0186414114175511,-0.019052516565544,0,0,0,0,0,0
X600188.SH,0,0.232625886002534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850979512912434,0,0,0,0.0705036670154384,0,0.299071620506464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305792112506955,0.114616544694886,0,0,0,0,-0.0267891089539909,-0.0199173664702712,0.0203139934010631,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.592503045112483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345202366647175,0.0503079088828559,0,0,0,0.0514244754985246,0,0,0,0,0.00844987409648292,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.719015809608308,0,0,0,0,0,0,0,0,0,0,-0.00599263838052929,0,0,0,0,0,0,0,0,0.0475136080863415,0,0,0,-0.0634487132260392,0,-0.0113823405216638,0,0.149280552163126,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.00177910765735825,0.0123546726530497,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00722457662615134,0,0,0.114585912177784,0,0,0,0.389403673129183,0,0,0,0,0,0,0,0,0,0.240178761196104,0,0,0,0,0,0,0,0,0,0.0997545811222468,0,0,0.011189201797377,0,0,0,0,0,0.0310901343764369,0,0.0111292262222097,0,0,0,0,0,0
X600019.SH,0,0,0,0,-3.46944695195361e-18,0,0,0.0728568633284636,0,0,0.210817060519912,0,0,0,0,0,0,0,0.0223827061181103,0,0,0,0,0,0,0,0,0,0.0133102736747156,0,0,0.175517290238536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387892111626906,0,0,0,0.00568572250415324,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.308795430561557,0.0950444927824957,0,0,0,0,0,0.0730399334157469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311096240272299,0.0593056322096506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439109149983697,0.140557535920758,0,0,0,0,-0.0077882812933796,-0.00325671197652089,0,0,0,0,0,0
