,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X600688.SH,X601600.SH,X600886.SH,X600795.SH,X600188.SH,X600027.SH,X600362.SH,X000898.SZ,X601992.SH,X002466.SZ,X600111.SH,X600176.SH,X002460.SZ,X600516.SH,X000709.SZ,X600299.SH,X600352.SH,X000629.SZ,X600808.SH,X600489.SH,X600219.SH,X600801.SH,X601158.SH,X000786.SZ,X000825.SZ,X300072.SZ,X000553.SZ,X000883.SZ,X600583.SH,X000792.SZ,X601699.SH,X000408.SZ,X600339.SH,X000301.SZ,X002110.SZ,X000630.SZ,X002271.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.251521676190978,0,0,0,0,0,0.0108086655726238,0.0419692853200743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394151635805834,0.0325982793504117,0,0,0.175751060203976,0,0,0,0,0,0,-0.025076200078191,0.0268847174871786,0,0,0,0,0,0
X600028.SH,0.301971181529772,0,0,0.107373335007856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796379386453237,0.0734209373967453,0,0,0,0.0565092236011581,0,0,0,0,0,0,0,0.0575958730731317,0,0,0,0,0,0,0.0490279827444474,0,0,0,0,0,0,8.67361737988404e-19,0.021465062608959,0,0,0,0,0,0
X601088.SH,0.299282999376732,0,0,0,0,0,0,0,0.0289755220027607,0,0,0,0,0,0,0,0.0840916195129504,0,0,0,0,0,0,0,0,0,0,0,0,0.0394062039054485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186078822129496,0,0.0102792699005449,0.166289190826905,0,0,0,0,-0.000462967582256241,0,0,0,0,0,0,0
X600585.SH,0,0,0.192054817980547,0,0,0.254934100622488,0.0184307348797737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219710091917759,0.16456261831925,0,0,0.451245261271419,0,0,0,0.0190977130792922,0,0,0,0.0567431899817836,0,0,0,0,0,0,0,-0.0748253392810354,0,0.00298913165273478,0.00659569769273746,0,0,0,0,0,0
X600019.SH,0,0.184595355327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238809303763052,0,0,0.588105510538294,0,0.0404638060476216,0,0,0,0.0333198608511356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000608522318297469,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0036378819492946,0,0.151865370469561,0,0,0,0,0,0,0,0,0,0,0.680976171522648,0,0,0,0,0,0,0.0608104799778194,0,0,0,0,0,0,0,0,0,0,0,0.0566110829310169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165370265344873,0.0655620679394607,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.195627105531973,0,-0.152135087424484,0,0,0,0,0,0,0,0,0.269206947652512,0.0994081719198635,0,0,0,0,0,0.0165469143786463,0,0,0,0.120838722361186,0,0,0,-0.25811737403804,0,0,0,0,0.199057036457188,0,0,0,0,0,0,0,0,0,0.20217083767956,0,0,0,-0.0815410200377612,-0.0319198645678372,0.11394655193567,0,0,0,0,0,0
X600010.SH,0.230119526650044,0,0,0,0,0.0213761438823189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171472991854548,0,0,0,0.0368717123284976,0,0,0,0,0,0,0,0,0,0,0,0.020184139137022,0,0,0,0.0729702167824182,0,0,0,0.00844368420410492,0,0,0,0,0,0,0,-0.0181881095904021,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028135929901351,0.19374961073673,0,0,0,0.0219027466853578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135481325389603,0,0,0,0,-0.00169183102688942,-0.0476720929073702,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.064665027987536,0.0475631359718537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513238784215247,0,0,0.076130390430265,0,0,0,0,0,0,0.521584695989031,0,0,0,0,0.220674952680879,0,0,0,0,-0.0245160059801563,0,0,0.00247826127596918,0,0,0,0,0,0,0.0130293642589267,0.0124658875252064,0,0.0230844098787986,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.191290135562691,0,0,0,0,0,0,0,0.0160412433187511,0,0,0,0,0.0531061872720321,0,0,0,0,0,0,0,0.020989624546393,0,0,0,0,0,0,0,0,0.075007322807382,0,0,0,0,0,0,0,0,0,0.0206766130910814,0,0,-0.0287090773296595,-1.73472347597681e-18,0,0,0,0,0,0
