,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600362.SH,X600795.SH,X600010.SH,X600886.SH,X600188.SH,X600027.SH,X600688.SH,X600309.SH,X600583.SH,X601992.SH,X000883.SZ,X002353.SZ,X000898.SZ,X000792.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X000831.SZ,X600315.SH,X000825.SZ,X601699.SH,X600660.SH,X600808.SH,X600352.SH,X000027.SZ,X600549.SH,X000630.SZ,X000983.SZ,X600307.SH,X600578.SH,X600490.SH,X000937.SZ,X000959.SZ,X600863.SH,X002470.SZ,X000960.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.152016390860287,0,0.0262485778574874,0,0,0,0.00383137365898599,0,0,0,0,0.0454676744774909,0,0,0,0,0,0,0,0,0.00882207741244585,0,0,0,0,0,0.027396963336723,0,0,0,0.0158939022879581,0,0,0,0,0,0,0,0,0.0383388048079862,0,0,0,0,0,0,0,0,0,-0.0020941975675728,-0.000853997349204586,0,0,0,0,0,0
X600028.SH,0,0,0,0.0236204269456287,0.0792025757718513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863656110398086,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0082508928214868,0,0,0,0,0,0.0751260230663104,0.0169856019958839,0,0,0,0,0.104058057719483,-0.0940873606464969,0,-0.00104616297309857,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.122506905761051,0,8.67361737988404e-19,0.077526305453084,0,0,0,0,0,0.0339383140732426,0,0.186306205886808,0,0,0,0,0.000801485240783845,0,0,0,0,0,0,0,0,0,0,-0.00760352494659929,0,0,0,0.0350273274779841,0,0,0,0,0.0768233821272603,0,0,0.0673476103754008,0.0108221350601048,0,0,0,0,0,0,0.00215763841596537,0,0,0,0,0,0,0
X600585.SH,0,0,0.20975077403812,0,0,0.0241586746720677,0,0,0,0,0,0,0,0,0,0,-0.0237896082696486,0,0,0.139950157161043,3.51253495267787e-05,0.0143375781820935,0,0,0,0,0,0,0,0.0544694238978288,0,0,0,0,0,0,0,0,0,0,0,0.11892620428782,0,0,0,0,0,0,0.0150726596431054,0,0.00682280325323561,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.142178206029999,0,0,0,0,0,0,0.0503636273504025,0.0768636379664037,0,0.239322748929078,0.0416244711004555,0,0,0,-0.0650016928360932,0,0,0,0,0,0,0,0,0.174768734422311,0,-0.0509761492769983,0,0,0,0,0,0,0,0,0,-0.00507844725091738,0,0,0,0,0,0,0,0,0,-0.00334707327378821,0,0,0,-0.0877105408493648,0,0
X600019.SH,0,0,0.106411396182476,0,0.046205459854427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196383977980272,0,0,0,0,-0.0146515272819563,0,0,0.154475214328129,0,0,0,0,0,0.0163630127244223,0,0.0546833749308791,0,0.0689839000440357,0,0,0,0.133980386655457,0,-0.00521930901469922,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0530460108010939,0.0935882287604384,0,0,0,0.0866429556451536,0,0.0997389362601703,0,0,0,0,0,0,0,0,0,0,0,0.0731144762862223,0,0,0.114999965900211,0,0,0.161122044911119,0.0569493555142537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181920177974788,-0.0280392226067065,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0105558714408184,0,0,0,0,0,8.67361737988404e-19,0.210149287222497,0,0,0.0304216592795172,0,0.0360969995426568,0,0,0,0,0,0.0922133665756183,0,0,0,0,-1.73472347597681e-18,0.0201096967003156,0,0,0,0,0,0,0,0,0.15290709369874,0,0.0301112888200337,0,0,0,0,0,0,0.022024186339554,-0.0351732269241661,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.373090926594451,0,0,0,0,0,0,0,0,0,0,0,0.0226095679073314,0,0,0,0.114494653466983,0,0,0,0,0,0.0200501906581444,0,0,0,0,0,0,0,0,0,0.0365140440367061,0,0.106498220597199,0,0,0.0776130199242175,0.0241125390993041,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887342891778886,0,0,0,0,0,0,0.0280690354267168,0,0,0.00214094299493682,0,0.0914387841725837,0,0,0,0,0,0.235588970213286,0.0251012633566305,0.0292696496209141,0,0,0,0,0,0,0,0.118197713201367,0,0,-0.011760480681495,0.00532756454148622,0,0,0,0,0,0
