,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600011.SH,X601898.SH,X600111.SH,X000301.SZ,X000708.SZ,X600660.SH,X601600.SH,X600010.SH,X002271.SZ,X000877.SZ,X600547.SH,X600886.SH,X600426.SH,X000983.SZ,X600795.SH,X600362.SH,X601699.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X600160.SH,X600995.SH,X000629.SZ,X000807.SZ,X000408.SZ,X600219.SH,X600096.SH,X000933.SZ,X600489.SH,X000723.SZ,X600378.SH,X000831.SZ,X002080.SZ,X600348.SH,X000932.SZ,X600801.SH,X600141.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.036038560325638,0,0,0,0,0.142354002429644,0,0,0,0,0,0,0.00194144744484664,0,0,0.0175372941751849,0,0,0,0.00950231201354574,0,0,0,0,0,0,0,0,0,0,0,0,0.00112334559647502,0,0,0,0,0,0.11188373871261,0,0,0.0103176002349691,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.00522350445817649,0,0,0,0,0.139885843060678,0,0,0,0,0.0824366292660365,0,0.0504238195698195,0,0,0.0126645753114181,0,0,0,0,0,0,0,0,0.0785872281392775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00728974822451975,0,0,0,0,0,0.0111421234160535,-0.0295425185187854,0,0,0,0,0
X601088.SH,0,0,0,0,0.0720136068374309,0,0,0,0,0,0,0.163582820040892,0,0,0,0,0,0,0,0,0,0,0.00729829251778485,0,0,0,0.125669438033284,0,0.0408224386957057,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0367866307537318,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0266925110609378,0.0335709356616335,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129015736050082,0,0,0,0.0868379114778567,0,0,0,0,0.284535443209737,0,0,0,0,0,0,0,-0.106327688677598,0.204905724154191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220080280217629,0,0,0,0,0.0248076300498978,-0.0327834250062493,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0.0661766540955984,0,0.0283583857009958,0,0,0,0,0,0,0,0,0,0.109692954510686,0.178316824074245,0,0.0329958251717593,0,0.115100216455958,0,0,0,0,0,0,0.0684390355876599,0,0,0,0.187558910518093,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197345579171255,0.408974529437167,0,0,0,0.0160761130724416,0,0,0,0,0,0,0,0.0298263652588149,0,0,0,0,0,0,0,0.0374531654903355,0,0,0,0,0,0,0,0.132612915797399,0,0,0,-0.00889354008278162,0.0202982215103581,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196535326312221,0,0,0.159165943119358,0,0.176499962271675,0.102739640098858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010130419428056,0,0,0,0.13364976366925,0.0636554564569065,0,0,0,1.0842021724855e-19,-0.00572399132871334,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0254694499067252,0,0,0,0.579459696803704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141481208281608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119159211060087,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.581008509477155,0,0,0,0,0.109088659314816,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00642885872494845,0,0,-0.0543915016414349,0,0,0.0332793156539815,0,0,0.122528106450431,0,0,0,0,0,0,0.077436823856374,0.00868003818691151,0,0,0,-0.04436649054775,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.26779914578554,0.12349166933614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00633882024290489,0,0,0,-0.0137686040921712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197050143970729,0,0,-4.33680868994202e-19,0,0,0,0.0044596893563361,0,0,0,0,0,0
