,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X600886.SH,X601898.SH,X600010.SH,X002460.SZ,X600801.SH,X002271.SZ,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600688.SH,X000786.SZ,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600027.SH,X600111.SH,X600299.SH,X600489.SH,X600176.SH,X000723.SZ,X002466.SZ,X000401.SZ,X000553.SZ,X000898.SZ,X601158.SH,X600426.SH,X600516.SH,X600219.SH,X000932.SZ,X000792.SZ,X000883.SZ,X000709.SZ,X600126.SH,X000027.SZ,X600583.SH,X600612.SH,X000630.SZ,X002353.SZ,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392233113502403,0,0,0,0.0774304753692938,0.0421099854729398,0,0,0,0,0,0,0,0.0670105718953719,0,0,0.0384329644411773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260161732887009,0,0,0.00581758173983803,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.223262171597639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247690876797125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166280564364017,0,0,0,0,0,0,0,0,0,0,0,0.107545900358723,0.0862328358925834,0,0,0,0,0.0134538412735369,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.125416746425204,0,0.214926636267916,0,0,0,0,0,0,0,0,0.125476318156989,0,0,0.0167514037864287,0,0,0,0,0,0,0,0,0,0.0557387415865277,0.00403354766302947,0,0,0.129885703445511,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.00925081151885097,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537253046637664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921853974423304,0.032125422896162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165022169905741,0.024735386797397,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.102953524244278,6.93889390390723e-18,0,0,0,0.101137572956268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11440780351694,0.139242837615608,0,0,0,0,0,0,0,0.0202156689359909,0,0,0,0,0,0.0182852388178881,0.0230424961161948,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.04037438435664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884079281269273,0,0,0,-0.0493686333398882,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225039939147239,0.314543737402893,0,0,0,0.0171351457828964,0.0143566813797897,0.0108273611531895,0,0,0,0,0,0
X600019.SH,0,0,0,0.0493370405802698,0,0,0,0,0,0,0,0,0,0.011491031915915,0,0,0.0549165839650789,0.103245182908444,0.170084871294662,0,0,0,0.0213136823438178,0,0,0,0,0,0,0.0538997170964243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071851034957652,0,0,0.101699974852566,0,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959995846072787,0,0,0,0,0,0,0,0,0,0,0,0,0.225634938560564,0,0.157752587804097,0,0,0.0534226141452164,0,0,0,0,0,0,0,0.118396202697168,0,0,0.0838754794350674,0,0,0,0,0.0782572611893271,0.246234207374962,0,-0.0344717288375173,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0516799709133754,0,0,0,0.0100063052894776,0,0,0,0,0,0.158764150420457,0,0,0.386995624861327,0,0.106163127520607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036911157627772,0,0,0,0,0,-0.00777338910765563,0,0,0,0,0,0
X600886.SH,0,0,0,0.0747195935017672,0.307065547076295,-0.0426206499711816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924449219687146,0,0,0,0.0617155329234022,0,0,0,0,0,0,0,0,0,0.0859025288254644,0.0174110858140713,0,0,-0.0241657934369564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
