,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X000792.SZ,X601898.SH,X600801.SH,X600886.SH,X600010.SH,X002460.SZ,X601600.SH,X600660.SH,X600362.SH,X600688.SH,X000786.SZ,X600188.SH,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600027.SH,X600299.SH,X600111.SH,X002466.SZ,X600176.SH,X000723.SZ,X600489.SH,X000401.SZ,X600126.SH,X600426.SH,X002075.SZ,X000898.SZ,X601158.SH,X600219.SH,X600516.SH,X002353.SZ,X000932.SZ,X000553.SZ,X000883.SZ,X600583.SH,X000709.SZ,X600486.SH,X600612.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0118554980083372,0,0,0,0,0.5194255874938,0,0,0.100078854790582,0,0,0,0,0,0,0,0,0.00528363461743619,0,0,0,0.057469977439507,0,0,0,0.00989019531246874,0,0,0,0,0,0,0.0203596559180972,0,0.0246995190056035,0,0,0,0,0,0,0.00510509644706503,0,0,0,0,0,0
X600028.SH,0.440877866318828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535618486592314,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0122401301820313,0,0,0,0.0011078439525436,0,0.00722039778563863,0,0,0,0,0.0543406535180936,0,0,0.00901826327877284,0.00608597060122374,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0966914599144895,0,0,0,0,0,0,0,0,0,0,0,0,0.0977427518348951,0.0689959781901278,0,0,0.00699108796891262,0,0.00204228946177926,0,0,0,0,0,0.106152309959957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122338619566391,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0898600688659432,0,0,0,0,0,0,0,0.361837639515294,0,0,0,0,0,0,0,0.0483783405489262,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.181887625967742,0,0,-0.000351301282719355,0,0,0,0,0,0,0,0,0,0,0.0323841433356666,0,0,0,0.0204166500410989,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0446488648266385,0,0,0.032324408367673,0,0,0.0964912520116167,0,0,0,0,0,0,0,0,0,0,0.0609500626835105,0.158580345391983,0,0,0,0,0,0,0,0,0,0,0.151787021399034,0,0,0,0,0,0,0,0,0,0.0315190028588993,0.00621897230265878,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0450174980440676,0,0,0,0.0483295953699582,0,0,0,0,0,0,0,0,0,-0.0236927426618463,0,0,0.99088438650536,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0484628442653177,0,0.046683068115019,0.00660103986584877,0.0162316438992607,0,0.00633166468643609,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0627269330350291,0,0,0,0,0.13331824510823,0.134933913043004,0,0,0.0970259810755907,0,0,0,0,0,0.0325400001059684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192325555086083,0,0,0,0.0686662537061413,0,0.0165270892473993,0,0,0,0,0.00466928962566539,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213076995970181,0,0,0.310054168670285,0,0,0.0514610640693367,0.120870093231148,0,0,0,0,0,0,0,0,0,0,0,0,0.205825770663452,0,0,0,0.00135184901365257,-0.00266858729766015,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727009035169663,0,0,0,0,0,0,0,0.0173369027991488,0,0,0.263508455333793,0.214993124800597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875642672045573,0,0,0,0,0.0721983714470009,0,0,0,0.0074702682333794,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.554663941062557,0,0,0.0852354771847714,0,0,0,-0.0390083484934929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437495605744686,0,-0.0118235098626958,0,0,0,0,0,0,0,0,0,0,0,0.0364650446700881,0,0,0.00534295944284427,0.0134293345331015,0,0,0,0,0,0
