,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X601600.SH,X600547.SH,X600660.SH,X600585.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X000708.SZ,X002460.SZ,X600111.SH,X600010.SH,X600027.SH,X601699.SH,X600160.SH,X002466.SZ,X000301.SZ,X600489.SH,X600426.SH,X000983.SZ,X600803.SH,X601991.SH,X000786.SZ,X000877.SZ,X000933.SZ,X600985.SH,X000807.SZ,X000630.SZ,X600176.SH,X002128.SZ,X601168.SH,X000408.SZ,X600219.SH,X600612.SH,X600096.SH,X002271.SZ,X000883.SZ,X600348.SH,X000932.SZ,X000027.SZ,X601666.SH,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.116076756794062,0.120085801611778,0,0,0,0,0.113256320422259,0.112714656703177,0,0,0,0,0,0,0,0,-0.0482656145009435,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625065657211024,0,0,0,0,0,-0.0515853216729686,0,0,0,0,0,0,-0.0282730531016836,0,0,0,0,0,0.0983143046810857,0,0.00246386892595277,0.0266117621230036,0,0,0,0,0,0
X601088.SH,0.186500796286224,0,0,0,0.0367484226185166,0.222378342816995,0,0,0,0,0,0,0,0,0,0,0,-0.0158761926100809,0,0,0,0,0,0,0,0,0,0.135073488960997,0,0,0,0,0,0.0444334414854558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.006375071982168,0,0,0,0,0,0
X600028.SH,0.409459940905549,0,0,0,0.0218443583715315,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546710840282028,0,-0.0335154435945866,0.0281734752037149,0,0,0,0,0.0657774998113712,0,0,0,0,-0.121172740509589,0,0,0,0,0,0,0,0.0303237452906541,0,0,0,0,0,0,0,0,0.0370503615389684,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00940356032977027,0,0,0.0977148751861588,0,-0.0714962782376779,0,0.0884005954138418,0.0442434858862202,0,0.0802351259064249,0,0,0,0.288411263024126,0,0,0,0,0,0.0230657929005649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707918829918679,0,0,0,0,0
X600188.SH,0.0146913672339137,0.023210012892282,0,0,0,0.188943045975652,0,0,0,0.0724392565507153,0,0,0,0,0,0,0,0,0,0,0,0.2385679314465,0,0,0,0,0,0,0,0,-0.111125074425481,0,0.0693613304702871,0,0,0,0,0.0357897076811306,-1.0842021724855e-19,0,0,0,0,-0.0637182205173814,0,0.0658052047651993,0,0,0,0,0,0,-0.0341071661335998,0,0,0,0,0,0
X601898.SH,0,0.0142163865566839,0,0,0.148899797476233,0,0,0.214219216789462,0,0,0,0,0,0,0.0740764924229331,0,0,0,-0.010677255441001,0,0.0233504751475755,0.205063264955856,0,0,0,0,0,0,0,0,0,0,0,0.367427460502734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122771278004218,-0.0799374542145231,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0332630294129686,0,0,0,0,0,0,0.0728629440721378,0,0,0,0.0465914141916496,0,0,0,0,0,0,0,0.0409666332581969,0,0,0,0,0,0,0,0,0,0.0910511179642221,0,0,-0.0681751947853338,0,0,0,0,0.0346720937873179,0,0,0,-0.0538335884150577,0,0.0115737169546957,0,0,0,0,0,0
X600011.SH,0.0614444217620998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433370772966853,0,0.0296760186093035,-0.00810021751446458,0,0,0.138756375433832,0,0,0,0,0,0,0,0,0.215889641661628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101449249035619,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266228996677841,0,0,0,0.214050972432234,0,0.0254695917636191,0,0,0,0.0656450992013877,0,0,0,0,0.0598317519191081,0.0734380991134936,0,0.192712375229756,0,0.0075972992357705,0,0.191071935453241,0.00808862232560313,0,0.110214023388346,0,0,0,0,0,0,0,0,0,0,0,0.126674460419577,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699883723016064,0,0,0,0,0,0,0.124675304986143,0,0,0,0,-0.0995116591207972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257893936573434,-0.0326232761648936,0,0,0,0,0
