,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X600547.SH,X601600.SH,X601898.SH,X600660.SH,X000792.SZ,X002460.SZ,X600886.SH,X002466.SZ,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X002271.SZ,X600426.SH,X000877.SZ,X600362.SH,X600795.SH,X600176.SH,X600027.SH,X601699.SH,X600489.SH,X000983.SZ,X000807.SZ,X600803.SH,X601991.SH,X000786.SZ,X600160.SH,X000630.SZ,X000932.SZ,X000933.SZ,X000408.SZ,X600219.SH,X002080.SZ,X300037.SZ,X000629.SZ,X000539.SZ,X600688.SH,X600612.SH,X002409.SZ,X600096.SH,X600157.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.802242374142156,0,0,0.0500830690216938,0,0,-0.0392261239449161,0,-0.0711246495112408,0.188422952600876,0,0,0,0,0,0,0,0,0.0309545823664573,-1.73472347597681e-18,0,0,0,0,0,0,0,0.224340526824483,0,-0.0312474975325928,0,0,0,0.0302565506285643,0,0,0,0,0,0,0,0,-0.00569283337224335,0,0,-0.0910966488049129,0,0.108877447682339,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.472097915123033,0,0,0,0,0.0225266749414536,0.0726331020819438,0.0251099316770823,0,0,0.200865582045584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406209217408003,0,0,0,0.0521990831389014,0,0,0,0,0,0.0766396712541493,0,0,0,0,0,0,0,0,0,-0.215531687107294,0,-0.055804830838697,0,0,0.0321880198604562,0,0,0,0,0,0
X601088.SH,0,0.242299749432467,0,0,0.0985134952370515,0,0,0,0,0.0209675339715107,0.00299904258346494,0,0,0,0,0,0,0.090361269218069,0,0.0482426459912896,0,0,0.00336693422510423,0,0,0.0135631872660926,0,0,0,0.071309215925386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301786113899496,0,-0.00371654618621583,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0458372272397679,0,0,0,0.0236511913220753,0,0,0,0.13637742373968,0,0,0,0,0.0499187464970681,0,0.102755196031815,0,0,0,0,0.0176281911916198,0,0,0,0,0,0,0,0.0443483104385488,0,0,0.027433296904574,0.0382655828376968,0,0,0,0,-0.0346879249150184,0,0,0,0.0442523453554913,0,0,0,0,0,-0.00412990414915061,0,0,0,0,0,0
X600188.SH,0,0,0.67686731332343,0,0,0,0,0,0,0.0512421681444579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223299924933753,0,0,0,0,0,0,-0.0123032005920961,0,0,0,0,0,0,0,0,0,0,-0.22394188961218,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.190362479609325,0,0,0,0,0.0406792755720112,0,0,0.0724638918831104,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.103553446625195,0,0,0,0,0,0,0.0649510311131281,0,0.0641914704138756,0,0,0,0,0,0,0.171401494440347,0,0,0,0,0,0,0,0,0,-0.134260377662647,0,0,0,-0.0397733081082787,0,0.0217475682440176,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.123141070183413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572274155651358,0,0.147557721623958,0,0,0,-0.0666607451896206,0,0,0,0,0,0,0.0335640119691083,-0.00181366372816082,0,0,0.186967304435819,0,0,0,0,0,0.0205952099912178,0,-0.0767672699814751,0,0,0,0.0963546710966779,0,-0.00192953249329686,0,0,0,0,0,0,0
X600011.SH,0,0,-0.0952491105936974,0,0,0,0,0,0.00252490721000656,0,0,0,0,0,0.461443945707043,0,0,0,0,0,0,0,0,0,0,0,0.529319335917311,0,0.0653896588396596,0,0,0,0.0816471631748838,-0.237988687165781,0,0,0,0,0,0,0,0,0,0.0874253364675595,0,0,0,0,0,0,0,0.0152416227955114,0.00839807236058509,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.129066495343578,0,0,0,0,0,0,0,0,0,0,0,-0.0422432997339692,0,0,0,0,0,-0.0200965080659338,0,0,0,0.541668764243564,0,0,0,0,0,0,0,0,0,0,0,-0.0392515509492638,0,0,0,0,0.0247720092343079,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0.0421671136436909,0,0,0,0.0147567485763836,0.0229399185548526,0,0,0,0,0,0,0,0,0,0,0,0.205688914713943,0,0,0.0356316123404114,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.40205606854253,0,0,0.0504598172173515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216281888941302,0,0,0,0,0,0,0,0,0
