,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601992.SH,X600795.SH,X600688.SH,X600309.SH,X601600.SH,X300072.SZ,X600660.SH,X601991.SH,X600188.SH,X600362.SH,X600547.SH,X600886.SH,X002466.SZ,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600339.SH,X000898.SZ,X000959.SZ,X600489.SH,X601158.SH,X600008.SH,X000723.SZ,X600299.SH,X002460.SZ,X000883.SZ,X002271.SZ,X600176.SH,X600219.SH,X600352.SH,X000630.SZ,X600578.SH,X000539.SZ,X600583.SH,X000408.SZ,X000792.SZ,X000027.SZ,X000786.SZ,X600021.SH,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0538116653232867,0,0,0,0,0,0,0.0440639770041515,0,0,0,0.178419960496018,0,0,0,-0.0175121751228775,0,-0.0486836878409498,0,0,0,0,0,0.0248554676680307,-0.0166887746464493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308068028368476,0.0645444197767127,0,0,-0.0031500113041753,0.00113680895882995,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545164570514699,0,0.00724753674277984,0,-0.135582263401028,0,0,0,0,0,0,-0.0424899337015173,0,0,0,0,0,0,0,0,0,0.0251756860010791,0.0948403100159305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00311816686259004,0.0829871727317299,2.71050543121376e-20,0,0,-0.00713603845881931,0,0,0,0,0,0,0,0,0,0,-0.0106114952562497,0,0,0,0,0.00676984959180217,0,0,0,-0.0089796386307351,-0.0105547317380097,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337390838964656,0,0.0455309781778546,0,0,0,0,0,0,0,0,0.0599784300287447,0.257769650464017,-0.0217807963019859,0,0,0,0,0,0.057354502998853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195193327015583,0,0,0,0,0,0,0
X600011.SH,0,0,0.090182269580419,0,0,0,0,0,0,0,0,0,0,0,0,0.202614227067497,0,0,0,0,0,0.261925202077666,0.0494467428791008,0,0,0.0573731099328285,0,0,0,0,0,0,0,0.0692186369140685,0,0,0,0,0,0,0,0,0,-0.0633194197741963,0,0,0,0.0902239324521181,0,0,0.0209963021035806,-0.00143072584565782,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0156567920121976,0,0,0,0,0,0,0,0,0,0,-0.00742945587110316,-0.079653352652715,0,0,0,0.138674718838794,0,0,0,0,0,0,0,0,0,-0.0558069203743378,0,0,0.0276404562749205,0,0.14401940133716,0,0,0,0,0,0,0,0.218789124077654,0,0,0,0,0,0,0,-0.00579347971962117,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0246877690757113,0.0935373324511808,0,0,-0.0264792141683638,0,0.000423606870904127,0,0,0,0,0,0,0.0700121073788536,0,0.0809671306256369,0,0.0831272055368044,0,0.116764472278695,0,0,-0.0294961092645039,0,0,0,0,0,0,-0.0761495375083076,0,0.11763581241443,0,0,-3.46944695195361e-18,-0.00565727903207716,0,0,0,-0.0166830756393482,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407471739568862,0,0,1.0842021724855e-19,0,0,0,0,0,0.0133191238702199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344353718214236,0,0,0,0,0,0,0,0,0,-0.008426012104517,6.65570767318397e-05,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131684596867632,0,0,0,0,0,0,-0.244460939286945,0,0.622838038610575,0,0,0,0,0.0144443468585085,0.123379209492988,0,0.361314561391804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203802204162614,0,0,0,-0.0391670954287927,0.0418124556295907,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.022414741487238,0,0,0,0,0,0,0.0342691893483265,0,0,0,0.053851352562037,0,0,0.073122666403127,0,0,0,0.0275789550842814,0,0,-0.0255946973639117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529539848181499,0.0486981753875594,0,-0.00409497296436387,0,0,0,0,0,0,-0.0190457692397308,0.00129522154970837,0,0,0,0,0,0
