,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X000708.SZ,X600027.SH,X600803.SH,X600010.SH,X600111.SH,X000983.SZ,X600160.SH,X601699.SH,X002460.SZ,X600426.SH,X601991.SH,X000301.SZ,X002466.SZ,X000786.SZ,X000933.SZ,X002128.SZ,X600985.SH,X000807.SZ,X000630.SZ,X600219.SH,X000877.SZ,X600176.SH,X601168.SH,X000408.SZ,X000883.SZ,X600348.SH,X002353.SZ,X600096.SH,X000027.SZ,X002271.SZ,X600995.SH,X000932.SZ,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0482640152829535,0.644816034013366,0,0,0,0,0.0623313536780189,0,0.0952886645161117,0,0,0,0,-0.0596404221878583,0,0.113160515789571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639669200123737,0,0,0,0,0,0,-0.0640557678363348,0,0,0,0,0,0,0,0,0,-0.0457170046363417,0,0,-0.0196512370159862,0.00308361500281296,0,0,0,0,0,0
X601088.SH,0.233771142073675,0,0,0,0,0,0,0,0,0,-0.00133941697339819,0,0,0,0,0,0,0,0,0,0,0,0.106578380603878,0,0.135273374659007,0,-0.024748190277592,0,0,0,0,0,0,0.0760352424794347,0,0,0,0,0,-0.0808169374454221,0,0,0,0,0,0,-0.0474653743655235,0,0,0.115370828992454,0,-0.00378668871444532,-0.025700266433298,0,0,0,0.0232471755902142,0,0
X600028.SH,0.473610285272682,0,0,0,0,0,0.112606392304801,0,0,0,0,0,0,0,0,0,0,0,0.0182856323249861,0,-0.00730957610861794,0,0,0,1.73472347597681e-18,-0.103462430628336,0,0,0,0,-0.00670195691432361,-2.16840434497101e-19,0,0,0.0785647104290359,0,0,-0.0429592409233307,0,0,0,0,0,0,0,0,0,0,0,0.0484804454134307,0,0,-0.0173055820826974,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0132654861838313,0,0,0,0,0.0671437332596418,0,0,0,0,0.0845778760004421,0,0,0,0,0,0,0,0,0,0,0.0632994043593548,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0394814465903731,0.0527132777684644,0,0,0,-0.0879554410015579,0,0,0.00892646504105151,0,0,0,0,0,0,0,0,0,0.046293589930257,0,0
X600188.SH,0.0784147922163897,0,0,0,0,0.099615408285086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991427019992547,-0.0945146344244442,0.23886180305852,0,0,0,0,-0.0250403346127029,-0.11648427418557,0.0730576422651176,0,0.141392464804067,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.032755006982491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999268352388483,0,0,0,0,0,0.0232486002875529,0.254282578927131,0,0,0,0,0,0,0,0.0393319837857213,0.313232626419043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165461337479349,-0.0103160810129674,0,0,0,0,0,0
X600019.SH,0,0.00961202286938041,0,0.0900335122407655,0,0.129431420363405,0,0,0,0,0,0,0,0,0,0.0191769469454255,0,0.223385832885195,0.0181499240168093,0,-0.109337824073613,0,0,0,0.00731959402908291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364894348896419,0.0136592353170601,0,0,0.0201987889623763,0,0,0,0,0,0
X600011.SH,0.0962560706647296,0,0,0,0,0,0,0,0,0,0,0,0,0.287228631660497,0,0,0,0,0.253076185384627,0,0,0,0,0,0,0,0,0.19836020102654,0,0,0,0,0.0269845468874838,0,0,0,0,0,0,0,0,0,0,0.0734045596178186,0,0,0,0,0,0,0,0.0169009219601408,0.0192640698910061,0,0,0,-0.0475841194161703,0,0
X600886.SH,0,0,0,0,0,0.0169824755422719,0,0.0509302980717191,0,0,0,0,0,0.102987637546226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014459225401666,-0.0670533466954394,0,0.0273591459617405,0,0,0,0,0,0,0,0,0,0,0,0,-0.069644049745588,0,0,0,-0.193015246395481,-0.00682832757524883,0,0,0,0,0,0,0
X601600.SH,0.0641887255747332,0.0104509737653539,0,0,0,0,0,0,0,0,0,-0.0177123924219923,0,0,0,0,0,0,0,0.0843508276133151,0,0,0,0.101447743351198,0,0,0,0,0,0,0,0.290880196268453,0,0.0576627274080891,0.102486867261001,0,0,0,0,0.265713426349898,0,0,0,0,0,0,0,0,0.0963192945217337,0,0,0,0,0,0,0,0,0,0
