,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600886.SH,X600011.SH,X600547.SH,X600585.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X000708.SZ,X600803.SH,X600111.SH,X600027.SH,X002460.SZ,X600426.SH,X601991.SH,X000301.SZ,X600160.SH,X000983.SZ,X002466.SZ,X601699.SH,X000786.SZ,X600219.SH,X000807.SZ,X002128.SZ,X000630.SZ,X600176.SH,X000933.SZ,X601168.SH,X600985.SH,X000877.SZ,X000408.SZ,X600096.SH,X000883.SZ,X002353.SZ,X000027.SZ,X002271.SZ,X002409.SZ,X000932.SZ,X600995.SH,X600483.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.289413649582993,0,0,0,0,0,0,0,0,0,0.226290196883645,0,-0.0429933504571758,0,0,0,0,0,0,0,-0.0134807984881901,-0.139120200969102,0,0,0,0,0,0,-0.0776531963077252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203638605178534,0,0,0,-0.0277629750340435,0,0
X601088.SH,0.238922701452099,0,0,0,0.163946767895286,0,0.187483370467268,0,0,0,0,0,0.0582260162692814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474602554952362,0,0,0,0,0,0,0,0,0,-0.00180548745274359,0,0,0,0.0715893098691364,0,-0.0456940271491769,0.0444318289490463,0,0,0,0,0.037050618395275,0,0,0,0,0.00819613768963947,0,0
X600028.SH,0.49063782569176,0.139116065215768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0612881006811806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0744635995356304,0,0,0,0,0,0,0,0,0,0.0287034427174537,0,0
X600309.SH,-0.118710328324557,0,0,0,0,0,-0.0116776378950776,0,0,0,0,0,0,0,0,0,0,0,0,0.0326134803478162,0,0,0,0.066013178006707,0,0,0,0,0,0,0,0,0,0,0,0,0.00477210415243245,0,0,0,0,0,0,-0.0241901052190884,0,0.205360208195611,0,0,0.0414306173010352,0,0,0,-0.046887544352985,0,0,0,0.0105536348448231,0,0
X601898.SH,0,0.0334133234200693,0,0,0,0,0.19096296655887,0,0,0.00367559400621272,0,0,0,0,0,0,0,0,0.119708130727954,0,0,0.0134134471900785,0,0,0,0,0,0,-0.0258179192542728,0.260582432220788,0,0,0,0,0,0,0,0,0.201160777579444,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101658900138365,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.131448341537425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136261153043706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850216624955296,0,0,0,0,0,0,0,0,0,0.253340871415315,0,0,0,0.0312710276843469,0,0,0,0,0.0189819662001887,0,0
X600188.SH,0.1191549156502,0,0,0,0.161553854834228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297467166575215,0,0.233260669639125,-0.102079612262805,0,0,0,0,0,0.0395027972104868,0,0.0366255198506881,0,0,0,0,0,0,0,0,0,0,0,0,-0.0474758562002164,0,-0.000860217117598495,0,0,-0.027537396333046,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17035835875974,0,0,0,0,0,0,0,0,0,0,0.063692831685559,0,-0.113291397010358,0,0,0,-0.0882223734676877,0,0,0,0,0,-0.0361782675343068,0,0,0,0,0,0.149853398302491,0,0,-0.00173954890291654,0.0257094644371117,0,0,0,-0.133840315242284,-0.0193163534875387,0,0,0,0,-0.00561711421827266,0,0
X600011.SH,0.0155347447929864,0,0,0,0,0,0,0,0,0,0,0,0,0.105981184434745,0,0,0,0,0,0,0,0.278243886090878,-0.0451754368905336,0,0.265596974104616,0,0,0,0,-0.0132125338035935,0,0,0,0,0,-0.0197513301997249,0,0,0,0,0,0,0.0660217635215913,0,0,0,0,0,0,0.15571241999082,0,0.0389520895013756,-0.0198200685666036,0,0,0,-0.0122822026719128,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483379535887617,0.236146609563615,0,0,-0.0419955275687013,0.0264618204189819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847471349480717,0.0248949448422916,0,-0.0136182281580669,0,0,0,0.0594109081151289,0,-0.0625740586381033,-0.0557632787811042,0,0,0,0.130481585030705,-0.0374971077003996,0,0,0,0,0,0,0
