,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600188.SH,X000792.SZ,X600111.SH,X600019.SH,X600011.SH,X002466.SZ,X000877.SZ,X002271.SZ,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X000708.SZ,X000301.SZ,X600547.SH,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000723.SZ,X000408.SZ,X000786.SZ,X600219.SH,X601699.SH,X000807.SZ,X601991.SH,X000983.SZ,X600795.SH,X002353.SZ,X600803.SH,X600096.SH,X002080.SZ,X300073.SZ,X600141.SH,X600688.SH,X000630.SZ,X000825.SZ,X600801.SH,X600157.SH,X600489.SH,X600027.SH,X000932.SZ,X600160.SH,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.00549547236767343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148076650171533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122365430072117,0,0,0,0.0637831870986018,0,0,0,0,0,0,0,0,0.16078788975407,0,0,0,0,0,0,0,4.33680868994202e-19,-0.0150057341860583,0,0,0,0.0300000993317441,0,0
X600028.SH,0.145025939442558,0,0,0,0,0,0.0579320595556544,0,0,0,-0.0178989232876056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251527380422124,0,0.00659820583902397,0,0,0,0,0,0,0,0.165830743014168,0,0,-2.16840434497101e-19,0,0,0,0,0.0207282825839856,0,0,-0.00951186280578465,0,0,0,0,0,0,0
X601088.SH,0.129487396201666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249427359900827,0,0,0.166107932299219,0,0,0,0,0,0,0,0,0,0,0,0,0.0537810315783253,0.0123020505957645,0,0,0,0,0,0.0268591031371256,0,0,0,0.0705961131554775,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392983520940103,0,0,0,0,0,0.0333596689515213,0,0,0,0,0,0.00126893237022463,0,0,0,0,0,0,0,0,0.0417673828038944,0.220458101160658,0,0.036006839795868,0,0,0,0.0229214882734585,0,0,0,0,0.041273889448568,0,0,0,0,-0.00707887838585633,-0.000979395906921825,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140868807596841,0,0,0,0,0,0,0,0,0,0,0,0,0.000594499123340851,0,0,0.49253214137719,0,0,0,0,0,0,0,-0.00351222002564899,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.120191973109685,0,0,0,0,0.494982718348501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.0951512377017802,0.0975072394681465,0.185749650366834,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154685934212885,0,0,0,0,0,0
X600188.SH,0,0,0.0399519652816894,0,0,0.0948102751160921,0,0,0,0,0.100666705707053,0,0,0.0363218670192049,0,0,0.141267567106682,0,0,0,0,0,0.00967022551520413,0,0,0,0,0,0,0,0,0,0.485731918364656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752768707560311,0.134646744959511,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.372364274127233,0,0,0.311367903074816,0,0,0,0,-0.0403662576054944,0,0,0,0,0,0,0,0,0.244217769148615,0,0,0,0,0,0,0,0,0.030704351023298,0,0,0,0,0,0,0,-0.0939242341054706,0,0,0,0,0,0.167786692851364,0,0,0,0.0138850619041965,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.328107807435875,0,0,0,0,0,0,0,0,0.100424899208084,0,0,0,0.0192906688560618,0.129730730083566,0,0,0,0,0,0.0199370020726147,0,0,0,0,0.053931297481214,0,0,0,0,0,0,0,0,0.198743938729267,0,0,0,0,0,0,0,0,0.0401215662881772,0,0,0.0288011168882924,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0321860918497911,0,0,0,0.131241128772245,0,0,0,0,0,0,0,0,0,-0.00787407481199842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205421030579887,0,0,0.024468029797118,0.335964274598403,0,0,0,-0.00122965168444586,4.33680868994202e-19,0,0,0,0,0,0
