,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600188.SH,X600688.SH,X600660.SH,X600362.SH,X300072.SZ,X601992.SH,X600547.SH,X600795.SH,X002466.SZ,X600516.SH,X601991.SH,X600176.SH,X600111.SH,X600886.SH,X000898.SZ,X002460.SZ,X000792.SZ,X000786.SZ,X000553.SZ,X000709.SZ,X600157.SH,X600352.SH,X600027.SH,X000408.SZ,X002271.SZ,X600489.SH,X600339.SH,X600219.SH,X601699.SH,X000983.SZ,X600808.SH,X000959.SZ,X600299.SH,X002092.SZ,X601158.SH,X600583.SH,X000883.SZ,X000630.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.533038598331071,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.099044246640898,0,0,-0.0260460674958229,0,0,0,0,0,0,0.013452884438211,0,0,0,0,0,0,0,0.0815810251682055,0,0,0,-0.00368446847748927,0,0,0,0,0,0,0,0,0,0,0,0.00926158828198627,0,0,0,0,0,0,0
X600028.SH,0.278769897636684,0,0,0,0,0,0,0,0,0,0.175869513892595,0,0,0,0,0,0,0,0,0,-0.120449942920402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407974039433955,0,0,0,0,0,0,0,-0.000634583223787425,-0.00548424995654125,0,0,0,0,0,0
X601088.SH,0,0,0,0.229176384742716,0.236521189491238,0,0,0,0,0,0,0,0,0,-0.017262245005519,0,0,0,0.0600225580408689,0,0,0,0,0,0,0,0.0923616793816255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149359840450975,0,0,0,0,0,0,0,0,-0.00852170907165676,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.19786560861445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14115373151037,0,3.46944695195361e-18,0,0,0.112666012972591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266811142233728,-0.00788327748718577,0,0,0,0,0,0
X600585.SH,0,0,0.391411248548668,0,0,0,0,0,0,0.00962822963061215,0,0,0,0,0,0,0,0.253925004921773,0,0,0,0,0,0,0,-0.224770942511372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410828166454215,0,0,0,0,0,0.0164914005645158,0,-0.00107509039540002,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0910447575150918,0,0,0,0,0,0,0,0,0,0,0,0.0997413282121142,0,0,0,0.0494927070697524,0,0.0241058003842219,0,0,0,0,0,0,0,0,0,0,0,0,0.0574282471112912,0,0.154563834661626,0,0,0,0,0,0,0,0.000822021845927377,0,0,0,0,0,0
X600309.SH,0,-0.163600045973641,0.0250406950654798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369701812325941,-0.0553129938389872,0,0,0,0,0.0896222985991434,0,0,0.0818559104794945,-0.221580280378918,0,0,0,0,0,0,0,0.076534666763547,0,0,0,0,0,0,0.182790527015907,0,0,0,0,-0.0605425559600675,0,-0.0415268226169239,0.0708705722071955,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0503473128491385,0,0,0,0,0,0.017883178273578,0,0,0,0,0.0641141803484138,0,0,0,0.0216784060222132,0,-0.0282387584327554,0,0,0,0,-0.0358474830141352,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0351192062397521,0,0.0920228208194522,0,0,0,0,0,0.012564227152199,0,-0.00582325999560384,-0.000532843918636691,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.160872067960407,0,0,0,0,0,0,0,0,0.0140378040639884,0,0,0,0,0,0,0.0460302643753121,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0.0401310833963123,0.0921655662396204,0.131897466632656,0,0,0,0,0,0,0,0,0,0,0.00699636793315886,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.104093804402979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132710186620539,0,0,0,0.13317874348858,0,0,0,0,0,0,0,0.0544055304874029,0,0,0,0,0.245245734458214,0,0.267551137348724,0,0,0,0,0,0,0,0.00955051988587527,0,0.0172634516169939,-0.0336183122362948,0,0,0,0,0,0
