,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600886.SH,X600660.SH,X601991.SH,X600688.SH,X600362.SH,X600188.SH,X600795.SH,X600352.SH,X600801.SH,X600111.SH,X000723.SZ,X601992.SH,X600027.SH,X002271.SZ,X000898.SZ,X600489.SH,X600176.SH,X600516.SH,X600299.SH,X000709.SZ,X000786.SZ,X002460.SZ,X000629.SZ,X000883.SZ,X002466.SZ,X601158.SH,X600219.SH,X002353.SZ,X000553.SZ,X000630.SZ,X600426.SH,X600985.SH,X601699.SH,X600612.SH,X600583.SH,X000027.SZ,X000401.SZ,X000825.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402032559740921,0,0.00433784284695836,0.00487785635984688,0.0272192145938519,0,0.0510223245777346,0,0,0,0,0,0,0.0807995734624198,0,0,0.0775660440571108,0,0,0,0,0,-0.00668766667822984,0.0110208616984612,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015059350117765,0,0,0.0161420298090845,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0302454049574061,0,0,0,0,0,0,0,0,0.0575447103583423,0.048980095365049,0,0.120249299041798,0,0,0,0,0,0,0,0,0,-0.0201814585473098,-0.00769692426327971,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126868487929028,0.0758476171737908,0,0,0.0708834508184405,0,0.0516448058614093,0,0,0,0,0,0,0.0932301762656561,0,0,0,0.0120409088646417,0,0,0,0,0,-0.0475831013389261,0.00744575244562778,0,0,0,0.0145457675246433,0,0,0,0,0,0,0,-0.00963617566418024,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0273049270708624,0,0,0,0,0,0,0,0,0,0,0,0,0.00721860467539661,0.333387494328498,0,0.0791520335797731,0,0,0,0,0,0,0,0,0,0,0.001537190061477,0,0,0,0,0,0,0,0,0,0.0204566607222626,0,0.0320205602003187,0,0,0,0,0,0,-0.00995744064323582,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695126834731925,0.0335775474624425,0,0.0153036851767056,0,0,0,0,0,0,0,0.0977428718821096,0,0,0.0419667098949972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020420866287158,-0.0194974118041581,0,0,0,0.0501806913063128,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25914676746972,0,0.0377514297893807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196890833723791,0.0786744674769105,0,0,0,0,0.0495368818715696,0,0,0,0,0,0,-0.0176084479652086,0,0,0,0,0.101787513667111,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.0358440665811888,0,0,0,0,0,0,0,0,0,0,0,0.0328780762056912,-0.0921053080049869,0,0,0,0,0,0,0,0,0.19830308951466,0,0,0,0,0,-0.0704261630588116,0,0,0,0,0,0,0,0,0,0,0,0,-0.0628652807289845,0,0,0,0.00752659372727573,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168187845686916,0,0,0,0,0,0,0.751298440820412,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.225963353286354,0,0,0,0,0,0,-0.0493170000981406,0,0,0,0,-0.0616241398815295,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159828145072671,0,0,0,0.128371348665054,0.0899524685538122,0.00293920219160776,0,0,0,0,0,0,0.0526293048048562,0.0447482030768865,0,0,0,0,0,0,0,0,0.0581784268418073,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117415351163015,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.106539334649059,0,0,0,0,0,0,0.0682788549295198,0,0,0.00707340779537726,0,0.0223789884315953,0.0082586063245487,0,0,0,0,0,0,0.0464476103824801,0.00871707039560312,0,0,0,0,0,0,0,0,0,0,0,0.318967866082118,0,0,0,0,0,0,0,0,0,-0.00033094757924473,-0.0241390269070539,0,0,0,0,0,0
