,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X600585.SH,X601600.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X000708.SZ,X600027.SH,X600803.SH,X600010.SH,X600111.SH,X000983.SZ,X600160.SH,X601699.SH,X002460.SZ,X600426.SH,X601991.SH,X000301.SZ,X000786.SZ,X002466.SZ,X002128.SZ,X000933.SZ,X600985.SH,X000877.SZ,X000807.SZ,X000630.SZ,X600219.SH,X601168.SH,X600176.SH,X000408.SZ,X000883.SZ,X600348.SH,X002353.SZ,X600096.SH,X000027.SZ,X002271.SZ,X600995.SH,X600612.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.121681849941896,0.578061903482962,0,0,0,0,0.094335101165167,0,0,0.175462693625925,0,0,0,-0.044030330219609,0,0.0120355259364954,0,0,0,0,0,0,0,0,0,-0.121228259733925,0,0,0,0,0.042075080746184,0.014687119586194,0,0,0,0,0,0,-0.0348158229086221,0,0,0,0,-0.0416216460661343,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X601088.SH,0.250379467269702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221249443671742,0,0.108497782956185,0,-0.0258285627145433,0,0,0,0,0,0,0,0,0,0,0,-0.0745661517898855,0,0,0,0.00915073527619281,0.0484202000177202,0,0,-0.0448072509449526,0,0,0,0,0,0,0,0,0,0.0188151478904379,0,0
X600028.SH,0.466838153775656,0,0,0,0,0,0.0886259348981918,0,0,0,0,0,0,0,0,0,0.0246951798145312,0,0.0149189798344096,0,-0.0189334855345815,0,0,0,0.0206099784006141,-0.131109401638876,0,0,0,-0.01497217096167,0,0,0,0,0,0.00727550215024797,0,0.0189189169544946,0.050286775173306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.00801415496007112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.14708836100199,0.0417651237644303,0,0,0,-0.0440273031800161,0,0,0,0,0,0,0,0,0,0,0,0,0.0247632998101675,0,0
X600188.SH,0.0784147922163911,0,0,0,0,0.0996154082850879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991427019992562,-0.0945146344244449,0.23886180305852,0,0,0,0,-0.116484274185568,-0.025040334612703,0,0.0730576422651183,0.141392464804064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.0227674060152461,0,0,0.000246241029526797,0,0.0531917321302474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190596917154954,0,0,0,0,0,0,0.0355900436060144,0,0.394580676109036,0,0,0,0,0,0,0,0,0,0.149742556930591,0,0,0,0,0,-0.0264530256065601,0,0.0234890982393798,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.048400534367992,0,0,0,0,0,0,0,0,0,0,0,0.224428411582252,0.202802189809828,0,0,0,0,0.0212094177153134,0.0344988513320966,0,0,0,0,0.095359761597727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534957809576103,0,0,0,0,0,0
X600011.SH,0.110276943593689,0,0,0,0,0,0,0,0,0,0,0,0,0.267606009407935,0,0,0,0,0.275615399043583,0,0,0,0,0,-0.0374024428468711,0,0,0.203850013767815,0,0,0,0.0427687275521005,0,0,0,0,0,0,0,0,0,0,0,0.0815863169823055,0,0,0,0,0,-0.00559092896876283,0,0.0212925815984076,0.0127614615220572,0,0,0,-0.0387684495441696,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121092269471046,0,0,0,0.0404074411661583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310332296667817,0.0625405284310823,0,0,0,0,0,0,0,0.0169565273201566,0,0,0,0,-0.0846297196842176,0,0,-0.0148268911634078,-0.215990830468749,-0.0028092701466039,0,0,0,0,0,0,0
X600585.SH,0,0.0269592132860535,0,0,0,0,0,0,0,0,0.0408211548291782,0.0159146426739754,0,0,0,0,0,0,0,0,0.0738186682602051,0,0,0,0,0,0,0,0,0.125043807609667,0,0,0.0213077646201997,0,0,0,0,0,0,0.0324617994242964,0,0,0,0,0.117058633413741,0,0.110885165491709,0,0,0,0,0.00141287273046258,0,0,0,0,0,0,0
