,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600585.SH,X601898.SH,X600011.SH,X600019.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X600547.SH,X600886.SH,X600795.SH,X601600.SH,X000877.SZ,X002271.SZ,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X600803.SH,X601699.SH,X601991.SH,X000983.SZ,X000408.SZ,X600160.SH,X000629.SZ,X600348.SH,X600096.SH,X000723.SZ,X600995.SH,X600219.SH,X600378.SH,X002192.SZ,X600489.SH,X000786.SZ,X000831.SZ,X600157.SH,X000807.SZ,X000933.SZ,X600399.SH,X002353.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0631532762476848,0,0,0,0,0,0,0.142704388388152,0,0,0,0,0,0,0,0,0,0,0.0703337619983604,0,0,0,0,0,0,0,0,0,0.0945671273296017,0,0,0,0,0,0,-0.00877863652932586,0,0,0,0,0,0,0,0,0,0,0.140817409050866,0,0,-0.00531335387049334,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0527307814445762,0.271682038047457,0,0,0,0,0.137286912603312,0.0227271026836982,0,0,0,0,0,0,0,0,0,0.00494659285883737,0,0,0,0,0,0,0,0,0,0.180944621728076,0,0,0,0,0,0,-0.0340654430952857,0,0,0,0,0.0956844443691243,0,0,0,0,0,0,0,0,0,0.00729412113988662,0,0,0,0,0,0
X600028.SH,0.179438944224442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947331624066006,0,0,0.0704599648943884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299269606729561,0,-0.0116273548783159,0,0,0,0.00940641759381199,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.111417101928075,0,0,0,0,0,0,0,0,0,0.108707935066523,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0237422076620115,0,0,0,0,0,0,-0.0853597046498984,0.179682681000828,0,0,0,0,0,0,0.0890467438856499,0,0,0,-0.00768976175205687,0.00532749535129062,0,0,0,0,0.0115693654531364,0,0,0,0,0,0
X600188.SH,0,0.774239039003521,0,0,0,-0.0223144624707542,0,0,0,0.0568078200341842,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226796289500696,0,0,0,0,0.0798069866732162,0,0.0724729220640603,0.0545104172847999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371815413519568,-0.00752013219548874,0,0,0,0,-0.046669418790274,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.344076110237996,0,0,0,0,0,0,0,0,0,0.084396000186947,0,0,0,0,0,0,0,0,0,0,-0.13369765571756,0,0,0,0,0,0.0834316661168765,0,0,0,0.00604157105195015,0,0,0.164688955613915,0,0,0,0,0.0901554776563935,0,0,0,0,0,0.0405933277861383,-2.16840434497101e-19,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.497967803973073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060421501551739,0,0,0,0,0,0,0,0,0.17084283807493,0.00844203752674968,0,0.445272908991502,0,0.00753153430159655,0,0,0,0,0,0,0,0,0,0.0985486301437677,0,0,-0.143934780372719,0,0,-0.0380753100967146,0,0,0.0497347199591205,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0277647195666703,0,0,0,0,0,0,0.0232564513532147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497028278070105,0,0.230732325880373,0,0.0183153961215513,0,0,0,0,0,0,0.136871411241796,0,0.0052808197942473,0,0,0.163149600417738,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.082082206530004,0,0,0,0,0.139841494335028,0,0,0,0.0763609898821772,0,0,0,0,0,0,0,0,-0.0425366283173554,0,0,0,0,0,0,0.114547261555486,0,0,0,0,0,0,0.43227370120733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.00227940067519297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457600807502036,0,0,0,0,0.189096849967281,0.137075490422086,0,0.349322616688171,0,0,0,0.0434382036047408,0,0,0,0,0,0,0,0,-0.0527696566002126,0,0,0.139348775008333,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201403663149407,0,0,0,0,0,0,0.285445253157231,0,0,0.237484917926799,0,0.118346478978097,0.0321604417508354,0,0.133192170775584,0,0,0,0,0,0,0,0,0,0,0,-0.271452386563778,0,0,0,0,0,0.114276753762229,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.00967358970557475,0,0,0,0,0,0.0587999974858487,0,0,0,0,0,0,0,0,0,0.15015444603936,0,0,0,0,0,0,0,0,0.0114857240825184,0.0339713736518228,0,0,0,0,0,0,-0.0216443960924818,0,0,0.0593723374519552,0,0.0111220900906216,0,0,0,0,0,0.0571847646237555,0,0,0,0.0713354187008209,0,0,0,0,0,0
