,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X002466.SZ,X601600.SH,X600660.SH,X600688.SH,X601991.SH,X600362.SH,X600795.SH,X600547.SH,X600886.SH,X300072.SZ,X002460.SZ,X600516.SH,X600111.SH,X000898.SZ,X601992.SH,X600176.SH,X600352.SH,X600027.SH,X000553.SZ,X000786.SZ,X600299.SH,X000825.SZ,X000792.SZ,X000709.SZ,X002271.SZ,X000408.SZ,X600426.SH,X600489.SH,X601158.SH,X600315.SH,X000883.SZ,X601699.SH,X000830.SZ,X600219.SH,X600808.SH,X600157.SH,X000630.SZ,X600339.SH,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0747540851812506,0.0220617048740461,0,0,0,0,0,0,0,0.0478162134251283,0,0,0,0,0,0,0,0,0,0.0338340900014549,0,0,0,0.0824133007960683,0,0,0,0,0,0,0.00371162323899201,0,0,0,0,0,0,0,0,0.135278434769295,0.0176886868527196,0,0,0,0,0,0.107001496034518,0,-0.00616812819549734,0.000248673422963115,0,0,0,0,0,0
X600028.SH,0.316508161877392,0,0.336202723349427,0,0,0,0,0,0,-0.0900796999455729,0,0,0.361701311654211,0,0,0,0.0371956098781068,0,0,0,0,0,0,0,-0.0153403347317254,0,0,0,0,0,0,0,0,0,0,0.00921253029210352,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149334459293537,0,0,-0.327819771365177,0,0,0,0
X601088.SH,0,0.0516075737058128,0,0.259801174594432,0.0322262029888633,0,0,0,0,-0.00590745497724255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429696606626442,0,0,0,0,0,0,0,0,0,-0.0148987549191358,0,0,0,0,0,0
X600019.SH,0,0,0.143739230783346,0,0,0,0,0.227509962613069,0,0,0,0,0,0,0,0,0,0,0,0,-0.137209723999245,0,0,0,0,0,0,0,0,0,0.136641278599938,0,0,0,0,0,0,0,0,0,0.123243236264047,0,0,0,0,0,0,0,0,0.0190539941749362,0,0,0,0,0,0,0
X600585.SH,0,0,0.245348265053316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814058062602898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170107680944264,0,0,0,0,0,0.197290210781369,0,0,0.0741484238480431,0,0,0,0,0,0.0508927481299328,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365322451439132,0.0146526461521273,0,0,0,0,0,0,0.355282886319069,0,0,0,0,-0.0723144800001688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006046159300942,-0.0100291612978529,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680083571932057,0,0,0,0,0,0,0,0.13858286251939,0,0,0,0.0459385288962556,0,0,0.0974730619200147,0,0,0,0,0,0.0798894709265632,0,0,0,0.0337490886916405,0,0,0,0,0,0,0,0.114442002675297,0.0603665456948412,0,0.0050942797864259,0.0264422358731851,0,0,0,0,0,0
X600188.SH,0,0,0.234351284179802,0.227203151312258,0,0,0,0,0,0.225645025373336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243958449338314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260136253811897,0,0,0,0,0,0.155450531372894,0.247292998002292,0,-0.0246371342475113,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0364789252795954,0,0,0,0,0,0,0,0,0,0,0,0.0205188190315227,0.020878158539717,0,0.0562495210657,0,0,0.0727215517776661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664692625554336,0.0379342323614147,0,0.0677315174492344,0,0,0,0,0,0.00979510790272564,-7.73699264672819e-05,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.531407601156736,0.0864145871176649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167584615875726,-0.0105258801703878,0,0,0,0,0,0
