,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X002460.SZ,X600795.SH,X600111.SH,X600362.SH,X002466.SZ,X600489.SH,X000708.SZ,X600803.SH,X000301.SZ,X600160.SH,X600027.SH,X601991.SH,X000786.SZ,X000807.SZ,X600426.SH,X000983.SZ,X600219.SH,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X000630.SZ,X600176.SH,X600096.SH,X601168.SH,X600985.SH,X002353.SZ,X000933.SZ,X600157.SH,X600378.SH,X600352.SH,X002271.SZ,X300037.SZ,X000831.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.501923069676599,0,0,0,0,0.0560968759244473,0,0,0,0,0,0,0.101816879182302,0.033438117481589,0,0,0,0,0.0853336425227595,0,0.0410390611040695,0,0,0,0,0,0,0,0,0,0,0.104168512803388,0,0,2.16840434497101e-19,0,0,0,0,0.0380143379027991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149741012860935,0,0
X601088.SH,0,0,0,0,0.346387204932024,0,0,0,0,0.0343664609198222,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131021514307406,0,0,0,0,0,-0.00106457152865426,-0.0380208546643426,0,0,0,-0.0043171028710304,0,0,-2.16840434497101e-19,0,-0.0274955030203393,0,0
X600028.SH,0.619596956533325,0,0,0,0.0689044827129885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228116040731749,0,0,0,0.0674673588861044,0,0,0.0601994689574431,0,0,0,0,0,0,-0.0786098530440592,0.0675382624998883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471911201127247,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784508143679919,0,0,0,0,0,0.126098625309748,0.0559875697377988,0,0,0,0,0,0,0.103386364355046,0,0,0,0,0,0.0624437130004469,0.132118216624976,0.107601360609695,0,0,0,0,0,0,0,0,0.00665297713073058,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,-3.46944695195361e-18,0.116374399045041,0.301520715844529,0,0,0,0,0,0.0666198221286183,0,0,0,0,0,0,0,0,0,0,0,0.00261574773700441,0.0773009612639503,0.136845678416984,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699395135479605,0,-0.0174893335956599,0,0
X600188.SH,0,0,0,0,0.214606002675437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410880430425763,0,0,0,0,0,0.0540621388361772,0,0,0,0,0,0,0,0,0.398453206657766,0,0,0,0,0,0,0,0,0,0.208234682546318,0,0,0,0,0,0,0,0,0.0910183939084531,0,0,-0.0146731049122531,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294705998739498,0,0.0428114306223039,0.131520215919886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422342271045698,0,0,0,0,0,0,-0.00755350996127404,0.280960275699539,0,0,0,-0.0115613779644473,0,0,0,0,0,0,0
X600019.SH,0.228576701878479,0,0,0,0,0,0,0,0,0.205399767147274,0,0,0,0,0.0176276994106292,0,0,0,0,0,0,0,0.139162185485409,0.0857863754398932,0,0,0,0,0,0,0,0,0,0,0,0.0912725674550808,0,0,0,0,0,0,0,0.0573477768270231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.221378522234503,0,0,0,0,0,0,0,0,0.0814776262189056,0,0,0,0,0,0.00413521707799296,0,0.0176240796064485,0,0,0,0,0.230870670330159,0.0359164076327083,0,0,0,0,0,0,0,0.254343539350018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373744830963958,0,0
X601600.SH,0,0.0403555405388878,0,0,0,0,0,0.194055555400188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170228122735709,0,0,0.38652680604948,0,0.0475074551365751,0,0,0,0,0,0.458917841522628,0,0,0,0,0,0,-0.115861629371642,0,0,0,0,0,-0.089006189493569,0,0,0,0.00192051077843144,0,0
