,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600795.SH,X601600.SH,X600585.SH,X600010.SH,X601898.SH,X601991.SH,X600688.SH,X600111.SH,X600362.SH,X600886.SH,X600027.SH,X600188.SH,X600021.SH,X600157.SH,X000883.SZ,X600583.SH,X601992.SH,X600309.SH,X000709.SZ,X601158.SH,X600352.SH,X000898.SZ,X000539.SZ,X600489.SH,X600547.SH,X000792.SZ,X000629.SZ,X000825.SZ,X600808.SH,X002470.SZ,X000027.SZ,X600660.SH,X000060.SZ,X002353.SZ,X600549.SH,X600008.SH,X000831.SZ,X600863.SH,X600578.SH,X000959.SZ,X000630.SZ,X600307.SH,X000012.SZ,X600219.SH,X002075.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.404604567260567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.137525391215449,0.0304600813206262,0,0,0.0327906078846914,0,0,0,0,0,0,0.0075009546570008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576562756486416,0,0,0,0,0,0
X600028.SH,0.585032833110583,0,0,0,0.0612822152779544,0.016009289532113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139670061999152,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.290968903390098,0,0.22829541925788,0,0,0,0,0,0,0.0492909097741979,-0.00783913948274723,0,0,0.0362504920971412,1.73472347597681e-18,0,0,0,0,0.131063440677461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180410757132056,0,0,0,0,0,0,0,0,0,-0.00520461887776345,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0148187675165184,0,0,0,0,0.0219248150367442,0.0919319010806063,0,0,0,0,0.103473773391647,0,0.106012603233112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204287595640971,0,0,0,0,0,0,0,0,0,0,0.12787858305244,0,0,0,0,0,0,0,-0.0127504127305915,0.00563388683636085,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.321711435416817,0,0,0,0,0,0,0,0.0444006788143636,0,0,0,0,0,0.228072750867814,0,0,0.155177187014707,0,0,0,0,0,0,0.0388690757536951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00477906780791978,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0902412340405219,0,0.0607928673578033,0,0.108109540511495,0,0,0,0.121303860976245,0.285487483132519,0,0.0516873325203168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22039416463032,0,0,0,0,0,0,0,0,0,0.026091028446192,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0371445030461518,0.135619878570745,0,0,0,0,0,0,0,0.0967440018237313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03736872379685,0.0472313796465872,0,0,0,0,0,0
X600585.SH,0,0,0.368376850538704,0,0,0,0,0,0,0,0.0197808174218892,-0.0319806507492581,0,0,0.0773323278171909,0,0,0,0.0248653043418174,0,0.0188847188350333,0.0930211489082281,0.0314817177798761,0,0,0,0,0,0,0,0,0,0,0,0.054849963828267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390161187261682,0,-0.00411214283686646,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0318876789102277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198902274184801,0.111674370870632,0,0,0,0,0,0,0,0,0,0.252794094137146,0,0.195958345756645,0,0,0,0.105770740826286,0,-7.9128708369092e-05,0,0.0061961150959665,0.029563335032594,0,0,0,0,0,0
X601898.SH,0,0,0.143354773817166,0,0.10742063706975,0,0.0680282263166727,0,0,0,0.0791895188504616,0,0,0,0,0,0.0586885606915916,0,0,0,0,0,0,0,0,0,0.0732133364629774,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485864282646533,0,0,0,0,0,0
X601991.SH,0,0,0,0.416795793001421,0,0.00683421649353052,0,0,0,0.204729591929648,0,0,0,0,0,0,0,0.132684786215487,0,0,0.0378515379745498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929813778482825,0,0,0,0,0,0,0,-0.0236349842452419,0,0,0,0,0,0,0
X600688.SH,0,0.138034112820307,0,0,0.0109168730160203,0,0,0,0,0.118865006240875,0,0,0,0,0,0,0,-0.0554617344006004,0.0482107844960401,0,0,0,0,0,0.347086288763945,0,0,0,0,0.0775237939434073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418543463539079,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.145766075564405,0,0,0,0,0,0,0,0.114346835763472,0,0,0,0.0238773973965852,0,0,0,0,0,0,0,0,0,0.0378521524935829,0.0190362861185784,0.0434263430721102,0,0,0,0,0.00131780592950329,0,0,0,0.25184012656352,0,0,0,0,0,0,0.0382416264290808,0,0,-0.0126587519703696,0.00161799550743486,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0.071791857748949,0,0,0,0,0,0,0,0,0,0.0235363240115806,0,0,0,0,0.0530393202611756,0,0,0,0.0341517694655038,0,0,0,0,0,0,0.113555915726821,0,0,0,0,0.148219293335374,0,0,0.00592799738884633,0,0,0,0,0,0,0,0.055333711061063,0,0,0,0.0201801105127546,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0.0876601180250918,0,0,0.468034207830814,0,0,0,0,0.1500518530049,0,0,0,0,0,0.0441004434191305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167485366445497,0,0,0,0,0,0,0,-0.0079357022558769,0.00503758855632653,0,0,0,0,0,0
X600027.SH,0,0,0,0.0802824454934967,0,0.220263337396147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518703566535489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308119086183504,0,0,0,0,0,0,0,-0.0237953554117801,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0.0444337998640863,0,0.0232234066619698,0.225807335417621,0,0,0,0,0,0,0,0,0,0,0.0506159285843496,0,0,0.0405945730591031,0,0,0,0.188268233935819,0.0504430279577686,0.211065095103863,0,0,0.00713580104536079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
