,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X600886.SH,X600489.SH,X601992.SH,X600309.SH,X600660.SH,X600299.SH,X600623.SH,X002466.SZ,X000792.SZ,X000709.SZ,X002075.SZ,X601158.SH,X000723.SZ,X000898.SZ,X600583.SH,X000883.SZ,X000983.SZ,X000408.SZ,X600352.SH,X600549.SH,X000959.SZ,X000027.SZ,X000539.SZ,X600176.SH,X002470.SZ,X000060.SZ,X600021.SH,X000630.SZ,X000012.SZ,X601699.SH,X002460.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0632269862741986,-0.00937105284054207,0.0204668030751815,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00818713825053506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423976962603493,0,0,0,0,0.0125886709635399,0,0,0,0,0.0376027366286204,0,0,0,0.00846843733411914,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0.0281812960186853,0,0,0.0250340986525944,0,0,0,0,0,0,-0.0399212728525351,0,0,0,0,0.023325094372199,0,0,0,0,0,0,0,0,0,0.0766220703902289,0,0,0.0453510378988395,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114167413059194,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.15613212454014,0,0.0680662521205136,0,0,0,0,0,0,0,0.0568890637772979,0,0,0,0,0,0,0,0.0621796876676516,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0943746538661746,0.00719643188963505,0,0,0.0529480366977536,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0313061865102935,0,0,0.106035437496191,0,0,0.0243520180709304,0,0,0,0,0,0,0,0,0,0,0,0,0.0280447460281154,0.0511289147959878,0,0,0,0,0,0,0,0,0.0705982521262118,0.0544140418736773,0.106795662459115,0,0,0,-0.0539301113342348,0,0,0,0,0,0,0,0,-0.00851875232110059,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,-0.0188347761699412,0,0,0,0,0,0,0,0,0.154206395597991,0,0,0,0,0,0,0.00842408405458211,0,0,0,0,0,0,0,0,0,0.095347289702404,0,0,0.0982111568197727,0,0,0,0,0,0,0,0,0.0381006427122448,0.0414217926687073,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,-0.00145711994319173,0.133154932115494,0,0,0,0,0,0,0,0,0,0,0.115368083716122,0,0.151648837483054,0,0.134399394616247,0,0,0,-0.110436651106686,0,0,0,0,0,0,0,0,0.0983757378270499,0,0,0,0,0,0,0,0,0,0,0,0,0.0216021833954917,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,-0.0320941886631378,0,0,0,0,0,0,0,0,0,0,-0.0450773354203109,0,0.02985024829542,0,0,0.00920146562346457,0,0,0,0.00028152726885006,0,0,0,0,0,0,0,0,0.0249531709384132,0,0,0,0,0,0,0,0,0,0,0,0,-0.0663120282898721,0.00845297141585977,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796322812407999,0,0,0,0,0,0,0,0,0,0.0847748358252455,0,0,0,0,0,0,0,0,0,0,0,0,0.360568205342992,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.126128183153594,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419345468250127,0,0,0,0,0.0414948846047792,0.0168530192653079,0,0,0.0230199185511109,0,0,0,0,0,0.167509725083287,0,0,0,0,0,0,0,0.0946297384272377,0,0,0,0,0,0.0730544035360443,0,-0.00512478149657052,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534374231777517,0,0.118550681885265,0,0,0,0,0,0,0,0,0,0,0,0,-0.175997949996794,0,0,0,0,0,0,-0.170979920379979,0.165905755522883,0,0,0,0,0,-0.00893874768032107,0,0.0291020356515337,0.0553333854972973,0,0,0,0,0,0
