,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600886.SH,X600585.SH,X600660.SH,X600011.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600803.SH,X600027.SH,X002460.SZ,X601991.SH,X000301.SZ,X600160.SH,X600426.SH,X000983.SZ,X002466.SZ,X601699.SH,X000786.SZ,X600219.SH,X600176.SH,X002128.SZ,X000807.SZ,X000630.SZ,X600985.SH,X000877.SZ,X600096.SH,X601168.SH,X000933.SZ,X000408.SZ,X000883.SZ,X000027.SZ,X002353.SZ,X600995.SH,X600378.SH,X000932.SZ,X600688.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.118401770566268,0,0,0,0.181908028964764,0,0,0.120541324588481,0,0,0,0.0246190167629267,0,0,0.0557739672608907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839319847795052,0,0,0,0,0,0.147369430545417,0.0375129569722911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525379172690532,0,0
X600028.SH,0.407064316549151,0,0.184976940527553,0,0.00203891323526176,0,0.116659283176455,0,0,0,0,0,0,0,0,-0.0124489845785623,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271043283872766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808605945102744,0,0,0,-0.0162000188792489,0,0,0,0.0461707081545516,0,0,0,0,0,0.0304357673431298,0,0
X601088.SH,0,0.360794417978576,0,0,0,0.258988229898261,0.00841425841767168,0,0,0,0.0386731568873563,0,0.0287947029861071,0,0,0,0,0,0,0,0.0725867417686259,0,-0.059742792778959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011413457154993,0,0,0,-0.0218483971975189,0,0,0,0,0.0295612985030288,0,0,0,0,0,0,0
X600309.SH,-0.0440104240984399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0986661648638011,0,0,0,0,0.169374060182864,0,0,0,0,0,0,0.336463003573423,0,0,0,0.0837942418732616,0,0,0.00771225664073011,0,0,0,0,0,0.0769667824955777,0,0,0,0,0,-0.0518364814331768,0,0,0,-0.0243649880157111,0,0
X601898.SH,0,0,0,0,0,0.141931588929088,0,0,0.111566975074236,0,0,0,0.195363217223196,0,0,0,0,0,0,0,0,0.0587704202215558,0,0,0,0,0,0,0,0.210149863147375,0,0,0,0.0340738033943128,0,0,0,0,0,0.00263057591739574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235936675112488,0,0
X600188.SH,0,0,0,0,0.12494520095793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108845116589697,0,0.364617360587783,0,0,0,0,0,0,0.302611050867349,-0.0184911256890687,0,0,0,0,0,0,-0.0274201464541758,0,-0.0387471425332755,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.33360726497738,0,0,0,0,0,0,0,0,0,0.0275922464408427,0.0954904629086736,0,0,0,0,0,0,0.234191439556875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748401280487348,0,0,0,0,-0.0304015233862656,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63406797232322,0,0,0.18089384083197,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.00156640946895501,0,0,0,0,0,0,0,0,0.12807212808106,0,0,-0.0104777005352638,0,0,0,0,0,0,-0.277056352626719,0.117070578706171,-0.0399391116558468,0,0,0,0,0.0317014111641188,0,0
X600886.SH,0.10292200753727,0,0,0,0,0,0,0,0,0,-0.0464852257165891,0,0,0.306062657874497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23859516414008,0,0,0,0,0,0,0,0,-0.0328724792134611,0.11841567514163,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0428858341095429,0,0,-0.0221837805016566,0,0
X600585.SH,0,0,0,0.096053038684191,0,0,0,0,0,0,0,0,0,0,0.15202451863833,0.0507714159695083,0,0,0,0,0,0,0,0,0,-0.0372827975263474,0,0,0.108597321539459,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0692681617586747,0,0,0,0,0,0,0,0,0,0,0,0,0.0224952096276458,0,0,0,0,0,0,0
