,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X600011.SH,X002466.SZ,X000792.SZ,X601898.SH,X000708.SZ,X600111.SH,X000301.SZ,X601600.SH,X600660.SH,X600010.SH,X002271.SZ,X600547.SH,X000877.SZ,X600886.SH,X600426.SH,X600795.SH,X600362.SH,X601699.SH,X000983.SZ,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X600160.SH,X000786.SZ,X600995.SH,X000807.SZ,X000629.SZ,X600489.SH,X000408.SZ,X600096.SH,X600219.SH,X600378.SH,X000933.SZ,X000932.SZ,X000723.SZ,X002080.SZ,X600141.SH,X600688.SH,X600348.SH,X000831.SZ,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.108864969117762,0,0,-0.0282876850893289,0.166847906814167,0,0,0.0353292518725562,0,0,0,0,0.014475402978502,0,0,0,0,0.00881235455847622,0,0,0,0,0,0,0,0,0,-0.00207534187642284,0,0,0,0,0,0,0,0.128910140418314,0,0,0,0,-0.0123206199302368,0.0149240041424284,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0330602023710332,0,0,-0.00465057242339281,0,-3.46944695195361e-18,0,0,0,0.111054047747485,0,0,0.067419730550889,0,0,0.107466864946666,0,0,0,0,0,0,0,0,0.112129948379289,0,0,0,0,0,0,0,0,0,-0.0624599209562612,0,0.0877847957839319,0,0.0123390297073968,-0.0163075107016006,0,0,0,0,0.049296703727339,-0.0152869438424881,0.0149671631634772,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.071887252652035,0,0,0,0.0826800040149289,-0.0369290616310202,0,0.133040662949838,0,0,-0.0198840645427266,0,0,0,0.0197235624910589,0,0,0.0203047626231441,0,0,0,0.104461952004696,0,0,0,0,0,-0.0364463891574691,0.0988080533947649,0,0,0,0,0,0,0,-0.0288638256402572,0.0613582312461631,0,0,0,0,0,0,0,0,0,-0.0175656133669603,0.0152728700838541,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237662102562949,0,0,0.0406590053063801,0,0,0.00857169339732015,0,0.272396246929946,0,0,0,0,0,0,0,0,0,0,0,0,0.0517314812092169,0,0,0,0,0,0,0.221603691998961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522245398812486,0,0,0,0,0.239154033503035,0,3.46944695195361e-18,0.182841885217984,0,0,0,0,0,0.0362512189855994,0,0.0335206650921594,0,0,0,0,0,0,0.218171809787838,0,0,0,0,0,0.147082068219947,0,0,0,0,-0.00717819736417131,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523772545110158,0,0.345294942776137,0,0,0,0.054485663071309,0,0.0238288520190251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00658125056332985,0,0,0,0,0,0,0,0.205138906024389,0,-0.00749287260189363,0.0173592555882238,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372165990542045,0,0,0,0,0,0.0121989727574773,0,0,-0.0215310054554683,0,0.0325407617019738,0,0.281096166598,0,0,0,0,0.114808778064809,0,0,0,0,0,0,0,0,0,0.102289662821136,0,0,0,0,0,0,0.103246271232826,0,0,0.000939498628513793,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0212938246214274,0,0,0,0,0.588322254322612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037648964660323,0,0,0,0,0,-0.0290771949615728,0,0,0,0,0.18708633897447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045967853580285,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551375775546464,0,0,0,0,0.578770784264332,0.11771129709898,0,0,0.0623723128264882,0,0,-0.119120901107883,0,0,-0.000966613022309134,0,0.0843883861603348,0,0,0,0,0,0,0,0,0,0,-0.0235182159231384,0.0402877214272459,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.509405584980963,0,0,0,0,0,0.0759176375675797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823584623122136,0,0,0,0,0,0.0496848742753904,0,0,0,0.123615845941824,0,0,0,0,-0.0534455495386127,-0.0037777117954795,-8.67361737988404e-19,0.00529953595152658,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0218556039582424,0,0,0,0,0.0213417332277975,0.177144310410407,0,0,0,0,0,0,0,0,0,0,0.0458338507248433,0,0.0859047157297027,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265233085144005,0.0110261467423567,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.307257501732272,0,0,0,0,0,0,0,0,0,0.0231697468602284,0.0750834275881103,0,0,0,0,0,0,0,0,0,0.0752366235173126,0.0790580878714785,0,0.0893132122996667,0,0.03237355329771,0,0,0,0,0.101936156619455,0,0,0,0,0,0.0400143564256478,0,0,0,0,0,0.0530400532429495,0,0,0.0380888046956602,0,-0.00428837533461117,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.0558487930651317,0,0,0,0,0,0,0,0,0.00454486105755818,0,0,0.015469133626116,0,0.147196891665274,0,0,0,0,0,0,0,0.0377554557383211,0,0,0,0.0294200640736408,0,0,0,0,0,0.0447595019942281,0,0,0,0,0,0,0,0,0,0.0884844662440201,0,0,0,0.0146304390261627,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159093915974368,0.107226685159252,0,0,0,0.00135829127739667,0,0,0,0,0.0596972506930865,0,0,0,0,0.0882900489372471,0,0,0,0,0,0,0,0,0.0665519882131408,0,0,0,0,0,0,0,0,0,0.466194907940966,0,0,-0.0142372998774918,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0.184584706049574,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0571599428585368,0,0.0133240996302756,0,0,0,0,0,0,0,0,0,-0.0106549239791696,0,0.0731660329177816,0.110003016091457,0,0,0.371831370381661,0,0,0,0,0,0.145753289008494,0,0,0.21122436242975,-0.066067388995032,0,-0.307805638005002,0.0395968314956574,0.0122127807120163,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946844999537352,0,0,0,0,0,0.282751933402288,0,0,0,0,0,0,0,0,0,0,0.134652604534837,0,0,0.0497411637766633,0,-0.0867943203852867,0.212807198437827,0,0,0,0,0,0,0.0765463184487105,0,0,0,0,0,0,0,0,0,0
