,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X601898.SH,X600547.SH,X601600.SH,X600111.SH,X600660.SH,X600886.SH,X600010.SH,X000301.SZ,X000708.SZ,X000877.SZ,X002271.SZ,X600362.SH,X600795.SH,X600426.SH,X600803.SH,X600027.SH,X600176.SH,X601991.SH,X601699.SH,X600489.SH,X000983.SZ,X000807.SZ,X600160.SH,X600995.SH,X000786.SZ,X600219.SH,X000933.SZ,X000629.SZ,X300037.SZ,X600378.SH,X000932.SZ,X600688.SH,X000408.SZ,X000723.SZ,X000630.SZ,X002080.SZ,X600096.SH,X600352.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.233596659404851,0,0,0,0.00418224349014003,0,0,0,0,0,0,0,0.0971373585149789,0,0,0,0,0,0,0,0.0112005551869216,0.0549590555306119,0,0,0,-0.0408475758173316,0,0,0,0,0,0,0,0,0.113883406196137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660071124565705,-0.0653521278034553,0,0,0,0,0,0
X600028.SH,0.46881836051107,0,0.104528397111609,0,-0.115582625903096,0,0,0,0,0,0,0.106004638715356,0,0,0,0,0,0,0,0,0,0,0,0,0.0911562314389809,0,0,0,0.0579997212325133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194418414437162,-0.0516054457704607,0,0,0,0,0,0
X601088.SH,0,0.0098996048017099,0,0,0,0,0,0,0,0,0,0.0944233964612664,0,0.155533227426922,0,0,0,0,0,0,0,0.0129081957592378,0,0,0,0,0.0416146249760943,0,0,0.114440687484386,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.044364921238655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161583961455742,0,0,0,0,0,0,0.00402470310290789,0.0171691986290793,0.0293007290705638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650749737935847,0,0,0,0,0,0,0
X600188.SH,0,0,0.566481673763278,-0.047596343395457,0,0,0,0,0,0,0,0.0183305588232136,0,0,0,-0.37782981625015,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0494261619218841,0,0.186812189937364,0.0379819830338598,0,0,0,0,0.199476978309721,0,0.0415511400602585,0,-0.0192175955516328,0,0,0,0,-0.0803399126062394,0,0,0,0,-0.0284056031800045,0,0,0,0,0,0,0
X600019.SH,0.301721673994282,0,0,0,0.0913283672973648,0,0,0,0,0,0,0.0112625812022963,0,0.0831613448420203,0,0,0,0,0,0.159568667765738,0.135190500487951,0,0,0,0,0,0,0.00383806698177067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618041243129483,0,0,0,0,0,0,0,0,0,0.0150913945890031,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181463260526398,0.0284789437887668,0,0,0,0,0,0,0.414571201799721,0.147219265294294,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.0130819193752983,0.0304378207800933,0,0,0,0,0,0,0,-0.0196022455913405,0,0.0832552970840089,0,0,0.00748492584473831,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0388617442687507,0,0,0,0,0,0,0,0,-0.0443521550160986,0,0,0,0,0,0.490246324891327,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.095536737138292,0,0,0,0,0,0.0384382006019083,0,0,0,0.0786579558485215,0.00585879360852574,0,0,0,0,0,0,0
X002460.SZ,-0.0489579911062967,0,0,0,0.0228721345795017,0,0,0,0,0.691645748172946,0,0,-0.0393438646192294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00235622286888855,0,0,0.0689116891927027,0,0,-0.115234193695419,0,0,0,0,0,0,0,0.0688032935372049,0,0,0.0167743904106239,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.445451857579023,0,0,0,0,0,0.0142189540454111,0,0,0,0,0.121101038675258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012339070351294,0,0,0,0,0,0,0.0136417296037105,0,0,0,0,0,0.124624203747232,0,0,0,0,-0.0123254006344652,-0.0018289691632654,0,0,0,0,0,0
