,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600111.SH,X600019.SH,X002466.SZ,X600011.SH,X000877.SZ,X600010.SH,X601600.SH,X002271.SZ,X600660.SH,X000708.SZ,X000301.SZ,X601898.SH,X600547.SH,X600362.SH,X600426.SH,X600886.SH,X600176.SH,X000723.SZ,X600219.SH,X000408.SZ,X601991.SH,X600803.SH,X000807.SZ,X000786.SZ,X600795.SH,X002080.SZ,X600096.SH,X601699.SH,X000983.SZ,X600688.SH,X600141.SH,X002353.SZ,X600801.SH,X000959.SZ,X601168.SH,X000960.SZ,X600489.SH,X000825.SZ,X000630.SZ,X300073.SZ,X600027.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0369743014492449,0,0,0,0,0,0,0,0,0,0,0,0.134232740629389,0,0,0,0,0,0,0,-0.0263926443118975,0,0,0.11053753677449,0,0,0,0,0,0,0,0,0,0.138614099606483,0,0,0,0,0,0,0,0,0,0,-0.00268809965097665,-0.0112838391513702,0,0,0,0.0329819926263043,0,0
X600028.SH,0.214045022332697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020898646632413,0,0,0,0,0,0.0830252023298945,0,-0.00245036381509869,0,0.0331365953115522,0,0,0,0,0,0.00268225785857198,0,0,0,0,-0.00894387271497254,8.67361737988404e-19,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0741504831016314,0,0,0,0,0,0,0,0,0,0,-0.0855910621165946,0,0,0,0,0,0,0,0,0,-0.0116308925892856,0,0,0,0,0,0,0.151494597783239,0.260318322311793,0,0,0,0,0,0,0,0,0,0,0,-0.0215213745295762,0,0,-0.00655208470690058,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.00572556200903998,0,0,0,0.0697462430977068,0,0,0,0,0,0,0,0,0,0.0220200537981893,0,0.0582169772250848,0,0.128444707842552,0,0,0,0.00330414019003593,0,0.0139074639552289,0,0,0,0,0,0,0.0937002024812604,0,0,0,0,0,0,0,0,0,-0.00927556815060057,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0992613886445897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120112675737706,0,0,0,0,0,0,0,0,0.388722637685244,0,0,0,0,0.0450631303938078,0,0,0,0,0,-0.00728095013011187,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.345363148917147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0984488298213118,0.0636609996717259,0.129690904387409,0,0,0,0,0,0.0207643632736647,0,0,0,0,0.0882420985280531,0,0,0,0.125728009877404,0,0,0,0,0.0688066127307667,0,0,0,0,0,0,0,0,-0.0111932228315821,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.246614670304987,0,0.413073868437149,0,0,0,0,0,0,0,0,-0.0766140856058473,0,0,0,0,0,0.10127022597044,0,0,0,0,0,-0.0484726087778847,0,0,0.069077682396338,-0.065232387750323,0,0,0,0,0,0,0,0,0,-0.22237093508669,0,0,0.025274125047831,0,0,0,0,0,0,0,-0.00717037370217375,0,0
X600188.SH,0,0,0.210738923169683,0,0,0,0,0,0,0,0,0.133039084980182,0,-0.155633588225378,0,0,0,0,0,0.173672205425973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241062483787711,0.101668056201639,0,0,0,0,0,0.203126163768122,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0556059649344517,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.000208964728523392,0.0886133864203576,0.00938884670897725,0,0,0.0913713595518143,0,0,0.141679291282798,0,0,0,0.117885999247993,0,0,0,0,0,0,0,0,0,0.0352172194193814,0,0,0.122188199563307,0,0,0,0,0,0.0542692747609977,0,0.193830058395772,0,0,0,0.0383640062452644,0,0,0,0,0,0,0,0,0.021494127012785,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244422920959052,0,0,0,0,0,0,0,0,0.04846598218267,0.120224160733567,0.0564643527570433,0.0157912498409565,0,0.190995051108633,0,0,0.0533879303485674,0.241358250224541,0,0,0,0,0,0,0,0,0
