,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600362.SH,X601992.SH,X600157.SH,X600111.SH,X600188.SH,X600299.SH,X600623.SH,X601158.SH,X002466.SZ,X600352.SH,X600583.SH,X000027.SZ,X000539.SZ,X600660.SH,X600309.SH,X000792.SZ,X000630.SZ,X600160.SH,X600098.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X000060.SZ,X002470.SZ,X600547.SH,X600489.SH,X600578.SH,X002004.SZ,X600315.SH,X600863.SH,X000629.SZ,X300072.SZ,X600022.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.22864753460102,0,0,0,0,0,0,0,0,0,0.0161075248851838,0,0.0448558230287221,0,0,0,0,0,0,0,0,0,0,0.153739703927846,0,0,0,0,0,0,0,0,0,0.0897306261316325,0,0,0.0953830842329606,0,0,0,0,0,0,0,0,0,0,0,0,0.0041260269700612,0,0,0,0,0,0,0
X600028.SH,0.112196059030266,0,0,0,0,0,0,0,0,0,0,0.142058162377157,0,0,0.0040683989829187,0,0,0,0.0749076481095773,0,0,0,0.0123649378244221,0,0.060860926352566,0,0,0,0,0,0,0,0,0,0.0516117678468338,0,0,0.0174688826258987,0,0,0,0,0,0,0,0,0,0,0,0,0.0134246125317891,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0573444420918781,0.24991074495064,0,0,0,0,0,0,0,0.0290812096445298,0,0,0.0728319751556656,0,0,0,0,0,0,0,0,0,0,0.0174763313581467,0,0,0,0,0.113402583986072,0,0,0.0568886452322877,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115034012516671,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223557832838658,0,0.0484227661821432,0.157281344644586,0,0,0,0,0,0,0,0,0,0.069660472724364,0,0,0,0.0863474972472874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000715163684092533,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345308082860999,0,0.0669488893172571,0,0,0,0.0116034158719928,0,0,0,0,0,0,0,0,0,0,0,0.173483426630929,0,0,0.259554861595683,0,0,0,0,0.0841850829605822,0,0,0,0,0,0,0,-0.0183523024860253,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0103366433580595,0,0,0,0,0,0,0,0.138263978096049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252340778899586,0,0.0597962611630587,0.0420411165891869,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.00540968478597793,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614762592820653,0,0.064415945719523,0.0450890585404184,0,0,0.171761277329174,0,0,0,0,0,0,0,0,0,0.0344370407328404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180421369403973,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863831360637846,0.143149490960146,0.0729021993106032,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0222407077509023,0,0,0,0.0500129112384325,0,0.0150016561976268,0,0,0.107919211738672,0,0.0826755784430732,0.159810138915887,0,0,0,0,0,0,0,0,0,0,0,0,-0.00327472791591113,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131940488721476,0,0,0,0,0,0,0.00415764504028864,0.0229795137493624,0,0,0,0,0,0,0,0.019683027112221,0,0,0,0,0.21705413328148,0.0318445310720024,0,0,0,0,0,0,0,0,0,0,0,0,-0.00945864622253237,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230192491270788,0.0316872323192059,0.0641112956956051,0,0.00905009242915864,0,0,0,0,0,0,0,0,0,0,0,0,0.00376905517250612,0,0,0.216946895528402,0,0,0.17495569988943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.143387191452317,0,0,0,0,0,0,0,0,0,0.0815070757886834,0.127899727540211,0,0,0,0,0,0,0,0,0,0.0246192714080125,0,0,0.00999033421334732,0,0,0.105325761956729,0,0,0.026790212027834,0,0,0,0,0,0,0,0,0,0,0,0,-0.00184609745404753,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124606745110238,0,0,0,0,0.0767370659046182,0.0331253815368694,0,0,0,0.298647855338926,0,0,0,0,0,0.078564572706423,0,0.0322481341712407,0,0,0.107978926833767,0,0,0,0,0,0,0,0,0,0,0.143243789825145,0,0,0,0,0,0,0,0,0
