,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X002460.SZ,X600011.SH,X002466.SZ,X000792.SZ,X600547.SH,X601898.SH,X601600.SH,X600111.SH,X000708.SZ,X600660.SH,X000301.SZ,X600010.SH,X600886.SH,X002271.SZ,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600803.SH,X600176.SH,X601699.SH,X600027.SH,X600489.SH,X000983.SZ,X601991.SH,X000807.SZ,X600160.SH,X600995.SH,X000786.SZ,X000933.SZ,X000629.SZ,X002080.SZ,X600219.SH,X300037.SZ,X000932.SZ,X000723.SZ,X600688.SH,X000408.SZ,X600378.SH,X600096.SH,X000831.SZ,X000630.SZ,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.260197440967544,0,0,0,0.0706503641483263,0,0,0,0,0,0,0,0.0385044214448678,0,0,0,0,0,0,0.0309790249999613,0,0.140853118335193,0,0,0,0.0664305474470701,0.0122384703447102,0,0,8.67361737988404e-19,0,0,0,0,0.0552427769833738,0,0,0,0,0,0,0,0,0,0,-0.00510688048467606,0,0,0,0,0.039529739932418,-0.0342484735518541,0,0,0,0,0,0
X600028.SH,0.357901988346643,0,0.185660859853432,-3.46944695195361e-18,-0.0375222200513459,0,0,0,0,0,0,0,0.125747426298876,0.0279949240662432,0,0,0,0,0,0,0,0,0,0.0707360550248864,0,0,0,0,0,0,0,0,0,0,0,-0.00590261204650611,0,0,0,0,0,0.118603275018088,0,0,0,0.0844467096448588,0,0,0,0.149091188280822,0,0.0368532322721189,-0.0503950004556821,0,0,0,0,0,0
X601088.SH,0,0.0294848671021467,0,0,0,0,0,0,0.0196493138018596,0,0,0,0.115018405419696,0.127201968378255,0,0,0,0,0,0,0.0138750270936217,0,0,0,0.0303578386709107,1.73472347597681e-18,0,0.115469627493137,0.0174404433990582,0,0,0.0256304756061413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287943257101001,0,0,-0.00495709869325254,0,0,0,0,0,0,0
X600309.SH,0.0554384172205964,0,0,0,0.0406321554346144,0,0,0.0154768968226283,-0.0090565870536111,0,0,-0.0455893256518771,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.232042846432747,0,0,0,0,0,0,0,0,0,0,0,0,0.0901622107854956,0,0.0600505152322381,0,0,0,0,0,0,0,0,0,0,0.0389028872829429,0,0,0.0114150813478258,0,0,0,0,0,0
X600188.SH,0,0,0.446471633107305,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.461180309023821,0,0,0,0.0355797163229238,0,0,0,0,0,0,0.0841456191600564,0,0,0.144459579008474,0,0.087778027706878,0,0,0,0.181218556248637,0,-0.0232936684555683,0,0,-0.0593812726746846,0,0,0,0,0,0,0,0,0,-0.0189337015049781,0.00917086572070199,0,0,0,0,0,0
X600019.SH,0.279801467987769,0,0,0,0.0653790312777508,0,0,0,0,0,0,0,0,0,0,0.0105250739248995,0,0.0824016805303677,0,0,0,0.349236947558662,0,0,0,0,0.032796519699411,0,0,0,0,0,0,0,0,0,0,0,-0.0408261457933418,0,0,0.106757493575956,0,0,0,0,0,0,0,0,0,0.0177415797990928,-0.0215607354310964,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366756271239906,0,0,0,0.0620074224870973,0,0,0.13597688880166,0.425631813664252,0,0,0,0,0,0,0.0378416892691808,0,0.0315625872514841,0,0,0,0,0,0.0418739017520443,0.00527742826256794,0,0,0,0,0,0,0,0,0,0,0,0.0277459440721842,0,0,0,0,0,0,0,0,0
X002460.SZ,-0.135772191159249,0,0,0,0.0831891432294019,0,0,0,0,0.645647197162725,0,-0.0592656620652753,0,0,0,0,0.0308696097173537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661097831513546,0,0,-0.0620577537970069,0,0,0.0585706237591745,0,0,0,0,0,0.0392311633462969,0,0,0,0,0,0,0.00516973438004956,1.0842021724855e-19,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0040513292223694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118904548786399,-0.0707175778943561,0,0.419080452594566,0,-0.168343021917671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155684929618754,0,0,0,0,0.0391009699832252,0.00637814164287889,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.51687059949113,0,0,0,0,0,0,0.143952453491439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467109311404023,0,0,0.00532994409023617,0,0.0194106975779281,-0.0338915136175052,0,0,0,0.084689837729924,0,0,0,0,-0.048829979572335,-0.0164125902973265,0,0,0,0,0,0,0
