,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X000708.SZ,X002460.SZ,X600547.SH,X600660.SH,X600011.SH,X002271.SZ,X600362.SH,X601600.SH,X000786.SZ,X600886.SH,X601898.SH,X600426.SH,X600176.SH,X600010.SH,X600188.SH,X600111.SH,X600801.SH,X000301.SZ,X600352.SH,X600489.SH,X601991.SH,X600795.SH,X002466.SZ,X600688.SH,X600803.SH,X600027.SH,X600299.SH,X600486.SH,X002353.SZ,X600219.SH,X000932.SZ,X300037.SZ,X601992.SH,X002080.SZ,X601168.SH,X002075.SZ,X000723.SZ,X000898.SZ,X000630.SZ,X000027.SZ,X002409.SZ,X000807.SZ,X000878.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,-0.049322666995404,0.0546406753627384,0.00453160178787066,0,0,0,0,0,0.0225489392255013,0,0,0,0,0,0,0,0,0.0197916856219903,0,0,0,0,-0.00681389221462497,0,0,0,0,0,0.0392592914566378,0,0,0.0143831085998578,0,0,0,0,0.0100707688271756,0,0,0,-0.0081758896088646,-0.00667227653143976,0,0,0,-0.00427311853233967,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0376526418211947,0,0,0,0,0,0,0,0.0250878384390829,0.0211827669345044,0,0.0223557217530547,0,0,0,0,0,0,0,0,0,-0.0113801078676,0,0,0,0,0,0.039527102038512,0,0,0,0,0,0,0,0.0055281227045253,0.0383317221997513,0,0,-0.0132356911823469,0,0,0,0,-0.0166061458549806,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,-0.000390257580153958,0,0,0,0,0,0,0,0,0,0,0.0912013664014556,0,0,0,0,0,0,0,0.0241216986039494,0,0,0,0,0,0,0,0,0,0,0.0574058055424256,0,-0.000427192401734437,0,0,0,0,0,0.0316446102744444,0.0455930381221337,0,0,0.00506459769127776,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0421878690073205,0.035230408818297,0,0.132960921992197,0,-0.00156100154000886,-0.0367279220195021,0,0,0,0,0,0,0.0409812425193339,0,0,0.0267716233248681,0,0,0.0409615805284389,0,0,0,0,0,0,0,0,0,0,-0.0501564009681884,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310806652931458,0,0,0,0.014781786460202,0,0,0,0,0.00645210350387156,0,0
X600309.SH,0,0,0,0,0,0,0.277481808458242,0,0.25494740357853,0,0,0,0,0,0,0,0,0.356226922509863,0,-0.113735782844347,-0.0393717663768179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114075205418674,0.0568025384580977,0,0.047350410121502,0,0,0,0.159954340454672,0,0,0,0,0,0,-0.0200748965307043,0,0,0.0117346177154568,0.00499293432193305,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0250687237295044,0,-0.000470575818793524,0,0,0,0,0,0,0,0,0,0,0,0.127340481542553,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179991127122099,0,0,0,0.0554306119334981,0,0,0.0391781923503212,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0.0302793967349778,0.162211589915011,0,8.67361737988404e-19,0,0,0.0718603223066033,0,0,0,0,0,0,0,0,0,-0.288254003037623,0,0,0,0,0,0,0,0.217974645421537,0,0.0277721544454376,0,0,0.214502480530448,0,0.0360390603777934,0.0774603477778768,-0.0849448906375504,0,-0.018048741362959,0,0,0,0,0.162028621822192,0,0,0,0,0,0,0,0,0,0,0,0.0204809605403828,0,0
X002460.SZ,0,0,0,0,0,0.299796906781238,0,0,0,0,0,0.117735648489464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173066280038691,0,0,0,0,0,0,-0.0611314411120903,0,0.376898966707301,0,0,0.140919792252077,0,0,0,0,0,0,-0.0733242507361406,0.133660937393255,0,0,0,-0.0604232499965764,0,0,0,-0.0197886821591265,0,0
X600547.SH,0,0,0,0,0.0884832995338805,0,0.0326523350029737,0.0732429781720268,0,-0.0371138799858183,0,0.0115365017854838,0,0,0,0,0,0,-0.0321802891075791,0,0,0,0,0,0,0.601680705924155,0,0,0,0,0,0,0,0,0,0,0,0.0461877368250368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000873153075571769,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0198023890754029,0,0,0,0,0,0,0,-0.0839157653488272,0,0,0,0,0.0936062639571736,0,0,0,0,0,0.11195162537031,0,0,0,0,0,0,0.275404028198325,0,0.00503923973643101,0,0,0,0,0,0,-0.11896127009865,0,0.0135259061931117,0,0,0,0.0749324981530928,0,0,0,0.0276518763578348,0,0
