,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600660.SH,X600111.SH,X600547.SH,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X002271.SZ,X000877.SZ,X600886.SH,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X601699.SH,X600803.SH,X601991.SH,X600027.SH,X000983.SZ,X600995.SH,X600160.SH,X000629.SZ,X000786.SZ,X000408.SZ,X600096.SH,X000723.SZ,X600219.SH,X000807.SZ,X002080.SZ,X600489.SH,X600348.SH,X600378.SH,X000933.SZ,X600141.SH,X600157.SH,X600688.SH,X600295.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.450705196890879,0,0,0,0,0,0,0,0.0508602804913824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536261286018476,0,0.133412949653109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00574018364118967,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.390339270954029,0,0,0.00593506494911255,0,0,0,0,0,0,0,0,0,0,0.0319143759382131,0,0,0,0,0,0,0.0848265423904807,0.0190729979060112,0.141589800931235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00460432605913121,0,0,0,0,0,0,0
X600028.SH,0.600094525447564,0,0,0,0.00728247862999346,0,0,0,0,0,0,0,0,0,0,0,0,0.00276231236018246,0,0,0,0,0,0,0,0,0,0.0503702988851147,0.0170006935999319,0,0.00688244857265335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216607743632386,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121002267952006,0,0,0,0,0,0.153774962904846,0,0,0.0949463327087557,0.0831575067752148,0,0.0612322766355114,0,0,0,-0.00738814553902553,0.19737625138168,0,0,0,0,0,0,0,-0.293339392065234,0,0,0,0,0,0,0,0,-0.0034425295377135,0,0,0,0,0,0,0
X600188.SH,0,0.502894970064279,0,0,0,0,0,0,0,0,0.0433858191650421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287379065344702,0,0.113230960726023,0,0,0,0,-0.0524607937308563,0,0,0,0,0,0,0.0582572102831462,0,0.25122221648455,0,0,0,0,0,0,0.0033526444380478,0.0370651480980874,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.424337807979922,0.158494742451037,0,0,0,0,0.0090636696730162,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235646107248613,0,0,0,0,0,0.0402180735780011,0,0,0,8.67361737988404e-19,0,0,0.00448203563938536,0.0762699974684185,0,0,0,0,0.0422093208840212,0,0,0,0,0,0.00703570887373907,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0335601864744155,0,0,0,0.145040547980397,0,0,0,0.044612957256402,0.081202652384191,0,0,0,0,0,-0.0894302202658006,0,0.0705044804160693,0.0217985579182417,0,0,0,0,0.428003576820271,0,0,0,0,0,0,0,0.0421086688206218,0,0,0,0,0,0,0,0,0,-0.0230417242484829,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.448927055570042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620420338864503,0,0,0,0,0,0,0,0,0,0,0.0285050443571036,0,0,0.112167541570247,0,0,0,0,0,0,0,0,0,0,0,0.250586470321345,0,0,0,0,0,-0.0143158013876279,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.126293930686494,0,0.0366315737769148,0,0,0,0,0,0.195795363824999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159657193769966,0,0.13630664742474,0.0852767023205686,0,0,0,0,0,0,0,0,0.110862874308562,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0.189218892589403,0,0,0,0,0,0,0,0,0,0,0.0963042339662516,0,0,0,0,0,0,0.16558810519941,0,0,0,0,0.0829382734621732,0,0,0,0,0,0,0,-0.0415989172022168,0,-0.0403942453945207,0.125290318227646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193032751453985,0,-0.00236159193067364,7.46999586196876e-05,0,0,0,0,0,0
