,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600362.SH,X600547.SH,X600795.SH,X601991.SH,X600309.SH,X300072.SZ,X600188.SH,X600157.SH,X600027.SH,X601992.SH,X600886.SH,X600660.SH,X600111.SH,X000898.SZ,X600489.SH,X000709.SZ,X600339.SH,X600299.SH,X000959.SZ,X601158.SH,X000630.SZ,X600583.SH,X000792.SZ,X002466.SZ,X600219.SH,X600352.SH,X000883.SZ,X000408.SZ,X600098.SH,X000983.SZ,X000825.SZ,X000723.SZ,X002092.SZ,X000539.SZ,X600021.SH,X601699.SH,X000027.SZ,X600623.SH,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.333340150020307,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577826915823477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624715213629767,0,0,0,0,0,0,0.0572836167661315,0,0,-0.00193611455419563,-0.00532435709047737,0,0,0,0,0,0
X600028.SH,0.760274104532639,0,0,0,0,0,0,0,0,0.0815674870913708,0,0,0,0,0,0.0257617162197724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00440762126733141,0,0,0,0,0,0,0,0.00949430771724481,-0.0899866795314782,0.0286433497922328,-0.0108556126920841,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423446018320093,0,0.167648172125967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119411689060973,0,0,0.0258898379395744,0,-0.0254137157308103,0.0161810687213893,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.00901887068511317,0,0,0,0,0,0,-0.0336346704504923,0.308499435456699,0,0,0,0,0,0.195797917018992,0,0,0,0,-0.0931954427219398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935707544486814,0,0.0461295854740839,0,0,-0.0510975668871714,0,0.0134131250340666,-0.0160984018385126,0.0133408594477286,0.0265250093263817,0,0,0,0,0
X600019.SH,0,0,0.0667263343199438,0.111380815572914,0,0,0,0,0,0,0,-0.0838367247218937,0,0,0,-0.0147491609699092,0,0,0,-0.111135039548113,0,0,0,0.235223414461242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0374148234839012,0,0,0,0.0597301320838591,0,0,-0.115930836185181,0,0.00150929452071102,-0.0193029914140202,0.01672883691476,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621799781708726,0,0.0491632665775368,0,0.0699363145303527,0,0,0,0,0,0,0,0,0,0,0,-0.382855887983856,0.0860094211404411,0,0.128731037952038,-0.0042589695418577,0,0,0,0,0,0,0,-0.131372225400681,0,0.00550923604667187,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.00136105492520219,0,0,0,0,0,0,0,0,0,0,0,0,0.169594152104423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407286063504782,0,-8.67361737988404e-19,0,0,0,0,0.00877043053415426,0,0.107464011849906,0.069171362508662,0,-0.0300055456716756,0.0107909642810494,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.00207876229124108,0,0,0,0,0,0.0652573964872937,0,0,0,0,0,0,0,0,0.0255585411686876,0,0,0,0,0.147793574672369,0,0,0,0,0,0,0,0,0,0.00962217589054464,0,0,0,0,0.0921839455664452,0,0,0.168047287481652,0,-0.0147036310821499,0.0069654534282266,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.202194512913052,0,0,0,0,0,0,0,0,0,0,0.208040442158737,0,0,0,0,-0.188374541378788,0,0,0,0.142201449744636,0,0,0,0,0,0,0,0,0,-0.00360992752826292,-0.0788785058584686,0,0,0,0,0,0,0,-0.116918580999093,-0.0349159297493555,0.0180363237000359,0,0,0,0,0,0
X600688.SH,0,0.413762771978725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164965710373186,0,0,0,0,0,0,0,0,-0.0218423887803088,0.0141766920430483,0.0658981915720105,0,0.0489630907291142,0,0,0,0,-0.0254086236765423,0,0.00321447241968813,0,0,0,0,0,0
