,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601991.SH,X601600.SH,X600688.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X002353.SZ,X601992.SH,X000027.SZ,X000539.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600352.SH,X600021.SH,X600660.SH,X002470.SZ,X000792.SZ,X600489.SH,X600022.SH,X600863.SH,X000629.SZ,X600098.SH,X600307.SH,X600547.SH,X300072.SZ,X600808.SH,X600578.SH,X600612.SH,X600623.SH,X601918.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.83226490179607,0.0651014919039774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066913245312216,0,0,0,-0.0168437977634312,0,0,0,0,0,0,0,0,-0.0175756493127083,0,-0.00662268476165986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478970204730811,0,0,0,0
X600028.SH,0.491185542565262,0,0.115917464070195,0,0,0.0302410398938874,0.0529755393548054,0,0,0,0,0,0,0,0,0,0,0,0,0.0472522629965308,0,0,0,0,0,0,0,0,0,0.120458733616661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0385995348146357,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0307286099508163,0.174509128775642,0.411640768172397,0.154097854321629,0,0,0,0,0,0,0,0,0,0,0,0.152436343551699,0,0,0,0,0,0,0,0,0,0,0,0,0.0400372346992884,0,0,0,0,-0.140335868291021,0,0,0,0.00274063755015844,0,0,0,0,0,0,0,-4.68662017051938e-05,0.0131723540874575,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0321817709832464,0,0,0,0.480535191302971,0,0.0105239192521201,-8.67361737988404e-19,0,0,0,0,0.137373418145714,0,0,0,-8.67361737988404e-19,0,0,0.0780390912362086,0.113652625539643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193052965350795,0,0,0,0,0,0,0
X600010.SH,0,0,0.0492379680889066,0,0,0.165408137805507,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.380053724212985,0,0,0,0,0,0.153555621267785,0,0.0298085654222402,0,0,0,0.0522730798527003,0,0,0,0,0,0,0,0,0,0,0.00243324219736898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.334874839762279,0,0,0,0,0.0397024896713431,0,0,0,0.0718159052585855,0,0,0,0,0,0,0,0,0,0,0,0,0.0231234577783892,0.288975351693996,0,0,0,0.0561701883561286,0,0,0,0,0,0,0,0,0,0.0182352661126835,0,0,0,0,0,0,0,0,-0.0386445211212044,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.015227773433234,0.130330613465406,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0890678297506693,0,0.00903661471338573,0,0,0.0213356157144484,0,0.211414273648828,0,0,0,0,0,0.269730311603338,0.019227722585903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.718669677144571,0,0,0,0,0,0,0,0.0401987803927019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.0933685958547363,0,0,-0.0156008086453018,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.159731723522048,0,0,0.219368740186477,0,0,0,0.0690928817051538,0,0,0,0,0.170777464282022,0.0724284424795437,0,0,0,0,0,0,0,0,0,0,0,0.0302590721644623,0.0875118174344209,0,0,0,0,0,0.0584046857226337,0,0,0,0.00812437142798987,0,0,-0.0210159585716318,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.264297355120676,0,0,0,0,0,0,0,-4.33680868994202e-19,0.172401749256531,0,0,0,0.0209476881991907,0.268826365719503,0,0,0,0,0,0,0,0,0,0.00295554504317269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285395439064373,0,0.0332005878991606,0,0,0,-0.00328777382098181,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.130856338410069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357284065581839,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171955358436534,0,0,0,0,0,0.16075097306284,0,0.179937276011734,0.145217118933786,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.000100039184221331,0,0,0,0,0,0.0829601137477148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432175488165122,0.012115412809732,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0.147796682358038,0,0.173182651246211,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0917919634731448,0,0,0,0,0,0.11923687830281,0,0,0,0,0.0410454090766285,0,0,0.172987716375343,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00805023957015044,0,0,0,0,0,0
X600886.SH,0,0,0.0529311673531393,0,0,0.0692796230949717,0,0,0,0,0,0.0758997414027185,0,0,0,0,0,0,0.0361439592043232,0,0,0,0,-0.0615538225637968,0,0,-0.281391975378008,0,0,-0.0643981644140968,0,0,0.131989152466558,0.0495597971456229,0,0,0,0,0,0,-0.0796225825141282,0,0,0,0,0,0,0,0.419986702933054,-0.3102157157386,0,0,0,0,0,0
