,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600426.SH,X000877.SZ,X600362.SH,X600795.SH,X002271.SZ,X600027.SH,X600803.SH,X601991.SH,X600176.SH,X600489.SH,X601699.SH,X000983.SZ,X000807.SZ,X000786.SZ,X600160.SH,X000539.SZ,X002409.SZ,X300037.SZ,X000629.SZ,X000408.SZ,X000932.SZ,X600995.SH,X600219.SH,X002080.SZ,X000723.SZ,X600688.SH,X600612.SH,X600096.SH,X600378.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.574665854577224,0,0,0,0.0506261322853629,0,0,0,0.010111788093422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199665423886483,-0.0313062009042505,0,0,0,0,0,0,0,0,0.0989647205789884,0,0,0,0,0,0,0.0203722110952609,0,0,0,0,0,0,0
X600028.SH,0.609277210102567,0,0,0,0.0170003753762812,0,0.0381392851536353,0.251637358795961,0,0.0735278754833926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465175382245744,0,0,0,0,0,0,0,0,0,0,0,-0.0421136113597292,-0.0615858370864876,0,0,0,-0.0600884046720691,0,-0.0933253222248464,0,0,0,0,0,0,0,0.0349788874322705,0,0,0,0,0,0,0
X601088.SH,0.0776993922170792,0,0,0,0,0.281757115843076,0,0,0,0,0,0,0,0.061754810411898,0,0,0.0249180216781006,0,0,0,0.00980238305370124,0,0,0,0,0,0.0181472030347918,0,0.177370850139536,0,0,0,0,0.0243430862405522,0,-0.0503359485722182,0,-0.0705920946477365,0,0,0,-0.0638512891088325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.179140137926747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166713589302385,0,0,-0.0300675431237283,0,0,0,0,0,0,0,0,0.0364787868258015,0,0.0742376762559552,0,0,0,0,0,0.0201496465158499,0,0,0.0525912913164818,0,0,0,0,0,0,0,-0.00610907873177671,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0452408561019272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302469700679524,0,0.279372696398108,0,0.35365463066563,0,0,0,-0.108207044221673,0,-0.0235062009398469,0,-0.0621956610004491,0,0,0,0,0,0.0339375104547446,0,0.0715399951724855,0,0,0,0,0,0,0,0.0415459813848515,-0.00374416613226182,0,0,0,0,0,0
X600188.SH,0,0,0.484071180192488,0,-0.176778210770214,0,0,0,0,0.121732083067066,0,0,0,0.229445859117709,0,-0.0972354157768452,0,0,0,0,0,0,0,0,0,-0.006929941107692,0,0,0,0,0.159861605148653,0,0.0839574715384171,0,0,0,0,0,0,0,0,0.0369200683871959,0,0,0,0,0,0,0,0,0,-0.0435027875972069,-0.0770199352187513,0,0,0,0,0,0
X600019.SH,0,0.0500591945915323,0,0,0,0.0358879211471713,0,0,0,0,0,0,0,0.15923564997973,0,0,0,0,0,0,0.104023412443339,0,0,0,0,0,0,0,0,0,0.051305046600763,0,0.00484894610795133,0,0,0,0,-0.0990621647604937,0,0,0,0,0,0,0,0,-0.0435877836020121,0,0,0.0491930441044925,0,0.0412859269852741,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0506510374751115,0,0.0235294330231482,0,0,0,0,0,0,0,0,0.0441210347612054,0,0,0,0.025334327023069,-0.0671672433919051,0,0,0,0,0,0.0310925000825137,0,0.144610718930562,0,0,0,0,0,0.0170026415568486,0,0,0.149941616719564,0,0.0503153386238087,0,0,0,0,0,0,0,-0.028848594840211,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.360502737983606,0.106897832885627,0,0,0,0,0,0,0,0,0.039970327588605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145371830885975,0,0,0,0,0,0,0,0,0,0,0,0,0.0228467415943806,0,0,0,0,0,0,0
X601898.SH,0,0.0384757465079725,0.0823210031979914,0,0,0.110893400633665,0.0230146917222541,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0754824211445282,0,0,0,0,0,0,0,0.0108883494027583,0,0.401092864765498,0,0,0.0380973830803887,0,-0.0574859108349699,0,-0.127881087281036,0,0,0,0,0,0,0.0333726666181937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
