,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600111.SH,X600019.SH,X601898.SH,X002271.SZ,X600660.SH,X600011.SH,X000877.SZ,X000301.SZ,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X600176.SH,X600795.SH,X600426.SH,X600362.SH,X600096.SH,X000723.SZ,X000408.SZ,X000786.SZ,X600803.SH,X000983.SZ,X300073.SZ,X601991.SH,X600141.SH,X002080.SZ,X600486.SH,X600219.SH,X601699.SH,X600027.SH,X002192.SZ,X600801.SH,X002353.SZ,X600157.SH,X000959.SZ,X002497.SZ,X000807.SZ,X600489.SH,X300037.SZ,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0646140220840696,0,0,0,0,0,0,0,0,0,0.0187800344126416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00389860752854057,0,0.119775815216922,0,0,0.00659469613237847,0,0.139991356595075,0,0,0,0,0,0.204750680796302,0,0,0,0,0,0,0.0963362274600556,0,-0.0168958920671164,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.251093485275971,0,0.0360605381138098,0,0,0.116578945323898,-0.00795331085886512,-0.0144572304215757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402514767309486,0,-0.0760035475161393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.0332701597762029,0,0,0,0,0,0,0.00849536374637444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494008781632972,0,0,0,0.0645697111907905,0,0,0.0565627357630587,0,-0.00816826521416445,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0776374808052782,0,0,0.0473640617548992,0.146000857307379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00930786036314247,0,0.0960504681576813,0,0,0,0,0,0,0.152584390429351,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.292443521194147,0,0.181825432811479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.00926875712504736,0,0,0,0,0,0.132535404620052,0,0,0,0.172485927527693,0.00620568434684379,0,0,0,0,0,0.0150262856410335,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.127322381072472,0,0,0,0,0,0,0.104401684927954,0,0,0.00497638115542452,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0591433917404968,0,0,0,0,0,0.00824627415940557,0,0.359639040696021,0,0,0,-0.0169869957461734,0,0,0,0,0,-0.00453413949285749,-0.0037471455828789,0,0,0,0,0,0
X600188.SH,0,0.358982727388218,0,0,0,0,0,0,0.0607624882756896,0,0,0,0,0,-0.249695346191423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351867783403913,0,0,0,0,0,0,0,0,0,0,0.0725898875646839,0,0.0439396199650537,-0.0517369720364268,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.554670956840352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991985557454365,0,0,0,0,0.248895181070364,0,0,0,0,0,0.0200527521069127,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0420464134968758,0,0.0696550223874402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114196406611445,0,0.423627387788342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328010588972918,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.379924600659976,0,0.222290562473349,0,0,0,0,0,0,0.00152292690689636,0,0,0,0,0.108940640724231,0,0,0.171972175280887,0,0,0,0,0,0,0,0,0,0.159290906047261,0,0,0.12771908367619,0,0,0.00799763958098802,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0187005210378644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408014982852777,0,0,0,0,0,0,0,0,-0.0179206159198439,0,0.00332527423170974,0,0,0,0.0872067868684216,0,0.361768781918879,0,0.0340814343698814,0,0,0.0374174262703597,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0.0878141221109772,0,0,0.317531012842538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119220904455885,0,0,0,0,0.219402833145782,0,0,0,0,0,0,0.0224628194877552,0,0,0,0.00721157089890849,0,0,0,0,0,0,0,0,-0.00844793209802523,0,0,0,0,0,0,0
