,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X000792.SZ,X002466.SZ,X601898.SH,X600019.SH,X600111.SH,X002271.SZ,X600660.SH,X000877.SZ,X000301.SZ,X600011.SH,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X600886.SH,X600795.SH,X000983.SZ,X600176.SH,X600362.SH,X600426.SH,X600096.SH,X000408.SZ,X600803.SH,X601699.SH,X000723.SZ,X000786.SZ,X600141.SH,X600486.SH,X601991.SH,X600295.SH,X002353.SZ,X600219.SH,X000807.SZ,X002192.SZ,X300073.SZ,X002080.SZ,X600157.SH,X600801.SH,X000630.SZ,X600985.SH,X600027.SH,X000683.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0955975449681392,0,0,0,0,0.0746851454988063,0.0954764489662552,0,0,0,0.0792271930530725,0,0,0,0,0,0,0,0,0.00191519288181365,0,0,0.115435414800244,0,0,0,0,0,0,0,0,0,0.0164500326241537,0,0,0,0,0,0,0,-0.0567816373004753,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.012615936793877,0,0,0,0,0,0,0.136831691910801,0,0,0,0.00370342144845392,0,0,0,0,0,0,0,0,0,0,0,0,0.0785767339138868,0,0,0.225161913871259,0.0134285216995006,0,0,0,0,0.235005139140074,0,0,0,0,0,0.0105095233271972,-0.0662189047147555,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0.103634347995692,0,0,0,0.0993876756449687,0,0,0,0,0,0,0,0,0,0,0,0.0668746866883543,0,0,0,0.0617466355925748,0,0,0,0,0,0,0,0,0,0.0371474386254037,0.182810531456647,0.0953610995556202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0.0229189533172689,0,0.0614686423440061,0,0.0613094393111337,0,0,0,0,0,0,0,0,0,0,0.198404466016787,0,0,0,-0.0266281546185031,0,0,0.668591735487734,0,0,0,0,0,0,0.0131632476803406,0,0,0,0,0,0,0,0,0,0,0.0458551642610408,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0.0592980204880559,0.187755214755793,0,0,0,0,0,0,0.00340065188499041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156358224690542,0,0.182548235651014,0,0,0.0818678720985576,0,0,0,0.14343822379599,0.118201530374655,0,0,0,0,0,0,0,0,0,0.0148083010500721,0,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0421176422677952,0.0846782019165641,0,0,0,0.0712331396054198,0,0.159255738743959,0,0,0,0.0244649662885014,0,0,0,0,0,0,0,0,0,0,0.273165623027648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288790905557518,-0.103537629568796,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0.104315082262945,0,0,-0.12119090719286,0,0,0,0,0,0,0,0,0,0,0.403770145694404,0,0,0,0.0732617924463237,0,0,0,0,0,0,0,0,0,0,0,0.173060187300531,0,-0.0344459494106657,0,0,0,0,0.333633833781578,0,0.0995882519988309,0,0,0,0.0856187699119408,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0.179846950928054,0,0,0.173995231947998,0,0.0174224257028246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271598450090996,0,0,0,0,0.0461483950064162,0.0279003156092311,0.182545013729494,0,0,0,0,0,0,0,0,0,0,0,0.0117404542287363,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.191702591461832,0,0,0,0,0,0,0.0798739211171763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18786704329731,0,0,0,0,0,0.0379948405344205,0,0,0,0,0,0.00954200752592805,0,0,0,0,0,0,0
X600141.SH,0,0,0,0,0,0,0,0.0781870553314807,0.0665845526387377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345024730273357,0.201214588427039,0,0,0,0,0,0.0554728331216389,0,0.0478732536017691,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0135029467786099,-0.0372408189773898,0,0,0,0,0,0
