,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X600010.SH,X600111.SH,X000786.SZ,X600886.SH,X600011.SH,X600188.SH,X600176.SH,X600426.SH,X000027.SZ,X600803.SH,X601991.SH,X600219.SH,X600801.SH,X600795.SH,X600352.SH,X600489.SH,X000807.SZ,X000898.SZ,X000932.SZ,X600688.SH,X600315.SH,X000825.SZ,X000408.SZ,X000959.SZ,X600157.SH,X002353.SZ,X000883.SZ,X002080.SZ,X600027.SH,X300037.SZ,X600516.SH,X600486.SH,X600299.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.361101116958299,0,0,0,0,0,0,0,0,0,0,0,0.0225487022904923,0,0.0216553804685454,0.00822910762491347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222332685040186,0,0,0,0.0414644786041453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00122491005788565,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.140198568807286,0,0,0.0189082638561214,0,0,0,0,0,0,0,0.208580646835398,0.0059746907824469,0,0,0,0,0,0,0,0.0145944943044636,0.132029464173885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752644474540322,0,0,0,0,-0.0158770336737256,0,0
X601088.SH,0,0,0,0,0,0,0.0464959178515634,0,0,0,0,0,0,0,0.00611294348583642,0,0,0,0,0,0,0.109786477975182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81371292699134e-05,0.111874971634048,0,0,0,0,0,0,0.0837896341205863,0,0,8.67361737988404e-19,0,0,-0.01892012067334,0,0,0,4.33680868994202e-19,0,0
X600309.SH,0,0,0,0,0,0,0.1199132561097,0,0,0,0,0,0,0.0855805834783434,0,0,0,0.129693940654034,0.125904219900917,0,0,0,0,0.00922155606834514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116527988407769,0,0,0,0,-0.0724091411176249,0,0,0,-0.0131991514482657,0,0
X600585.SH,0,0,0,0,0,0,0.0171489859146574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118458977456645,0,0,0,0,0.190437004005721,0,0,0,0,0,0.0641152125221597,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0122943587088484,0.0539359960859193,0,0,0,0,-0.00513544480098947,0,0,0,-0.0156201227373952,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474293269123583,0,0,0,0,0,0.00239030775215044,0,0,0,0.0628084670405978,0,0,0,0,0,0,0,0.0344905660775727,0.377027099673118,0,0,0.219873651044871,0.0610052377760788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00900337369496738,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.229399980787959,0,0,0,0,0,0,0.610528661861737,0,0,0.0748786479738769,0,0,0,0.0187305117306438,0,0,0,0,0,0,0,0,0,0,0,0.0174155444935409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821655071532775,0,0,-0.00755253594617767,0,0,0,-0.0165086226787448,0,0
X002271.SZ,0,0,0,0,0,-0.161399077380046,0,0,0,0,-0.0845126095057734,0,0,0,-0.0174103191191059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719196823654503,0,0,0,0.025369963968053,0,0,0,0,0,0,0,0,0.121083279614335,0.0340025318509269,0.179688025861573,0,0,0,-3.46944695195361e-18,-0.126366564451717,0,0,0,-0.0103273196653402,0,0
X600660.SH,0,0,0,0,0,0,0.131323499210993,0.155404591111739,0,0,-0.0563608011834124,0,0,0,0,0.0656714197999133,0,0,0.114550177462565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00360460507944069,0,0,0,0,0,0,0,0,-0.0588294942104744,-0.100838687736935,0,0,0,0,0.148319577004369,0,0,0,0,-0.0148777937443211,0,0,0,-0.025064210897466,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642349241807081,0.0733739382198343,0,0.122085223761565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254620805705798,0,0,0.155907318093659,0,0,0,0,0.321388305085543,0,0,0,0,0,0,0,0,0,0,-0.124992415927566,0,0,0,-0.022553242214389,0,0
