,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X000027.SZ,X601992.SH,X000539.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X000792.SZ,X600022.SH,X002470.SZ,X600098.SH,X000629.SZ,X600863.SH,X600307.SH,X600808.SH,X600489.SH,X600578.SH,X601918.SH,X600623.SH,X600160.SH,X600547.SH,X600612.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.859563517646957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207642915779707,0,0,0,0,0,0,0,0,0,-0.0119514333405179,0,0,-0.0414560909463103,0,0,0,0,0,0.00963052188204997,0,0,0,0,0,0,-2.16840434497101e-19,-0.0255341323095677,0,0.0175052609027603,0,0,0,0
X600028.SH,0.467810561795034,0,0.139053761937588,0,0,0.150124503552951,0.0055867080321874,0,0,0,0,0,0,0,0,0,0,0,0,0.00298804514071781,0.0100182407393653,0,0,0,0,0,0,0.108334442491285,0,0,0,0,0,0,0,0,0.0112105223394379,0,0,0,0,0,0,0,0,0,0,0,0,0.0772261001153517,0,0,0,0,0
X601088.SH,0,0,0,0,0.294902672671195,0.0802268308581504,0.0690712768406095,0,0,0,0,0.034671025690129,0,0,0,0,0,0,0.106363243563322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116857289605353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.704230500932905,0.0142482537304736,0,0,0,0,0.0596720951073427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0809687808137804,0,0,0,0,0,0,0,0,0,0,0,0.34184889598164,0,0,0,0,0,0,0,0,0,0.181114929562256,0,0,0,0,0.0490770523384011,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0251887187494402,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.327115918606595,0.0273958994034171,0,0,0,0.0654190247759106,0,0.0391608368073243,0,0,0,0,0,0,0,0,0.077199835405338,0,8.67361737988404e-19,0,0,0,0.128619353722736,0,0,0.103677094427956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186101233464366,0,0,0,0,0,0,0
X600585.SH,0,-1.73472347597681e-18,0,0,0,0.0340123851162068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419401002215161,0,0,0,0.326768946682165,0.00160438586521196,0,0,0,0,0.242557362647253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0245789356758941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20439883967653,0.287903806147242,0,0,0,0,0,-0.00223178404854266,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.155232005927158,0.089641635392176,0,0,0,0,0,0,0.05381097950012,0,0.0818355416039678,0.057042084245766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185821299202751,0,0.0219197141091924,0.0192612396814402,0.203528083318941,0,0,0,0.0142352889031347,0,0,0,-0.00273937592878391,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0701093605269616,0,0,0,0,0,0.0275018522873241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209101220973874,0.172637466649756,0,0,0,0,0,-0.00187954656881184,0,0,0,0,0,0,0
