,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X000301.SZ,X600019.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000877.SZ,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X002271.SZ,X600803.SH,X600426.SH,X600362.SH,X600176.SH,X601991.SH,X600027.SH,X000629.SZ,X000983.SZ,X000723.SZ,X601699.SH,X000408.SZ,X600096.SH,X600348.SH,X600141.SH,X000786.SZ,X600160.SH,X600219.SH,X002353.SZ,X300073.SZ,X002080.SZ,X000933.SZ,X600157.SH,X600549.SH,X600985.SH,X600295.SH,X600486.SH,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.10918104316386,-0.0513653907916514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00097915391491478,0.139225510568271,0,0.0950789995440415,0,0,0.00832899731915598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00336127724559811,0,0,0,0,0,0
X601088.SH,0,0,0,0.0378799332513773,0.262366245465665,0.10793321658068,0,0,0,0.293490727666803,0.186147771815509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00615233011629025,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0564310741162941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0904994380861418,2.39792908404276e-05,0,0,0,0,0.0263187503074324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277381097615801,0,0,0,0,-0.00591452317402993,0,0.0233265215554225,0,0.00591490735401502,0,0,0,0,0,0,0,0,0,0.0199308547986513,0,0.0088622044733404,0,0,0,0,-0.0206841349387322,0,0
X600309.SH,0,0.0497753735982474,0,0,0.072364665039042,0,0,0,0,0.0687604178313357,0.00377738465285844,0,0,0,0,0.0114089190934555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0869088688372204,0.0293316831968692,0,0,0,0,0,0,0.018185208865447,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0.528276906837691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235152836658366,0,0,0,0.041787426853966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00586964142420707,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.663150302775492,0,0.0707559936778277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0816612297286447,-0.178844686168569,0,0,0,0.124331989272879,0,0,0.239383030350427,0,0,0,0.0108975211673573,0,0,0,0,0,0,0,0,0,0,0.0323929559533317,0,0,0,0,0.0332279314391049,0,0
X002460.SZ,-0.109936623226117,0,0,0,0,0.349797399586376,0,0,0,0,0,0.0398434660752869,0,0,0,0,0.095657194799984,0,0,0,0,0,0,0,0,0,0,0,-0.103847274447144,0,0,0,0,0,0,0,0.133454966875996,0,0,0,0,0.0556182860107844,0,0,0,0,0,0,0,0,0,0.0551699363515213,-0.0470106680000824,0,0,0,0.0434552603601089,0,0
X600585.SH,0,0,0,0,0.148807137184975,0,-0.0118288350150844,0,0,0,0.0624697918633105,0,0,0,0,0,0,0,0,0,0,0,0.0382372138319115,0,0,0,0,0.065797214116072,3.46944695195361e-18,0.0508178600613297,0,0,0,0,0.0630016771494508,0,0,0.254934318514669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02036066739633,0,0,0,-0.0378154402412127,0,0
X000792.SZ,0,0,0,0,0,0.227942598331855,0,0,0,0,0.0986043290523267,0,0,0,0,0,0.0881747743966299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086851561897035,0,0,0,0.265325609359211,0,-0.0191322603122849,0,0,0,0.0678687752292246,0,-0.0169132045258784,0,0,0,0,0,0,0,0,-0.0389718974978102,0,0
X601898.SH,0,0.107804720241705,0,0,0.00199411850519355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024610903443764,0,0,0,0,0,0,0,0,0.38700167207571,0,0,0,0.161540075705902,0,0,0,0,0,0.232740074508473,0,-0.0229815900867102,0,0,0,0.0154161881450621,0,0,0,0,0,-0.0250437824737099,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.101107371945492,0,0,0,0,-0.122752337599264,0,0,0,0,0.150612127646188,0,0,0,0,0,0,0,0,0,0,0,0.700073150723453,0.0363653002319496,0,0,0,0,0,-0.00416873088333861,0,0.253805526974817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
