,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600547.SH,X600362.SH,X600795.SH,X300072.SZ,X600309.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600660.SH,X600886.SH,X601992.SH,X600111.SH,X000898.SZ,X600489.SH,X600339.SH,X000709.SZ,X600299.SH,X000959.SZ,X601158.SH,X600583.SH,X000630.SZ,X000792.SZ,X002466.SZ,X600352.SH,X600219.SH,X000408.SZ,X600098.SH,X000883.SZ,X000825.SZ,X000539.SZ,X000723.SZ,X002092.SZ,X000983.SZ,X601699.SH,X600021.SH,X000027.SZ,X000937.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.332061600244087,0,0.066279420469067,0,0,0,0,0.0221463488711773,0,0,0.0186812532615385,0,0,0,0,0,0,0,0.0335828819254487,0.0587654837093136,0.101749439112404,0,0.0319778850267902,0.00246671093162528,0,0,0,0,0,0,0,0,0,0,0,0,0.060013314921398,0,0,0,0,0,0,0,0,0,0,0,0,0.0034276597699271,-0.00740495651796405,0,0,0,0,0,0
X600028.SH,0.716662914752791,0,0,0,0,0.0497238140204299,0,0,0,0,0.0324871148084942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304519451964262,0,0.0213875478691758,0,0,0.0292275342336267,-0.00488641045058883,0,0,0,0,0,0
X601088.SH,0,0.00939892574199648,0,0,0,0,0,0.0335364094956304,0.0555519686734985,0,0,0,0,0,0,0,0,0,0,0.0799421864571114,0,0,0,0.113814803448903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146530016491389,0,0,0.00889147146551319,0,0,-0.028705049732763,0.013412675899471,0,0,0,0,0,0
X600019.SH,0,0,0.412442827476163,0,0,0,0,0,0,0,-0.108817551007188,0,0,-0.0844984599915547,0,0,0,0,0,0,0,0,0,0.129224219940209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133447620919563,0,0,0,0.00617655051181932,0,0.00534572751009024,0,0,0,-0.146456965911429,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0166716660290949,0,0.243966545130666,0,0,-0.00117234697887605,0,0,0,0,0,0,0,-0.048691863431976,0,0,0,0,0,0,0,0,0,0,0.0653623810268185,0,0,0,0,0,0,0,0.110854700118359,0,0,0,0,0,-0.0417399322686337,0,-0.0117502008396878,0.0140080902837983,0,0,0,0,0,0
X600585.SH,0,0,0,0.112596911293833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906612688403126,0,0,0,0.185007626053125,-0.0530135931851145,0,0,0,0,0,0.0481141105401885,0,0,0,0,0,0,0,0,0,0,-0.0101772021068758,0,0,0,0,0,0,-0.039169751179132,-0.0962799102082853,-0.0219354822259051,0.0270317808223618,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0664067769070091,0,0,0.125438058959492,0,0,0.0603384846788131,0,0,0,0,0,0,0.0851652224039351,0,0.13219424826061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712848515299099,0,0,0,0,0.010288763210836,0,0,0,0.0167053076186752,0,0,0,-0.0274216315029759,0.0107616721789081,0,0,0,0,0,0
X601898.SH,0,0,0.124723903311917,0,0,0,0,0,0,0,0,0.0126104606529493,0,0,0,0.0107180096690016,0,0,0,0,0,0,0,0.000782729619694281,0,0,0,0,0,0,0.174946689973616,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.193357464668778,0.0891049383376733,0,0,0,0.0909870545201613,-0.0150820200062794,-0.0225036926839773,0.000247956715778114,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.103092376813059,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05262272717984,0,0,0,0,0,0.159789880789076,0,0,0,0.085331326037076,0,0,0,0,0,0,0,0,0,0,0,0,0.193545622668838,-0.20330764223395,-0.0121186756190581,0.00203490305739305,0,0,0,0,0,0
X600688.SH,0,0.282458069218254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414573094749479,0,0.0203338474225281,0,0,0,0.148975926662919,0.0690750066446054,0,0,0,0,0,0,0,0,0,0,0.00371312485060447,0.0773999902399636,0,0,0.084243994558911,0,0.00170065142229716,0,0,0.00305556471612103,0,0,0,0,0,0,0
