,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X600011.SH,X000792.SZ,X601898.SH,X600019.SH,X600111.SH,X600660.SH,X600795.SH,X600010.SH,X000708.SZ,X000301.SZ,X600886.SH,X600547.SH,X601991.SH,X000877.SZ,X601600.SH,X002271.SZ,X600027.SH,X600426.SH,X600362.SH,X600803.SH,X000983.SZ,X600348.SH,X600176.SH,X600160.SH,X000408.SZ,X000629.SZ,X601699.SH,X000723.SZ,X600995.SH,X600378.SH,X600096.SH,X600219.SH,X000786.SZ,X600489.SH,X600157.SH,X600985.SH,X600688.SH,X002080.SZ,X002353.SZ,X600141.SH,X600399.SH,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600378.SH,0,0,0,0.121896615371293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262588544327157,0,0,0,0,0,0,0.099828860278379,0,0,-0.0649554287030857,-0.0666850102998094,0.154040572812818,0,0.178289090402012,0,0,0,0,0.00377674432556441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429082288859921,0.0158596118402371,0,0,0,0,0,0
X600096.SH,0,0,0,0,0.0642736854753894,0,0.12776013456996,0,0,0,0,0,0.239227119365056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588725136066855,0,0,0,0,0.0395872106385267,0,0,0,0,0,0,0,0,0,0,0.262298361077957,0,0,0,0,-0.020087075834926,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0.0243851566237982,0.168344571461011,0,0,0,0,0,0,0,0,0,0,0,0,0.0068072695324904,0,0,0,0,0,0,0,0,0.0650882696781709,0,0,0.0336059021216736,0,0.106055245954127,0,0,0,0,0,0.0992895507126839,0,0.0820437373836078,0,0,0.377699727008096,0,0,-0.0117280863586374,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,-0.103390756815717,0.206336527687372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227458274773785,0,0,0,0,0.0735047924203244,0,0.291881659357193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279711507492121,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.0143295411741562,0,0,0.0254284880698556,0,0,0,0,0,0.0252092510474976,0,0.731384217042564,0,0,0,0,0,0.0273426174040797,0.0418506749351025,0,0,0,0,0,0,0,0,0,0,0.00584903159944861,0,0,0,0,0,0,0,0,0.0246090377901391,0.063084765869415,0,0.00031620005455022,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0.162156647588777,0,0.0602141376519768,0,0,0,0.0809042997826656,0,0,0,0,0,0,0,0,0,0,0,0,0.0484713642811747,0,0,0,0.007441114946382,0,0.030633578888982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120902969869465,0.0436557546866257,0,0,0.0212105492129955,0,0,0,0,0,0
X600985.SH,0,0,0,0,0.0349429110414908,0,0,0,0,0,0.128128641586054,0,0,0,0,0,0,0.0557335046974987,0,0,0,0,0,0,0.0506583968703396,0,0,0,0.262105538505716,0,0,0,0,0,0.238282234865653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086098566377888,0.0154276142584153,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124427037317247,0,0,0,0.0261728983121723,0,0,0,0,0,0,0,0,0.0339050827950749,0,0,0,0,0,0.0450449010364155,0,0.156596425597964,0.28323759500282,0,0,0,0,0,0,0.0132144397960951,0,0,0.0155358894416773,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.175456876943564,0,0.106461174910269,0,0,-0.0154393477079765,0,0,0,0.0533499092891631,0,0,0,0,0,0,0,0,0,0.00337072271661853,0.0204298000949281,0.217111426760817,0,0,0.169969668467587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808046824035755,-0.0728970220883082,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0.0403462793832566,0.0755045802421601,0,0,0,0,0,0,0,0,0,0,0,0,-0.0480710229925756,0,0,0,0,0,-0.00541707393944714,0,0,0,0,0,0,0,0,0.10345363538487,0.157816041539013,0.349506370161035,0.0294323415446049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362774121836977,0,0,0,0,0,0
