,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X600011.SH,X002271.SZ,X600660.SH,X000877.SZ,X000708.SZ,X600010.SH,X600188.SH,X601600.SH,X000301.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000786.SZ,X600219.SH,X600803.SH,X601991.SH,X002080.SZ,X600795.SH,X000408.SZ,X600027.SH,X600688.SH,X300073.SZ,X000807.SZ,X002353.SZ,X600352.SH,X600801.SH,X300037.SZ,X000825.SZ,X600486.SH,X600489.SH,X600516.SH,X000630.SZ,X600157.SH,X000959.SZ,X002326.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0578110307978339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205177844106841,0,0,0.0381674004818909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895247916676527,0.12404587387636,0,0,0,0,0,0,0,0,0,0,0.166862635273632,0,0,0,0,0,-0.0252641443312162,0,0,0,0,0,0,0
X600028.SH,0.266194642507415,0,0.0585038203512086,0,0,0,0,-0.0164070318457749,0,0,0,0,0,0,0,0,0.0232544885850254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539779592361574,0,0,0,0,0,0,0,0,0,0,0.0421228877850475,0,0,-0.0160114374090058,0,0,-0.0237798226561478,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240962435497958,0,-0.015929179921465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14516734707952,0,0.0256515386440367,0.0171678010125908,0,0,0,0,0,0,0,0,0,0.035277906344432,0,0,0,-0.00084772301105975,0,0,0,0,-0.00618861668728173,0,0
X600309.SH,0,0,0,0,0,0.027298090361399,0,0,0,0,0,0.115331218204164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697314648701888,0,0,0,0.0530798392472798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542547250171724,0,0,0,-0.0135689019155177,-0.00468928154932499,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0111011791998742,0,0,0,0.070949496870293,0,0.0115167252524096,0,0,0.0139151653799836,0,0,0,0,0,0.103600135796666,0,0.138199670186612,0,0,0,0,0,0,0,0,0,0,0,0,0.306851108607021,0,0,0,0,0,0,0,0.0139357139026305,-0.091508490031483,0,0,-0.0203331138989271,0,0,0,0,-0.0157974667696987,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.555069146407661,0,0,0.131473343942957,0,0,0,0,0,0,0,0,0,0,0,0,-0.0487397022278196,0,0,0,0,0.0170930283495259,0,0.0599756835660855,0.0326626547541189,-0.0258022854110504,0.0992970137366503,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0772268008481062,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0680324463620798,0,0,0,0.0534553056182906,0,0.0491154371235694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872368805656929,0,0,0.00484357243454787,0,0,0,0,0,0,0,0.0199064790586429,0,0.22689676881522,0,-0.00193385989744638,0,0,0,0,-0.00887409429064749,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.0306590896520756,0.367325980315579,0,0,0,0,0,0.0160844670501058,0.138934616604318,0,0.0441240748730937,0,0,0,0,0,0,0,-0.0759496307297322,0,0,0,0.118578911407219,0,0.197149063368146,0,0,0,0,0,0,0,0.0597225725427457,0,0,0,0,0,0,0,0,0,0,0,0.000403498525842375,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.023465436552243,0,0,0,0.483204925295815,0.0417782998932413,0,0,0,0,0.26842917825357,0,0,0.0795251425224933,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198324236577803,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513305124506002,0.0102814958215987,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.588878438025157,0,0.139730791408835,0.0275893462715458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260068565172914,-0.0474387648543431,0,0.0943727762608443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
