,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X601600.SH,X600547.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X600010.SH,X000301.SZ,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X600985.SH,X002271.SZ,X600160.SH,X000408.SZ,X000630.SZ,X600176.SH,X000807.SZ,X000933.SZ,X000932.SZ,X600348.SH,X601168.SH,X600219.SH,X600612.SH,X002128.SZ,X300037.SZ,X600688.SH,X600157.SH,X000027.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.420565822335798,0,0.0527422068840085,0.165532742045341,0,0,0,0,0,0,0,0.134765716400139,-0.254606994484916,0,0,0,0,0.112296964547736,0,0,0,0,0,0,0,0,0,0.0517551941539733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00696598718254044,0.00337840095709963,0,0,0,0.0225204993686367,0,0
X600028.SH,0.612991510449661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104266748821037,-0.000733429694301626,0,0.0301347215701048,0,0,0,0,0,0,0,0,0,0,0.0407374558015707,0,0.0115324355358945,-0.126764071801967,0,0,0,0,0,0,-0.0141719889097324,0,0,0,0,0,0.127771798021109,0,0,0,0,-0.0270050117920172,0.0143052900148,0,0,0,0,0,0
X601088.SH,-1.73472347597681e-18,0,0,0,0.397661394078765,0,0,0,0,0,0,0,0,-0.0255175268601549,0,0,0.0415729985520236,0.0856530656982164,0,0,0,0,0,0,0.128106970771101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170969057646531,0,0,0,0,0.0582986761397247,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.13015995430008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220383543674906,0.102977618385549,0,0,0,0,0.16340933845151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000647881234852534,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.0410693296786374,0,0.231881197347371,0,0,0,0,0,0,0,0,0,0,0,0.376043503923238,0,0,0,0,0,0.136537880612808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103794990067317,0,0,0,0,0,0,0,-0.00968632942476711,0,0,0,0,0,0,0
X601898.SH,0.124163929192515,0,0,0,0.122608689989967,0,0,0,0,0,0,0,0,-0.0109698850971745,0,0,0,0.0975752776652433,0,0,0,0,0,0.0863640238586741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397069131145521,5.42101086242752e-20,0,0,0,0.0212694824353615,0,0
X600011.SH,0,0,0,0.000934242677431848,0,0,0,0,0,0.0612284061327904,0,0,0.0216720869269903,-0.0232117669664773,0,0,0,0,0,0,0,0,0,0,0.443816971270857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343977619579733,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052230030518559,0,0.0340958841259266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127200405563448,0,0,0,0,0,0,0.2652465479076,0,0.18408704510881,0,0,0,0,0.140225713502774,0,0,0,0,0.00330937889900135,0,0,0,0,0,0,0
X600585.SH,0.136020030848148,0,0,0.145073699353067,0,0,0,0,0,0,0,0,0,0,0,0.148188376186455,0,0,0,0,0,0,0,0,0,0,0,0.00983681587356964,0.0227498627210159,0,-0.0543698547836204,0,0.0482619471859538,0,0,0,0.073510830821858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126090559901786,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0742621790210776,0,0,0,0,0,0,0,0,0,0,0.513856083742777,0,0,-0.109237243435834,0,0,0,0,0,0,0,0,-0.0766789761019308,0,0,0.0871767644430774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468472605519505,0,0,0,0,0,-0.00750626189707885,0.0115443491927166,0,0,0,0,0,0
X600660.SH,0.132887210838698,0,0,0,0.00409397982750778,0,0,0,0,0,0,0,0.0838935206029438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11123508837805,0,0,0,-0.0804926911917496,0,0.0628735155766664,0,0.0716884616372867,0,-0.0551977745760986,0,0.00654588817580946,0,0,0,0,0,0,0,0,0,0,0,0.00485673704179531,-0.00457053568684847,0.0873141877614834,0,0,-1.0842021724855e-19,0,0
X601600.SH,0,0,0,0.0890995583522427,0,0,0,0.340671966921299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00856296643569492,0,0,0.246002325491502,0,0.187218230355057,0.0736030791005114,0,0,0.0576457434237763,0,0,0,0,0,0,0,0,0,-0.0224264485939679,0.0189431124643474,0,0,0,0,0,0
X600547.SH,0.00188182371870657,0,0,0,0.0525594775402527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254380007681127,0,0.601036527072598,0,0.000133323655614874,0,0,0,0.00323599218545888,0,0,0,0,0.00857773448519889,0,0.090324568098497,0,0,0,0,0,0,-0.0688058169067246,-0.00261775740552485,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0436605879444257,0,0.00629791746312665,0.72261209922732,0,0,0,0,0.182080936911484,0,0,0,0,0,-0.0926276740748673,0,0,0,0.00924124204379176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116424056860904,-0.0058967268703511,0,0,0,0,0,0
