,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X600886.SH,X601898.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X600688.SH,X600188.SH,X600352.SH,X600111.SH,X600801.SH,X600027.SH,X000723.SZ,X600489.SH,X601992.SH,X002271.SZ,X000898.SZ,X600176.SH,X600516.SH,X000786.SZ,X002460.SZ,X002466.SZ,X000709.SZ,X000629.SZ,X600299.SH,X600612.SH,X000883.SZ,X601158.SH,X600426.SH,X600219.SH,X002353.SZ,X601699.SH,X000630.SZ,X600583.SH,X600021.SH,X000553.SZ,X600985.SH,X000027.SZ,X600578.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543867231655463,0,0,0,0,0,0,0,0,0,0.017375420615096,0,0,0.067531527080286,0,0.0438571170592412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00363863607845489,0.0304501626416487,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0641317426204862,0,0,0,0,0,0,0,0,0,0,0,0,0.0955380283059011,0.0245386416676351,0,0,0,0,0,0,0,0,0,0,0.00996994695959962,0,0,0,0,0.0371968553803745,0,0,0,0,0,0.0323815036843753,0,0,0,0,0.0426669461020891,0,0,0,0,0,-0.018484643121487,0.020965264417409,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310059074940285,0.0787598595515914,0,0,0,0.017394376424445,0,0,0,0,0,0,0,0.0359883869047462,0,0,0,0.0416538617572368,0,0,0,0,0,0,0,0,0,0,0.00950388471413372,0,0,0,0,0,0,0.0315159220415609,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428357179188948,0,0.0781226206427854,0,0,0.0723616294958378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267763103221987,0.0309574500005341,0,0,0,0,-0.0108410247244744,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.167436365586917,0,0,0,0,0,0,0,0,0,0.244901332508716,0,0.0535728101583834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127876283014781,0,0,0,0,0,-0.0108717822309148,0.00872901880898675,0,0,0,0.144686971636995,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0455475488792686,0.0458983976144731,0,0,0,0,0,0,0,0,0.128047473083137,0,0,0,0.0172074791780012,0,0,0.064022730048099,0,0,0,0,0.0644485794477754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149475637821841,0,0,0,0.0127256678096397,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136976122307596,0,-0.0275485043159637,0,0.137354477195646,0.789448990284931,0,0,0,0,0,0,0,-0.0160311993680317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322834239595399,0,0,0,0,0,0,0.00407398892410367,0,0,0,-0.0648622486727886,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0531934763173984,0,0,0,0,0,0,0,0,0,-0.00823523246257125,0,0.0896597955284821,0.189464032538544,0,0,0,-0.17338510092023,0,0,0,0,0,0,0,0.033408312701711,0.159216857808661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229865835979748,-0.0308251879246403,0,0,0,0.14017309674299,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.314111323600014,0,0,0,0,0,0,0,0,0.00928175897434469,0.104807260817628,0,0,0.109347900790122,0,0,0,0,0,0.0940165244905757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076868854146226,0,0,0,0,0.0044869177930773,-0.00688752524606829,0,0,0,0.0678891602935088,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.161321286096356,0,0,0,0,0,0.0108301524280579,0,0,0,0,0.0254985951594343,0,0,0.0292551414110938,0,0,0,0,0,0.0430380460131923,0,0.0600879652868743,4.33680868994202e-19,0,0,0.0936771587658133,0,0,0,0.229160202217556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129854708168577,0,0
