,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X600489.SH,X000301.SZ,X000708.SZ,X002466.SZ,X600160.SH,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X000983.SZ,X600219.SH,X600176.SH,X000877.SZ,X601699.SH,X002128.SZ,X000630.SZ,X000408.SZ,X600157.SH,X600096.SH,X601168.SH,X000933.SZ,X600985.SH,X002353.SZ,X002271.SZ,X600352.SH,X600378.SH,X600995.SH,X600688.SH,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0687100273281059,0,0.0342374561405748,0,0.0756381361028422,0,0,0,0,0,0,0,0.126749859744454,0,0,0,0,0.242902527136025,0,0,0,0,0.227912034003698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268865619996015,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136511222999926,0,0
X601088.SH,0,0,0,0,0.171683429384347,0,0,0,0,0.0348193180776567,0,0,0,0,0,0,-0.00160314042384353,-0.0118968141927707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0.213554637140226,0,0,0,0,0,0,0,0,-0.0201045939783386,0,0,-0.0137123452359003,0,-0.0229949450714489,0,0
X600028.SH,0.18697056539567,0,0,0,0.0686026075893023,0,0,0.0411593397313473,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0162947762206136,0,0,0,0,0,0,0,0.0495967445400224,0,0,0,0,0,0,0,0,0,0,0,0,0.0029280091511643,0,0,0,0.231667665070661,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036622114964676,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876628164223988,0.0983289627091504,0,0,0,0.119530655526835,0.0107366354741879,0,0.0604307003149526,0,0,0,0,0,0.0411120388821158,0,0,0.105535726987801,0,0,0.220053418124863,0,0.0198614200925315,0,0,0,0,0,0,0,0,0,0,0,0,-0.0438804388660379,0,0,0,0,0,0,0
X601898.SH,0.220189886850133,0.25203590723943,0,0,0,0,0.0124696383774758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152244172794949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453854113595895,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204176277954119,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407820218974941,0,0,0.146667401219132,0,0,0,0.203209226252961,0,-0.0378354283050865,0,0.0883491532574355,0,0,0,0,-0.000111220649348675,0,0,0,0,0,0,0,0,-0.236468927532504,0,0.0515254921400157,0,0,0,0,0,0,0,-0.024051114967376,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0414310342698635,0,0,0,0,0.270204391864864,0,0,0,0,0.0192038401937328,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0933365195131648,0,0,0,0,0,0,0,0,0.133127559765383,0.00548938805639068,0,0,0,0.0682452400933625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00772096080062428,0,0
X600188.SH,0,0,0,0.0611516523034401,0.0964049997375134,0,0,0,0,0,0,0,0,0,0,0,0.126747319662448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189286704646555,0,0,0,0.161786426470121,0,0,0,0,0,0,0,0.050198894513692,0,0,0,0,0.0600800022838294,0,0,0,-0.0164629118345278,0,0,0,0,-0.016904707960859,0,0
X600585.SH,0,0,0,0,0.123864579432364,0,0,0.0610584707308353,0,0,0,0,0,0.0436407269751126,0,0,0,0,0,0,0,0,0.0154325707435749,0,0,0,0,0,0,0,0,0,0,0.262546263600472,0,0,0,0,0,0,0,0,0.106251106097123,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119820068131965,0,0
X601600.SH,0,0.167067540390089,0,0,0,0,0.102073254544287,0,0,0,0,0,0,0,0,0,0,-0.0250814939828845,0,0,0,0,0,0,0,0,0,0.22330785075615,0,0,0,0.331763231842779,0,0,0,0,0,0,0,0,0.349637296616854,0.0739838907984873,0,0,0,0,0,0,0,0,0,-0.0322246228864196,0,0,0,0,0,0,0
