,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600688.SH,X600309.SH,X601992.SH,X000792.SZ,X601158.SH,X600583.SH,X600157.SH,X000898.SZ,X000709.SZ,X600352.SH,X600547.SH,X600489.SH,X002353.SZ,X000831.SZ,X000630.SZ,X000539.SZ,X600008.SH,X600660.SH,X600808.SH,X000825.SZ,X000027.SZ,X600021.SH,X000629.SZ,X600549.SH,X002470.SZ,X600578.SH,X600307.SH,X600315.SH,X601699.SH,X600098.SH,X000983.SZ,X600863.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.586035224652409,0,0,0,0,0,0,0,0,0.0550403173322653,0,0.122064274240807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109158871309669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.494289700974419,0,0,0,0,0,0,0,0,0,0.00212993103524447,0,0.0164590798494595,0,0,0,0.421993515209514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370246773128571,-0.0101883747321026,0,0,0,0,0,0
X601088.SH,0.0604524483063155,0,0,0.0815505859543529,0,0,0.081740949398899,0,0,0,0,0,0.0964821811034166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619800196787321,0,0.403787687500657,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964923185358718,0,0,0.174233155566896,0,0,0,0,0,0,0.372088130132602,0.15845182184599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910967585416881,0,0,0,0,0,-0.017284404600685,-0.0098680128150831,0,0,0,0,0,0
X600011.SH,0.0920697851889466,0.0537784235791603,0,0.00533060678900927,0,0,0,0.0206754741456178,0.0765474164401369,0.128328474305161,0.0350593299652532,0,0,0,0,0.0797161422132171,0.00458255786466899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348270905129622,0,0,0,0,0,0,0.354581069922619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218909150584093,0,0,0.084109177280658,0,0.0566587905759979,0,0,0.123581558919665,0,0,0,0,0,0,0,0.059065829016339,0,0,0,0.122204612074225,0,0,0,0,0,0,0,0,0,0,0.0978352975505711,0.052764527306814,0.0120468284572449,0,0,0,0,0.00202643365932583,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.12339728203158,0,0.0639933179726989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126536940561892,0,0,0.0574570381279158,0,0,0.180944478283203,0,0.331145787782803,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00949965872963516,0,0,0,0,0.000665219376601885,0,0,0,0.50577210593549,0,0,0,0,0,0.0706454366978367,0,0,0,0,0,0.0985726145511338,0,0,0,0,0,1.73472347597681e-18,0,0.182920438451466,0,0,0,0,0,0,0.0190032095667128,-0.00635627862881929,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0112409221289977,0,0,3.46944695195361e-18,0.494129776804342,0,0,0,0,0.0954675235913907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178962386350949,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184836945576445,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,-1.73472347597681e-18,0,0.253560285289673,0,0.257498028444363,0.168454406117199,0,0,0,0.12827761667421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660095667228872,0,0,0,0,0,0.0405850230906175,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0039843831636362,0,0,0,0,0,0
