,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600010.SH,X600027.SH,X600111.SH,X600188.SH,X600362.SH,X600309.SH,X600583.SH,X600688.SH,X601158.SH,X601992.SH,X000898.SZ,X000709.SZ,X000792.SZ,X000539.SZ,X000883.SZ,X600352.SH,X000629.SZ,X600489.SH,X000831.SZ,X002353.SZ,X600808.SH,X600578.SH,X000825.SZ,X000027.SZ,X000630.SZ,X600549.SH,X600547.SH,X600863.SH,X600008.SH,X601699.SH,X600307.SH,X000983.SZ,X600660.SH,X600098.SH,X600315.SH,X000937.SZ,X000959.SZ,X601168.SH,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.706975535073306,0,0,0,0,0,0,0,0,0,0,0,0,0.054613798891225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425943351287358,0,0,0,0,0,0,0,0,0,0.0286656230182469,0,0,0,0,0,0,0,0,-0.0322014620888557,-0.0137103245109933,0,0,0,0,0,0
X600028.SH,0.603658226589805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20880490094082,0,0,0,0,0,0,-0.0464750839923476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132024445407551,0,0,0,0,0,0,0,0,0,0,0,-0.0205871014729839,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158385031076092,0,0,0,0,0,0.106710119102633,0,0,0,0,0,0,0,0,0,0,0,0.0531804114979635,0,0,0,0,0,0,0,0,0,0.102774054133109,0,0,0,0,0,0,0,0,-0.0189393641052348,-0.0218923181761871,0,0,0,0,0,0
X600011.SH,0,0.0207964109225735,0,0,0.218087777396376,0,0,0.101546051660732,0,0,0.138119045415485,0,0,0,0.0643984507622504,0,0,0,0,0,0,0,0,0,0,-0.0535259627440101,0,0,0,0,0,0,0,0,0.151354382951119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.177049582528341,0,0,0,0,0,0,0,0,0.0152600722259169,0,0.110294000900111,0,0,0,0,0,0,0.333677150494799,0.112482972372925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0202530319745064,-0.0101577390850162,0,0,0,0,0,0
X600585.SH,-0.0302007388549661,0,0,0,0,0,0,0,0,0.00573617734333813,0,0.0498754271214872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137634980068098,0,0,0.020079276851735,0,0,0,-0.0557010651608459,0,0,0.0103734062123019,0,0,0,0,0,0,0.101022614497146,0,-8.67361737988404e-19,0,-0.0115986810917412,0.149769327470275,-2.16840434497101e-19,0,-0.0482059757752282,-0.00422730104161751,0,0,0,0,0,0
X601898.SH,0,0,0.107653443712892,0,0,0,0,0,0,0.182686346782694,0,0,0.0595100715943017,0,0,0,0,0,0,0,0.0809218738764956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359844159813873,0,0,0,0.0377833461418914,0,0,0,0,-0.0178095691699056,-0.0250820066180058,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117719780565098,0,0,0,0,0,0,0,0,0,0,0,0,0.141180453326928,0,0,0,0,0.152158274423943,0,0,0,0,0,0,0,0.0313620126637912,0,0,0,0,0,0,0,0,0,0,0,-0.0195755746312026,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.196931601221425,0,0,0.118484203303024,0,0.179869443350221,0,0,0,0,0,0,0,0,0,0,0,0,-0.00974622419725914,0,0,0,0,0.0241350671769536,0.0584595393257894,0,0,0,0,0,0,0.0610599082340989,0,0,0,0,0,-0.0185410414587358,0,0,0.0048423719275494,0,0,0,-0.0190410055229455,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.0959706257252043,0,0,0.0481052474854539,0.0419784638103401,0,0,0,0,0,0.18270226526656,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0615488886076847,0.0389467086377598,0,0,0,0,0,0,0.0117791297143301,0,0,0.0686228396903996,0,0,0,0,0.0139353163112987,0.212815047141661,0,0,0,-0.00755731180350661,0,0,0,0,0,0
